Entity,Year,Deaths in state-based conflict,Deaths in non-state conflict,Deaths in one-sided violence,Deaths in all types of conflict,"Deaths in state-based conflict per 100,000","Deaths in non-state conflict per 100,000","Deaths in one-sided violence per 100,000","Deaths in all types of conflict per 100,000"
Africa,1989,34546,2524,3538,40608,NA,NA,NA,NA
Africa,1990,64847,1382,6615,72844,NA,NA,NA,NA
Africa,1991,25510,2740,5676,33926,NA,NA,NA,NA
Africa,1992,6922,7490,4469,18881,NA,NA,NA,NA
Africa,1993,15091,10017,5606,30714,NA,NA,NA,NA
Africa,1994,8973,3790,539211,551974,NA,NA,NA,NA
Africa,1995,6733,2421,10235,19389,NA,NA,NA,NA
Africa,1996,7719,3457,37565,48741,NA,NA,NA,NA
Africa,1997,23161,2412,16435,42008,NA,NA,NA,NA
Africa,1998,23342,2869,9777,35988,NA,NA,NA,NA
Africa,1999,61234,4491,8308,74033,NA,NA,NA,NA
Africa,2000,59709,5322,2829,67860,NA,NA,NA,NA
Africa,2001,10608,3533,2312,16453,NA,NA,NA,NA
Africa,2002,7267,5140,9512,21919,NA,NA,NA,NA
Africa,2003,6453,2965,9050,18468,NA,NA,NA,NA
Africa,2004,6034,3376,8057,17467,NA,NA,NA,NA
Africa,2005,1620,1670,2096,5386,NA,NA,NA,NA
Africa,2006,3721,2256,1789,7766,NA,NA,NA,NA
Africa,2007,3456,1334,1270,6060,NA,NA,NA,NA
Africa,2008,4714,1635,2050,8399,NA,NA,NA,NA
Africa,2009,5650,3263,3775,12688,NA,NA,NA,NA
Africa,2010,4030,2189,937,7156,NA,NA,NA,NA
Africa,2011,8464,3794,1915,14173,NA,NA,NA,NA
Africa,2012,6633,2622,1905,11160,NA,NA,NA,NA
Africa,2013,7236,3174,5039,15449,NA,NA,NA,NA
Africa,2014,10213,5057,9095,24365,NA,NA,NA,NA
Africa,2015,10292,3743,6614,20649,NA,NA,NA,NA
Africa,2016,10034,3246,3408,16688,NA,NA,NA,NA
Africa,2017,9589,5009,4055,18653,NA,NA,NA,NA
Africa,2018,6954,5734,3027,15715,NA,NA,NA,NA
Africa,2019,8457,3240,4089,15786,NA,NA,NA,NA
Africa,2020,10702,3897,7076,21675,NA,NA,NA,NA
Americas,1989,8715,12,726,9453,NA,NA,NA,NA
Americas,1990,2610,47,961,3618,NA,NA,NA,NA
Americas,1991,2189,90,760,3039,NA,NA,NA,NA
Americas,1992,2730,15,580,3325,NA,NA,NA,NA
Americas,1993,916,92,467,1475,NA,NA,NA,NA
