Entity,Year,Price for Light – Fouquet and Pearson (2012)
Price for Lightning,1301,33042.9
Price for Lightning,1302,40820.58
Price for Lightning,1303,40475.2
Price for Lightning,1304,40512.35
Price for Lightning,1305,40279.28
Price for Lightning,1306,38903.74
Price for Lightning,1307,37500.89
Price for Lightning,1308,36595.16
Price for Lightning,1309,35996.52
Price for Lightning,1310,35486.87
Price for Lightning,1311,35424.59
Price for Lightning,1312,35173.8
Price for Lightning,1313,32617.49
Price for Lightning,1314,29181.42
Price for Lightning,1315,27711.62
Price for Lightning,1316,27712.33
Price for Lightning,1317,28940.11
Price for Lightning,1318,32101.51
Price for Lightning,1319,31751.67
Price for Lightning,1320,31467.44
Price for Lightning,1321,31474.12
Price for Lightning,1322,31608.53
Price for Lightning,1323,31209.15
Price for Lightning,1324,35312.68
Price for Lightning,1325,36285.8
Price for Lightning,1326,36078.63
Price for Lightning,1327,35345.63
Price for Lightning,1328,34300.59
Price for Lightning,1329,31877.05
Price for Lightning,1330,31138.11
Price for Lightning,1331,31961.56
Price for Lightning,1332,32920.96
Price for Lightning,1333,34010.12
Price for Lightning,1334,35503.07
Price for Lightning,1335,37951.82
Price for Lightning,1336,37191.68
Price for Lightning,1337,37147.34
Price for Lightning,1338,37161.56
Price for Lightning,1339,38065.74
Price for Lightning,1340,36523.89
Price for Lightning,1341,36709.5
Price for Lightning,1342,37611.34
Price for Lightning,1343,37906.96
Price for Lightning,1344,36877.03
Price for Lightning,1345,35566.88
Price for Lightning,1346,36480.66
Price for Lightning,1347,35357.89
Price for Lightning,1348,33803.99
Price for Lightning,1349,31933
Price for Lightning,1350,32426.02
Price for Lightning,1351,32079.44
Price for Lightning,1352,31836.58
Price for Lightning,1353,33100.38
Price for Lightning,1354,34602.81
Price for Lightning,1355,35372.72
Price for Lightning,1356,34524.31
Price for Lightning,1357,34073.34
Price for Lightning,1358,33084.37
Price for Lightning,1359,33139.78
Price for Lightning,1360,32166.2
Price for Lightning,1361,31262.37
Price for Lightning,1362,31091.69
Price for Lightning,1363,31465.64
Price for Lightning,1364,32266.04
Price for Lightning,1365,33574.4
Price for Lightning,1366,34471
Price for Lightning,1367,32723.5
Price for Lightning,1368,31792.91
Price for Lightning,1369,30303.61
Price for Lightning,1370,29173.01
Price for Lightning,1371,29083.05
Price for Lightning,1372,30046.78
Price for Lightning,1373,30552.03
Price for Lightning,1374,31135.42
Price for Lightning,1375,32451.71
Price for Lightning,1376,33297.72
Price for Lightning,1377,33871.7
Price for Lightning,1378,33981.94
Price for Lightning,1379,33732.45
Price for Lightning,1380,32142.63
Price for Lightning,1381,30352.91
Price for Lightning,1382,30247.38
Price for Lightning,1383,30073.17
Price for Lightning,1384,29678.21
Price for Lightning,1385,30093.2
Price for Lightning,1386,30677.35
Price for Lightning,1387,30114.94
Price for Lightning,1388,28800.21
Price for Lightning,1389,28512.65
Price for Lightning,1390,28406.74
Price for Lightning,1391,28377.01
Price for Lightning,1392,28118.54
Price for Lightning,1393,28486.93
Price for Lightning,1394,27544.57
Price for Lightning,1395,26421.08
Price for Lightning,1396,26011.47
Price for Lightning,1397,25582.11
Price for Lightning,1398,24892.68
Price for Lightning,1399,25029.07
Price for Lightning,1400,25097.52
Price for Lightning,1401,24856.61
Price for Lightning,1402,25231.83
Price for Lightning,1403,26388.85
Price for Lightning,1404,26725.33
Price for Lightning,1405,27001.7
Price for Lightning,1406,25516.76
Price for Lightning,1407,24220.41
Price for Lightning,1408,23461.27
Price for Lightning,1409,23245.61
Price for Lightning,1410,22681.4
Price for Lightning,1411,23250.02
Price for Lightning,1412,23909.81
Price for Lightning,1413,23381.19
Price for Lightning,1414,22464.31
Price for Lightning,1415,22216.08
Price for Lightning,1416,21464.42
Price for Lightning,1417,21089.87
Price for Lightning,1418,21201.95
Price for Lightning,1419,21860.42
Price for Lightning,1420,22334.22
Price for Lightning,1421,22346.72
Price for Lightning,1422,22462.76
Price for Lightning,1423,23015.17
Price for Lightning,1424,23305.43
Price for Lightning,1425,23403.03
Price for Lightning,1426,23944.3
Price for Lightning,1427,23903.33
Price for Lightning,1428,23477.2
Price for Lightning,1429,22934.38
Price for Lightning,1430,22243.92
Price for Lightning,1431,21980.06
Price for Lightning,1432,21891.51
Price for Lightning,1433,21769.44
Price for Lightning,1434,21432.27
Price for Lightning,1435,20778.67
Price for Lightning,1436,19495.54
Price for Lightning,1437,18950.55
Price for Lightning,1438,19636.34
Price for Lightning,1439,19914.59
Price for Lightning,1440,21570.06
Price for Lightning,1441,23018
Price for Lightning,1442,23926.06
Price for Lightning,1443,22728.39
Price for Lightning,1444,21963.18
Price for Lightning,1445,20384.14
Price for Lightning,1446,20017.17
Price for Lightning,1447,18569.85
Price for Lightning,1448,17612.81
Price for Lightning,1449,16942.37
Price for Lightning,1450,17684.3
Price for Lightning,1451,17956.35
Price for Lightning,1452,19484.09
Price for Lightning,1453,19542.57
Price for Lightning,1454,19586.62
Price for Lightning,1455,18580.61
Price for Lightning,1456,18725.66
Price for Lightning,1457,18066.31
Price for Lightning,1458,18744.92
Price for Lightning,1459,18868.1
Price for Lightning,1460,18658.27
Price for Lightning,1461,17112.56
Price for Lightning,1462,17401.73
Price for Lightning,1463,17581.67
Price for Lightning,1464,18266.44
Price for Lightning,1465,18970.84
Price for Lightning,1466,19832.35
Price for Lightning,1467,18858.59
Price for Lightning,1468,18474.68
Price for Lightning,1469,18326.88
Price for Lightning,1470,18364.42
Price for Lightning,1471,18431.35
Price for Lightning,1472,18688.57
Price for Lightning,1473,18592.88
Price for Lightning,1474,18180.26
Price for Lightning,1475,17556.13
Price for Lightning,1476,16798.12
Price for Lightning,1477,16399.1
Price for Lightning,1478,16963.7
Price for Lightning,1479,16697.11
Price for Lightning,1480,16544.01
Price for Lightning,1481,17019.08
Price for Lightning,1482,16655.85
Price for Lightning,1483,16257.37
Price for Lightning,1484,16633.11
Price for Lightning,1485,16794.57
Price for Lightning,1486,16189.78
Price for Lightning,1487,16462.77
Price for Lightning,1488,16016.46
Price for Lightning,1489,15683.35
Price for Lightning,1490,15840.4
Price for Lightning,1491,16151.08
Price for Lightning,1492,16276.29
Price for Lightning,1493,16282.03
Price for Lightning,1494,16132.06
Price for Lightning,1495,16126.06
Price for Lightning,1496,15738.66
Price for Lightning,1497,15466.53
Price for Lightning,1498,15211.68
Price for Lightning,1499,14930.34
