Entity,Year,SO2 emissions by country (1850-2000) (Clio Infra)
Albania,1850,0.215795698
Albania,1860,0.255094052
Albania,1870,0.288675315
Albania,1880,0.318676349
Albania,1890,0.327273887
Albania,1900,0.376065821
Albania,1910,0.393394401
Albania,1920,0.388645063
Albania,1930,0.491455656
Albania,1940,3.690298859
Albania,1950,3.330299152
Albania,1960,20.84406404
Albania,1970,46.65161281
Albania,1980,82.80336149
Albania,1990,93.26865003
Albania,2000,13.46528656
Algeria,1850,0.408838392
Algeria,1860,0.455484523
Algeria,1870,0.502130654
Algeria,1880,0.548778565
Algeria,1890,0.595433599
Algeria,1900,0.642322341
Algeria,1910,1.282695191
Algeria,1920,1.762065775
Algeria,1930,2.957315865
Algeria,1940,1.597261259
Algeria,1950,14.39469515
Algeria,1960,34.14814299
Algeria,1970,114.2277899
Algeria,1980,145.918817
Algeria,1990,138.1880728
Algeria,2000,183.6567261
Angola,1850,0.276404238
Angola,1860,0.278726963
Angola,1870,0.299207652
Angola,1880,0.346593463
Angola,1890,0.402057977
Angola,1900,0.453147642
Angola,1910,0.485706426
Angola,1920,0.548172475
Angola,1930,0.617374683
Angola,1940,0.693979761
Angola,1950,1.045567276
Angola,1960,5.224349109
Angola,1970,10.42940972
Angola,1980,13.43445702
Angola,1990,29.39106021
Angola,2000,31.13977656
Argentina,1850,0.193003793
Argentina,1860,0.202159916
Argentina,1870,0.223330741
Argentina,1880,0.272227851
Argentina,1890,8.874967201
Argentina,1900,13.42516127
Argentina,1910,56.305183
Argentina,1920,35.41445095
Argentina,1930,73.8223077
Argentina,1940,81.65717169
Argentina,1950,88.45319739
Argentina,1960,123.1194514
Argentina,1970,166.1977103
Argentina,1980,145.5861967
Argentina,1990,112.8069715
Argentina,2000,136.7798663
Armenia,1850,0.289471038
Armenia,1860,0.292834282
Armenia,1870,0.337671173
Armenia,1880,0.446109521
Armenia,1890,0.778849711
Armenia,1900,1.568834674
Armenia,1910,1.45969894
Armenia,1920,0.794102617
Armenia,1930,1.949551026
Armenia,1940,4.913060506
Armenia,1950,5.115328075
Armenia,1960,17.03968869
Armenia,1970,43.86720496
Armenia,1980,82.57200873
Armenia,1990,81.9706437
Armenia,2000,13.36566402
Australia,1850,9.241389708
Australia,1860,24.37475615
Australia,1870,31.91928887
Australia,1880,46.17812882
Australia,1890,46.72682842
Australia,1900,124.1122954
Australia,1910,214.7089395
Australia,1920,171.5984094
Australia,1930,281.2265516
Australia,1940,408.6495433
Australia,1950,417.9963347
Australia,1960,843.6186321
Australia,1970,1451.24031
Australia,1980,1616.641845
Australia,1990,1593.97
Australia,2000,2374.56
Austria,1850,31.47474344
Austria,1860,67.87955222
Austria,1870,93.34277438
Austria,1880,245.7564167
Austria,1890,237.6184024
Austria,1900,390.1922775
Austria,1910,631.4704336
Austria,1920,125.6295556
Austria,1930,152.7507574
Austria,1940,81.35708785
Austria,1950,205.8936256
Austria,1960,334.5057841
Austria,1970,475.2528921
Austria,1980,384.5
Austria,1990,74.24
Austria,2000,31.5
Azerbaijan,1850,0.451835135
Azerbaijan,1860,0.45563059
Azerbaijan,1870,0.518782583
Azerbaijan,1880,0.736394786
Azerbaijan,1890,1.593063671
Azerbaijan,1900,3.535425803
Azerbaijan,1910,3.221814774
Azerbaijan,1920,1.911886232
Azerbaijan,1930,6.020988665
Azerbaijan,1940,12.73663344
Azerbaijan,1950,12.8693648
Azerbaijan,1960,49.70985653
Azerbaijan,1970,144.3481596
Azerbaijan,1980,55.64821849
Azerbaijan,1990,254.1694449
Azerbaijan,2000,201.1062611
Bahrain,1850,0.011494564
Bahrain,1860,0.012084029
Bahrain,1870,0.01220609
Bahrain,1880,0.012329384
Bahrain,1890,0.012453923
Bahrain,1900,0.01257972
Bahrain,1910,0.01058899
Bahrain,1920,0.009133004
Bahrain,1930,0.00738489
Bahrain,1940,0.211222085
Bahrain,1950,1.627816013
Bahrain,1960,1.11120704
Bahrain,1970,1.336619288
Bahrain,1980,6.231324755
Bahrain,1990,12.56312213
Bahrain,2000,67.10517313
Bangladesh,1850,3.63348309
Bangladesh,1860,3.800866283
Bangladesh,1870,4.148910113
Bangladesh,1880,4.141191899
Bangladesh,1890,4.402681707
Bangladesh,1900,4.553081578
Bangladesh,1910,4.411540428
Bangladesh,1920,4.205226146
Bangladesh,1930,4.008783393
Bangladesh,1940,3.726421195
Bangladesh,1950,3.36556202
Bangladesh,1960,3.444144586
Bangladesh,1970,5.090696634
Bangladesh,1980,75.96198205
Bangladesh,1990,65.31542921
Bangladesh,2000,97.78219189
Belarus,1850,1.421830891
Belarus,1860,1.523705719
Belarus,1870,1.894857126
Belarus,1880,2.506554723
Belarus,1890,2.933325654
Belarus,1900,4.733849937
Belarus,1910,5.626762622
Belarus,1920,2.859232043
Belarus,1930,8.193031952
Belarus,1940,29.73415796
Belarus,1950,93.45631802
Belarus,1960,220.7475231
Belarus,1970,433.8233829
Belarus,1980,667.4323069
Belarus,1990,623.6294301
Belarus,2000,136.3983747
Belgium,1850,51.21447703
Belgium,1860,81.57000481
Belgium,1870,136.879696
Belgium,1880,169.55201
Belgium,1890,222.60692
Belgium,1900,283.66938
Belgium,1910,354.6346891
Belgium,1920,300.5299956
Belgium,1930,778.4570763
Belgium,1940,489.3500778
Belgium,1950,597.2373555
Belgium,1960,730.1187195
Belgium,1970,1130.05936
Belgium,1980,828
Belgium,1990,263.71
Belgium,2000,117.48
Benin,1850,0.200307789
Benin,1860,0.224199821
Benin,1870,0.250502154
Benin,1880,0.292745719
Benin,1890,0.32501136
Benin,1900,0.331644245
Benin,1910,0.307319953
Benin,1920,0.331472893
Benin,1930,0.352994211
Benin,1940,0.369865141
Benin,1950,0.379364674
Benin,1960,1.085064772
Benin,1970,1.794350231
Benin,1980,2.322821735
Benin,1990,2.123376827
Benin,2000,8.116268993
Bolivia,1850,0.142318172
Bolivia,1860,0.169917788
Bolivia,1870,0.146095299
Bolivia,1880,0.122352716
Bolivia,1890,1.085928833
Bolivia,1900,1.94892291
Bolivia,1910,5.573581426
Bolivia,1920,21.21598968
Bolivia,1930,0.308431909
Bolivia,1940,1.260626921
Bolivia,1950,2.509835883
Bolivia,1960,6.666920892
Bolivia,1970,13.08297866
Bolivia,1980,15.22556301
Bolivia,1990,14.5315299
Bolivia,2000,20.52537371
Bosnia and Herzegovina,1850,0.440179832
Bosnia and Herzegovina,1860,0.466857398
Bosnia and Herzegovina,1870,0.517328468
Bosnia and Herzegovina,1880,0.573255869
Bosnia and Herzegovina,1890,0.635229477
Bosnia and Herzegovina,1900,0.703902934
Bosnia and Herzegovina,1910,0.65643698
Bosnia and Herzegovina,1920,0.608998184
Bosnia and Herzegovina,1930,0.570849755
Bosnia and Herzegovina,1940,0.433194677
Bosnia and Herzegovina,1950,0.705668565
Bosnia and Herzegovina,1960,82.18320036
Bosnia and Herzegovina,1970,146.2869725
Bosnia and Herzegovina,1980,263.5263152
Bosnia and Herzegovina,1990,470.0021137
Bosnia and Herzegovina,2000,189.4906904
Botswana,1850,0.007568095
Botswana,1860,0.008639568
Botswana,1870,0.009902729
Botswana,1880,0.01140473
Botswana,1890,0.013212377
Botswana,1900,0.015425906
Botswana,1910,0.018838907
Botswana,1920,0.023339352
Botswana,1930,0.029543831
Botswana,1940,0.038596466
Botswana,1950,0.052693681
Botswana,1960,0.06915399
Botswana,1970,0.090658126
Botswana,1980,0.241441583
Botswana,1990,22.61943048
Botswana,2000,78.46546969
Brazil,1850,1.721616784
Brazil,1860,1.983522408
Brazil,1870,2.248529637
Brazil,1880,2.50142029
Brazil,1890,3.107254765
Brazil,1900,3.76541828
Brazil,1910,46.17689107
Brazil,1920,49.86973288
Brazil,1930,82.3192536
Brazil,1940,107.9717901
Brazil,1950,211.6887385
Brazil,1960,433.5084404
Brazil,1970,777.4966478
Brazil,1980,1561.894196
Brazil,1990,1643.29227
Brazil,2000,1734.696441
Brunei,1850,0.001689861
Brunei,1860,0.001836806
Brunei,1870,0.001916667
Brunei,1880,0.002081692
Brunei,1890,0.002626427
Brunei,1900,0.013893242
Brunei,1910,0.055376081
Brunei,1920,0.089797458
Brunei,1930,0.170026191
Brunei,1940,3.156552527
Brunei,1950,0.487718083
Brunei,1960,0.42305453
Brunei,1970,1.641297083
Brunei,1980,3.801089283
Brunei,1990,3.819888186
Brunei,2000,7.587249734
Bulgaria,1850,0.25
Bulgaria,1860,0.2543
Bulgaria,1870,0.2586
Bulgaria,1880,0.320010979
Bulgaria,1890,2.715660604
Bulgaria,1900,5.312500625
Bulgaria,1910,10.14725282
Bulgaria,1920,15.30312691
Bulgaria,1930,38.35263594
Bulgaria,1940,67.3098407
Bulgaria,1950,169.2453803
Bulgaria,1960,540.1603102
Bulgaria,1970,1557.080155
Bulgaria,1980,2050
Bulgaria,1990,2007
Bulgaria,2000,1044.58
Cambodia,1850,0.673060739
Cambodia,1860,0.689085995
Cambodia,1870,0.705492804
Cambodia,1880,0.752532804
Cambodia,1890,0.806285147
Cambodia,1900,0.863876944
Cambodia,1910,1.028904214
Cambodia,1920,1.204166176
Cambodia,1930,1.445458173
Cambodia,1940,1.722966907
Cambodia,1950,2.041522806
Cambodia,1960,2.735259638
Cambodia,1970,3.49275638
Cambodia,1980,3.32906087
Cambodia,1990,4.902297041
Cambodia,2000,10.24444923
Cameroon,1850,0.195967004
Cameroon,1860,0.22435996
Cameroon,1870,0.253254416
Cameroon,1880,0.298200926
Cameroon,1890,0.338623501
Cameroon,1900,0.384455827
Cameroon,1910,0.423706395
Cameroon,1920,0.546133112
Cameroon,1930,0.700582259
Cameroon,1940,0.89496574
Cameroon,1950,1.55323843
Cameroon,1960,3.137232262
Cameroon,1970,6.104013005
Cameroon,1980,11.77260138
Cameroon,1990,15.52350419
Cameroon,2000,106.8142121
Canada,1850,4.067630867
Canada,1860,8.098229406
Canada,1870,14.94730023
Canada,1880,46.80255429
Canada,1890,111.8823237
Canada,1900,198.9357495
Canada,1910,623.5441484
Canada,1920,1056.851435
Canada,1930,1769.121489
Canada,1940,3134.511341
Canada,1950,3297.808043
Canada,1960,4209.616667
Canada,1970,5152.433555
Canada,1980,4035.169512
Canada,1990,3079.472
Canada,2000,2234.754
Chile,1850,26.05628114
Chile,1860,48.63169201
Chile,1870,58.50423541
Chile,1880,71.26678879
Chile,1890,56.05847158
Chile,1900,48.67905655
Chile,1910,100.6314
Chile,1920,219.549336
Chile,1930,467.8922165
Chile,1940,751.8067767
Chile,1950,811.8025242
Chile,1960,1185.545389
Chile,1970,1560.596464
Chile,1980,2107.299728
Chile,1990,2324.426458
Chile,2000,1145.48568
China,1850,161.5797881
China,1860,147.0461196
China,1870,137.8732303
China,1880,139.6067412
China,1890,141.843631
China,1900,147.8488581
China,1910,357.1571119
China,1920,458.3927825
China,1930,580.9349319
China,1940,1089.203517
China,1950,1070.010556
China,1960,8260.552522
China,1970,7327.123739
China,1980,11980.92266
China,1990,17194.15675
China,2000,21392.84635
Colombia,1850,0.369197108
Colombia,1860,0.384910746
Colombia,1870,0.427266694
Colombia,1880,0.509569822
Colombia,1890,0.620821133
Colombia,1900,0.834549637
Colombia,1910,0.974879089
Colombia,1920,1.132239999
Colombia,1930,5.665979512
Colombia,1940,21.25185771
Colombia,1950,38.54865381
Colombia,1960,85.83722709
Colombia,1970,103.9705779
Colombia,1980,90.86512363
Colombia,1990,125.63709
Colombia,2000,150.4344686
Congo,1850,0.034916816
Congo,1860,0.035210235
Congo,1870,0.035928811
Congo,1880,0.036662052
Congo,1890,0.042460788
Congo,1900,0.051240332
Congo,1910,0.206847784
Congo,1920,0.433691418
Congo,1930,0.742998594
Congo,1940,1.158680984
Congo,1950,1.710916386
Congo,1960,8.964435308
Congo,1970,19.55685269
Congo,1980,23.15480242
Congo,1990,25.7109673
Congo,2000,180.2184876
