Entity,Year,Feed conversion ratio (Alexander et al. (2016)),Protein feed conversion efficiency (Alexander et al. (2016)),Energy conversion efficiency (Alexander et al. (2016))
3f mycoprotein,2013,0.55,,
Beef,2013,25,3.8,1.9
Eggs,2013,2.3,25,19
Lamb/mutton,2013,15,6.3,4.4
Pork,2013,6.4,8.5,8.6
Poultry,2013,3.3,19.6,13
Whole Milk,2013,0.7,24,24
