Entity,Year,Headcount ratio Camp,Headcount ratio National,Headcount ratio Rural,Headcount ratio Urban,Intensity Camp,Intensity National,Intensity Rural,Intensity Urban,MPI Camp,MPI National,MPI Rural,MPI Urban
Afghanistan,2010,,76.0101396049475,82.70916444494598,44.96098719566258,,57.75318868084653,58.58305818103261,50.6775481735033,,0.4389827934262017,0.4845355792782862,0.2278512594536455
Afghanistan,2015,,64.08979251295143,74.24669300627895,32.46051339979042,,54.9268252975552,55.82241840617015,48.54770827234295,,0.3520248836715443,0.4144629962270969,0.1575883534903505
Albania,2008,,2.06269312659819,3.03807785031765,0.88205399828439,,37.8324261868089,37.40795649249229,39.60209353102371,,0.0078036685458064,0.0113648284045487,0.0034931184939472
Albania,2017,,0.69868923748504,0.68849542963814,0.70593077043669,,39.07106874859808,40.3449829157953,38.18844992602526,,0.0027298535231684,0.0027777336346354,0.0026958401878062
Algeria,2012,,2.10496720349496,3.63491765643976,1.2168656612607,,38.45277502234371,39.68219852920284,36.32101304631647,,0.0080941830305404,0.0144241524080147,0.0044197793558264
Algeria,2018,,1.38083493006436,2.64370019106705,0.6422082180776301,,39.17262753188399,40.34497085454186,36.34996375106598,,0.0054090932398426,0.0106660007156747,0.0023344245447758
Armenia,2010,,0.3958571026412701,0.72356595455952,0.19237644739739,,35.88904297913942,35.97624070243424,35.685401461723,,0.001420693257029,0.002603118294532,0.0006865030757156
Armenia,2015,,0.16836919680984,0.40579672355797,0.0,,35.87789194597893,35.87789194597893,,,0.0006040731850175,0.0014559130999845,0.0
Bangladesh,2014,,37.56210507901661,43.53225399419589,21.49840032387809,,46.50721817274714,46.93304198043347,44.18717804157692,,0.1746909015937479,0.2043101104212488,0.0949953642720296
Bangladesh,2019,,24.06438168510155,26.81364099723694,14.06851060088043,,42.0140887322888,42.10359932566566,41.39380977799988,,0.1011043067405522,0.1128950797009906,0.0582349251672619
Belize,2011,,7.35975068917544,10.92997039893323,2.79866937755404,,41.11935430966589,41.69989322420045,38.22286721493914,,0.0302628196219013,0.0455778598579187,0.0106973167996764
