Entity,Year,Maths,Science,Chemistry
United States,1957,1.39,1.3,1.32
United States,1972,1.26,1.22,
United States,1982,1.06,1.08,1.1
United States,1992,1,1.03,0.97
United States,2000,0.99,0.97,0.89
