Entity,Year,Total government spending per capita,Public Spending - General public services,Public Spending - Defence,Public Spending - Public order and safety,Public Spending - Economic affairs,Public Spending - Environmental protection,Public Spending - Housing and community amenities,Public Spending - Health,"Public Spending - Recreation, culture and religion",Public Spending - Education,Public Spending - Social protection,Expenditures on general government outsourcing,General government procurement expenditure (%GDP),General government procurement (% government expenditures)
Australia,2007,,,,,,,,,,,,,12.15,35.28
Australia,2008,,,,,,,,,,,,,12.65,34.32
Australia,2009,15730.33,,,,,,,,,,,9.45,13.67,35.82
Australia,2010,15541.69,,,,,,,,,,,9.27,13.06,35.62
Australia,2011,16196.59,,,,,,,,,,,9.48,13.04,35.29
Australia,2012,15874.26,,,,,,,,,,,9.41,12.72,35.05
Australia,2013,16378.7,12.88978342,3.896416827,4.656671675,11.09323619,2.902469101,1.686344824,18.7686033,2.01340855,14.41684857,27.67621754,9.39,12.67,34.56
Australia,2014,,,,,,,,,,,,9.62,12.84,35.23
Austria,2007,,,,,,,,,,,,,12.24,24.92
Austria,2008,,,,,,,,,,,,,12.88,25.87
Austria,2009,21984.64,,,,,,,,,,,10.35,13.7,25.32
Austria,2010,22078.03,,,,,,,,,,,10.29,13.5,25.6
Austria,2011,22374.85,,,,,,,,,,,10.05,13.04,25.67
Austria,2012,22850.85,,,,,,,,,,,10.06,12.96,25.35
Austria,2013,22931.47,14.20634434,1.222998156,2.5736251,11.1352755,0.969645307,0.724562496,15.55938718,1.859864163,9.820972222,41.92733161,10.16,13.16,25.91
Austria,2014,23829.69,,,,,,,,,,,10.22,13.17,25.06
Austria,2015,,,,,,,,,,,,10.41,13.39,25.91
Belgium,2007,,,,,,,,,,,,,12.36,25.62
Belgium,2008,,,,,,,,,,,,,13.11,26.07
Belgium,2009,20091.67,,,,,,,,,,,11.96,14.29,26.39
Belgium,2010,20589.53,,,,,,,,,,,11.75,14.05,26.36
Belgium,2011,22009.64,,,,,,,,,,,11.94,14.38,26.44
Belgium,2012,22840.4,,,,,,,,,,,12.18,14.67,26.28
Belgium,2013,22799.56,15.53230812,1.709476816,3.391521661,12.17328637,1.761039625,0.59922586,14.57841941,2.350455069,11.75683184,36.14748172,12.18,14.54,26.16
Belgium,2014,23285.46,,,,,,,,,,,12.26,14.65,26.59
Belgium,2015,,,,,,,,,,,,12.23,14.53,26.92
Brazil,2009,4945.91,,,,,,,,,,,,,
Brazil,2010,5563.89,,,,,,,,,,,,,
Brazil,2011,5663.16,,,,,,,,,,,,,
Brazil,2012,5873,,,,,,,,,,,,,
Brazil,2013,6172.63,,,,,,,,,,,,,
Brazil,2014,6473.64,,,,,,,,,,,,,
Canada,2007,,,,,,,,,,,,,12.77,32.38
Canada,2008,,,,,,,,,,,,,12.9,32.52
Canada,2009,16903.51,,,,,,,,,,,10.15,14.75,33.22
Canada,2010,17327.43,,,,,,,,,,,9.99,14.83,33.7
Canada,2011,17342.67,,,,,,,,,,,9.79,14.11,33.22
Canada,2012,17373.48,,,,,,,,,,,9.66,13.84,33.09
Canada,2013,17502.77,,,,,,,,,,,9.52,13.38,32.53
Canada,2014,17440.61,,,,,,,,,,,9.27,12.87,32.39
Canada,2015,,,,,,,,,,,,9.58,13.46,32.71
Colombia,2007,,,,,,,,,,,,,11.06,33.86
Colombia,2008,,,,,,,,,,,,,11.14,32.83
Colombia,2009,3555.03,,,,,,,,,,,9,12.19,35.57
Colombia,2010,3684.08,,,,,,,,,,,9.22,11.93,34.93
Colombia,2011,3830.36,,,,,,,,,,,8.65,11.87,35.9
Colombia,2012,4247.27,,,,,,,,,,,8.98,12.56,35.94
Colombia,2013,,,,,,,,,,,,9.57,13.34,36.52
Czech Republic,2007,,,,,,,,,,,,,14.98,37.5
Czech Republic,2008,,,,,,,,,,,,,15.44,38.45
Czech Republic,2009,11731.31,,,,,,,,,,,11.46,17,38.98
Czech Republic,2010,11575.84,,,,,,,,,,,11.36,16.09,37.45
Czech Republic,2011,12137.85,,,,,,,,,,,10.07,14.57,33.75
Czech Republic,2012,12553.23,,,,,,,,,,,9.62,13.81,30.92
Czech Republic,2013,12167.68,11.14402776,1.814661514,4.16060401,14.27422277,2.476476502,2.008045228,17.40424303,2.726127887,12.27631271,31.71527859,9.89,13.62,31.81
Czech Republic,2014,,,,,,,,,,,,9.71,13.89,32.47
Czech Republic,2015,,,,,,,,,,,,9.61,14.78,34.7
Denmark,2007,,,,,,,,,,,,,12.6,25.41
Denmark,2008,,,,,,,,,,,,,13.17,26.07
Denmark,2009,22506.43,,,,,,,,,,,11.4,14.55,25.61
Denmark,2010,23857.99,,,,,,,,,,,11.17,14.48,25.37
Denmark,2011,24623.68,,,,,,,,,,,10.91,14.26,25.08
Denmark,2012,25620.04,,,,,,,,,,,11.05,14.86,25.48
Denmark,2013,24998.39,13.62425177,2.349761541,1.815446199,6.254359365,0.746815516,0.500787124,15.27920833,3.198926354,12.29909771,43.93143897,10.9,14.61,25.83
Denmark,2014,25551.16,,,,,,,,,,,10.78,14.69,26.26
Denmark,2015,,,,,,,,,,,,10.74,14.54,26.13
Estonia,2007,,,,,,,,,,,,,13.11,38.46
Estonia,2008,,,,,,,,,,,,,14.26,35.87
Estonia,2009,9288,,,,,,,,,,,8.78,15.02,32.61
Estonia,2010,8527.67,,,,,,,,,,,8.67,13.52,33.37
Estonia,2011,8940.88,,,,,,,,,,,8.25,13.17,35.19
Estonia,2012,9830.32,,,,,,,,,,,8.29,14.51,37.14
Estonia,2013,9993.32,10.33153114,4.705381892,4.879655295,12.46946785,1.676866921,1.362625902,13.02796608,5.357191865,15.44309356,30.74759173,8.29,13.84,36.14
Estonia,2014,10422.1,,,,,,,,,,,8.38,13.42,35.33
Estonia,2015,,,,,,,,,,,,8.61,13.94,35.26
Finland,2007,,,,,,,,,,,,,14.4,30.78
Finland,2008,,,,,,,,,,,,,15.25,31.61
Finland,2009,20560.89,,,,,,,,,,,13.34,17.3,31.59
Finland,2010,20973.24,,,,,,,,,,,13.53,17.2,31.4
Finland,2011,21878.68,,,,,,,,,,,13.45,17.24,31.71
Finland,2012,22574.44,,,,,,,,,,,13.89,17.93,31.9
Finland,2013,23033.27,14.40654001,2.557049453,2.407945363,8.166448152,0.44045691,0.688963727,14.45367062,2.539054132,11.20508668,43.13478496,14.22,18.38,31.96
Finland,2014,23575.64,,,,,,,,,,,14.25,18.38,31.63
Finland,2015,,,,,,,,,,,,14.34,18.35,31.51
France,2007,,,,,,,,,,,,,13.94,26.7
France,2008,,,,,,,,,,,,,14.02,26.45
France,2009,19773.68,,,,,,,,,,,10.89,15.14,26.68
France,2010,20261.17,,,,,,,,,,,10.92,15.07,26.7
France,2011,20886.05,,,,,,,,,,,10.81,14.78,26.43
France,2012,21182.73,,,,,,,,,,,10.97,15.02,26.43
France,2013,21447.59,11.88049279,3.085569097,2.856830521,8.65438446,1.792724093,2.436537882,14.1533857,2.563329612,9.645778191,42.93105047,11.08,15.06,26.43
France,2014,21851.33,,,,,,,,,,,11.1,14.81,25.84
France,2015,,,,,,,,,,,,11.09,14.54,25.51
Germany,2007,,,,,,,,,,,,,12.92,30.18
Germany,2008,,,,,,,,,,,,,13.41,30.77
Germany,2009,17589.89,,,,,,,,,,,12.61,14.96,31.45
Germany,2010,18662.81,,,,,,,,,,,12.5,14.8,31.32
Germany,2011,18755.53,,,,,,,,,,,12.35,14.63,32.71
Germany,2012,18883.25,,,,,,,,,,,12.58,14.84,33.37
Germany,2013,19107.14,14.33120098,2.43948663,3.510425918,7.523396683,1.278526125,0.916674563,15.80382281,1.870128535,9.69988645,42.6264513,12.84,15.09,33.87
Germany,2014,19399.65,,,,,,,,,,,12.99,15.16,34.23
Germany,2015,,,,,,,,,,,,13.09,15.26,34.75
Greece,2007,,,,,,,,,,,,,14.2,30.17
Greece,2008,,,,,,,,,,,,,14.66,28.86
Greece,2009,16443.01,,,,,,,,,,,9.78,15.49,28.65
Greece,2010,15079.76,,,,,,,,,,,9.29,12.98,24.74
Greece,2011,14408.02,,,,,,,,,,,8.31,10.76,19.84
Greece,2012,13844.59,,,,,,,,,,,7.95,10.46,18.92
Greece,2013,15421.71,16.33660158,3.593219084,3.108074327,25.49324593,1.353590904,0.475886269,8.563175291,1.092501551,7.581775593,32.40192947,7.13,10.56,16.99
Greece,2014,12941.62,,,,,,,,,,,6.98,10.66,21.04
Greece,2015,,,,,,,,,,,,6.96,10.8,19.51
Hungary,2007,,,,,,,,,,,,,13.38,26.71
Hungary,2008,,,,,,,,,,,,,12.88,26.4
Hungary,2009,10568.02,,,,,,,,,,,10.41,13.86,27.35
Hungary,2010,10685.3,,,,,,,,,,,10.17,13.85,27.95
Hungary,2011,11245.2,,,,,,,,,,,9.85,13.21,26.56
Hungary,2012,10958.18,,,,,,,,,,,9.53,13.27,27.3
Hungary,2013,11618.15,20.88550933,0.974236428,4.182663231,13.66306643,1.819648928,1.593258482,10.36208723,3.714031234,9.492001729,33.31349699,9.71,14.14,28.49
Hungary,2014,12459.04,,,,,,,,,,,9.99,15.49,31.09
Hungary,2015,,,,,,,,,,,,9.28,15.94,31.43
Iceland,2007,,,,,,,,,,,,,15.25,37.19
Iceland,2008,,,,,,,,,,,,,16.19,29.09
Iceland,2009,19129.28,,,,,,,,,,,12.04,16.1,33.17
Iceland,2010,18886.7,,,,,,,,,,,12.07,15.51,31.4
Iceland,2011,17954.16,,,,,,,,,,,12.12,14.85,32.49
Iceland,2012,18375.5,,,,,,,,,,,12.05,14.73,32.4
Iceland,2013,18465.88,19.17696757,0.042612055,3.110620418,10.38591038,1.304439789,2.413557259,16.25082809,6.892259362,16.87048599,23.55231784,11.83,14.75,33.37
Iceland,2014,,,,,,,,,,,,11.58,14.69,32.17
Iceland,2015,,,,,,,,,,,,10.92,13.84,32.18
India,2009,1154.62,,,,,,,,,,,,,
India,2010,1223.86,,,,,,,,,,,,,
India,2011,1313.16,,,,,,,,,,,,,
India,2012,1385.99,,,,,,,,,,,,,
India,2013,1473.47,,,,,,,,,,,,,
India,2014,1553.09,,,,,,,,,,,,,
Indonesia,2009,1352.43,,,,,,,,,,,,,
Indonesia,2010,1423.97,,,,,,,,,,,,,
Indonesia,2011,1590.91,,,,,,,,,,,,,
