Entity,Year,Male life expectancy at birth (HMD (2018) and others),Male life expectancy at 15 (HMD (2018) and others),Male life expectancy at 45 (HMD (2018) and others),Female life expectancy at birth (HMD (2018) and others),Female life expectancy at 15 (HMD (2018) and others),Female life expectancy at 45 (HMD (2018) and others),Female minus male life expectancy at birth (HMD (2018) and others),Female minus male life expectancy at 15 (HMD (2018) and others),Female minus male life expectancy at 45 (HMD (2018) and others),Female-to-male life expectancy ratio at birth (HMD (2018) and others),Female-to-male life expectancy ratio at 15 (HMD (2018) and others),Female-to-male life expectancy ratio at 45 (HMD (2018) and others)
France,1836,41.2400016784668,59.33000183105469,68.62000274658203,42.79000091552734,59.93999862670898,69.41999816894531,1.549999237060547,.6099967956542969,.7999992370605469,1.037584900856018,1.010281443595886,1.011658430099487
France,1841,39.70999908447266,57.70000076293945,68.97999572753906,41.7599983215332,59.5099983215332,69.58000183105469,2.049999237060547,1.80999755859375,.6000003814697266,1.051624298095703,1.031369090080261,1.008698225021362
France,1846,40.09000015258789,58.59000015258789,68.80999755859375,41.31999969482422,59.16999816894531,69.37000274658203,1.229999542236328,.5799980163574219,.5600013732910156,1.030681014060974,1.009899258613586,1.008138418197632
France,1851,41.20999908447266,59.61999893188477,68.62999725341797,42.40999984741211,59.90000152587891,69.36000061035156,1.200000762939453,.2800025939941406,.7300014495849609,1.02911913394928,1.004696488380432,1.010636806488037
France,1856,39.13000106811523,57.36000061035156,68.79000091552734,41.31999969482422,59.09999847412109,69.38999938964844,2.189998626708984,1.739997863769531,.5999984741210938,1.055967211723328,1.030334711074829,1.008722186088562
France,1861,40.15000152587891,59.93999862670898,68.77999877929688,41.02999877929688,59.88999938964844,69.52000427246094,.8799972534179688,-.0499992370605469,.7399997711181641,1.021917700767517,.9991658329963684,1.010758996009827
France,1866,41.11000061035156,58.31999969482422,67.69999694824219,42.56999969482422,58.97999954223633,69.05999755859375,1.459999084472656,.6599998474121094,1.35999870300293,1.0355144739151,1.011316895484924,1.02008855342865
France,1872,41.43999862670898,59.11999893188477,68.83000183105469,43.63000106811523,60.5099983215332,70.22000122070313,2.19000244140625,1.389999389648438,1.389999389648438,1.052847504615784,1.023511528968811,1.02019464969635
France,1876,42.52999877929688,58.83000183105469,68.27000427246094,44.72000122070313,60.40000152587891,69.80999755859375,2.19000244140625,1.569999694824219,1.539999008178711,1.051493167877197,1.026687026023865,1.022557497024536
France,1881,42.38000106811523,59.29999923706055,68.73999786376953,44.65999984741211,60.84000015258789,70.15000152587891,2.279998779296875,1.540000915527344,1.409999847412109,1.053798913955689,1.025969624519348,1.020512104034424
