Entity,Year,Percent women (NWLC (2014))
Bartenders,2013,58
Cashiers,2013,72
Childcare workers,2013,95
Combined food preparers and servers,2013,65
Food preperation workers,2013,56
Hand packers and packagers,2013,49
Home health aides,2013,89
Maids and housekeepers,2013,88
Personal care aides,2013,84
Waiters and waitresses,2013,70
