Entity,Year,No climate policies (high),No climate policies (low),Current policies (high),Current policies (low),Pledges (high),Pledges (low),2C pathways (high),2C pathways (median),2C pathways (low),1.5C pathways (high),1.5C pathways (median),1.5C pathways (low),Historic
World,1990,,,,,,,,,,,,,35.33
World,1991,,,,,,,,,,,,,35.64
World,1992,,,,,,,,,,,,,34.92
World,1993,,,,,,,,,,,,,35.08
World,1994,,,,,,,,,,,,,35.24
World,1995,,,,,,,,,,,,,36.01
World,1996,,,,,,,,,,,,,36.64
World,1997,,,,,,,,,,,,,36.92
World,1998,,,,,,,,,,,,,37.19
World,1999,,,,,,,,,,,,,37.39
World,2000,,,,,,,,,,,,,38.53
World,2001,,,,,,,,,,,,,38.95
World,2002,,,,,,,,,,,,,39.52
World,2003,,,,,,,,,,,,,40.80
World,2004,,,,,,,,,,,,,42.23
World,2005,43.16,43.16,,,,,,,,,,,43.32
World,2006,44.32,43.29,,,,,,,,,,,44.49
World,2007,45.48,43.42,,,,,,,,,,,45.76
World,2008,46.64,43.54,,,,,,,,,,,45.91
World,2009,47.80,43.67,,,,,,,,,,,45.29
World,2010,48.96,43.80,,,,,50.02,48.10,46.69,49.92,47.42,47.28,46.93
World,2011,50.71,44.76,,,,,49.76,47.76,46.04,49.60,46.69,46.24,47.98
World,2012,52.46,45.72,,,,,49.50,47.43,45.39,49.28,45.95,45.20,48.18
World,2013,54.21,46.68,,,,,49.24,47.10,44.75,48.97,45.22,44.16,48.58
World,2014,55.96,47.63,49.34,49.36,48.78,48.33,48.98,46.76,44.10,48.65,44.48,43.12,48.78
World,2015,57.71,48.59,49.47,49.60,49.02,48.42,48.72,46.43,43.45,48.33,43.75,42.07,
World,2016,59.46,49.55,49.66,49.87,49.35,48.61,48.47,46.09,42.81,48.01,43.01,41.03,
World,2017,61.22,50.51,50.01,50.35,49.73,48.79,48.21,45.76,42.16,47.70,42.27,39.99,
World,2018,62.97,51.47,50.38,50.83,50.09,48.97,47.95,45.43,41.51,47.38,41.54,38.95,
World,2019,64.72,52.43,50.77,51.33,50.43,49.15,47.69,45.09,40.86,47.06,40.80,37.91,
World,2020,66.47,53.39,51.10,51.76,50.76,49.32,47.43,44.76,40.22,46.75,40.07,36.87,
World,2021,68.01,54.03,51.56,52.47,51.98,50.25,47.22,44.06,39.03,45.64,39.15,35.94,
World,2022,69.55,54.66,52.04,53.20,52.43,50.54,47.02,43.36,37.85,44.54,38.23,35.00,
World,2023,71.08,55.30,52.53,53.97,52.88,50.84,46.82,42.65,36.66,43.44,37.32,34.06,
World,2024,72.62,55.94,53.04,54.74,53.34,51.15,46.61,41.95,35.48,42.34,36.40,33.13,
World,2025,74.16,56.57,53.53,55.49,53.78,51.44,46.41,41.25,34.29,41.24,35.48,32.19,
World,2026,75.70,57.21,54.01,56.24,54.28,51.76,46.21,40.55,33.11,40.13,34.56,31.25,
World,2027,77.24,57.84,54.51,57.00,54.76,52.09,46.00,39.85,31.92,39.03,33.65,30.32,
World,2028,78.78,58.48,55.02,57.76,55.24,52.43,45.80,39.14,30.74,37.93,32.73,29.38,
World,2029,80.32,59.11,55.54,58.54,55.72,52.77,45.60,38.44,29.55,36.83,31.81,28.44,
World,2030,81.86,59.75,56.04,59.30,56.82,53.57,45.39,37.74,28.37,35.73,30.89,27.50,
World,2031,83.05,60.35,56.28,60.07,56.67,53.61,44.72,36.99,27.64,34.78,30.00,26.42,
World,2032,84.25,60.94,56.51,60.74,57.10,53.51,44.06,36.25,26.91,33.83,29.12,25.33,
World,2033,85.44,61.54,56.95,61.56,57.58,53.21,43.39,35.50,26.19,32.88,28.23,24.25,
World,2034,86.64,62.13,57.05,62.40,58.06,53.35,42.72,34.76,25.46,31.92,27.34,23.16,
World,2035,87.83,62.73,57.29,63.23,58.51,53.32,42.05,34.01,24.73,30.97,26.46,22.08,
World,2036,89.03,63.32,57.53,64.08,58.66,53.28,41.38,33.27,24.00,30.02,25.57,20.99,
World,2037,90.22,63.92,57.92,64.83,58.72,53.29,40.72,32.52,23.28,29.07,24.68,19.90,
World,2038,91.42,64.51,58.34,65.63,59.06,53.14,40.05,31.78,22.55,28.12,23.79,18.82,
World,2039,92.61,65.11,58.66,66.37,59.38,53.27,39.38,31.03,21.82,27.17,22.91,17.73,
World,2040,93.81,65.71,58.87,67.06,59.72,53.28,38.71,30.29,21.10,26.22,22.02,16.65,
World,2041,95.47,66.53,59.13,67.81,59.90,53.30,37.91,29.56,20.57,25.24,21.17,15.58,
World,2042,97.13,67.36,59.40,68.44,60.18,53.31,37.11,28.83,20.04,24.26,20.31,14.52,
World,2043,98.79,68.19,59.85,69.06,60.54,53.38,36.31,28.10,19.51,23.28,19.46,13.45,
World,2044,100.45,69.02,60.16,69.48,60.88,53.23,35.51,27.37,18.98,22.29,18.61,12.39,
World,2045,102.10,69.85,60.49,69.89,61.29,52.95,34.71,26.65,18.45,21.31,17.75,11.32,
World,2046,103.76,70.67,60.88,70.49,61.55,52.75,33.91,25.92,17.93,20.33,16.90,10.26,
World,2047,105.42,71.50,61.20,71.05,61.63,52.39,33.11,25.19,17.40,19.35,16.05,9.19,
World,2048,107.08,72.33,61.35,71.54,61.68,52.00,32.30,24.46,16.87,18.36,15.19,8.12,
World,2049,108.74,73.16,61.55,72.05,61.77,51.72,31.50,23.73,16.34,17.38,14.34,7.06,
World,2050,110.40,73.99,61.72,72.52,61.94,51.42,30.70,23.00,15.81,16.40,13.49,5.99,
World,2051,111.84,74.67,61.74,73.02,62.00,50.71,29.68,22.38,15.30,15.83,12.87,5.55,
World,2052,113.27,75.36,61.51,73.72,61.80,50.09,28.65,21.75,14.78,15.27,12.25,5.10,
World,2053,114.71,76.05,61.47,74.20,61.75,49.73,27.62,21.12,14.26,14.70,11.63,4.66,
World,2054,116.14,76.73,61.32,74.75,61.70,49.32,26.60,20.49,13.75,14.14,11.01,4.21,
World,2055,117.58,77.42,60.90,75.05,61.75,48.86,25.57,19.86,13.23,13.57,10.39,3.77,
World,2056,119.02,78.11,60.76,75.28,62.01,48.47,24.54,19.23,12.72,13.01,9.77,3.32,
World,2057,120.45,78.80,60.75,75.78,61.88,48.12,23.52,18.60,12.20,12.45,9.15,2.88,
World,2058,121.89,79.48,60.67,76.13,61.54,47.88,22.49,17.97,11.68,11.88,8.53,2.43,
World,2059,123.32,80.17,60.50,76.52,61.28,47.41,21.46,17.34,11.17,11.32,7.91,1.99,
World,2060,124.76,80.86,60.37,76.77,61.14,47.07,20.44,16.71,10.65,10.75,7.29,1.54,
World,2061,126.38,81.28,60.24,76.93,61.24,46.62,19.87,16.21,10.05,10.28,6.84,1.30,
World,2062,128.00,81.69,59.27,77.22,61.35,46.05,19.30,15.71,9.44,9.81,6.38,1.05,
World,2063,129.62,82.11,59.31,77.37,61.50,45.66,18.74,15.20,8.84,9.35,5.93,0.81,
World,2064,131.24,82.53,59.21,77.33,61.68,45.28,18.17,14.70,8.23,8.88,5.47,0.57,
World,2065,132.86,82.94,59.37,77.37,61.81,44.58,17.61,14.20,7.63,8.41,5.02,0.32,
World,2066,134.48,83.36,58.83,77.38,62.14,44.29,17.04,13.70,7.03,7.94,4.56,0.08,
World,2067,136.10,83.77,58.57,77.22,62.21,43.90,16.47,13.19,6.42,7.47,4.11,-0.16,
World,2068,137.72,84.19,58.15,77.58,61.99,43.74,15.91,12.69,5.82,7.00,3.66,-0.41,
World,2069,139.34,84.61,57.74,77.75,61.62,43.38,15.34,12.19,5.21,6.54,3.20,-0.65,
World,2070,140.96,85.02,57.46,77.99,61.22,43.17,14.77,11.68,4.61,6.07,2.75,-0.89,
World,2071,141.74,85.32,57.07,78.06,60.88,42.75,14.48,11.27,4.34,5.63,2.42,-1.06,
World,2072,142.53,85.62,56.63,78.11,60.74,42.47,14.18,10.85,4.07,5.19,2.08,-1.22,
World,2073,143.31,85.91,56.26,78.26,60.49,42.08,13.88,10.43,3.80,4.75,1.75,-1.38,
World,2074,144.09,86.21,55.81,78.46,60.21,41.46,13.59,10.01,3.53,4.32,1.42,-1.54,
World,2075,144.87,86.51,55.41,78.66,59.72,40.81,13.29,9.59,3.26,3.88,1.08,-1.70,
World,2076,145.66,86.80,55.09,78.56,59.55,40.29,12.99,9.17,2.99,3.44,0.75,-1.86,
World,2077,146.44,87.10,54.84,78.66,59.05,39.76,12.70,8.75,2.72,3.00,0.42,-2.03,
World,2078,147.22,87.40,54.58,78.80,58.42,39.25,12.40,8.33,2.45,2.56,0.09,-2.19,
World,2079,148.00,87.69,54.26,78.84,58.02,38.74,12.10,7.91,2.18,2.12,-0.25,-2.35,
World,2080,148.79,87.99,53.93,78.91,57.62,38.22,11.81,7.50,1.91,1.69,-0.58,-2.51,
World,2081,150.04,87.96,53.50,78.81,57.38,37.60,11.70,7.22,1.70,1.41,-0.87,-2.83,
World,2082,151.29,87.92,53.37,79.10,57.21,36.99,11.59,6.94,1.49,1.13,-1.17,-3.15,
World,2083,152.54,87.89,53.18,79.33,56.91,36.39,11.48,6.66,1.28,0.85,-1.46,-3.46,
World,2084,153.79,87.85,53.02,79.49,56.37,35.85,11.38,6.38,1.07,0.57,-1.76,-3.78,
World,2085,155.05,87.82,52.73,79.44,55.78,35.32,11.27,6.10,0.86,0.29,-2.05,-4.10,
World,2086,156.30,87.79,52.53,79.18,55.09,35.29,11.16,5.82,0.65,0.01,-2.35,-4.41,
World,2087,157.55,87.75,52.31,79.04,54.34,35.10,11.05,5.54,0.44,-0.27,-2.64,-4.73,
World,2088,158.80,87.72,52.08,78.94,53.78,34.89,10.94,5.26,0.22,-0.55,-2.94,-5.05,
World,2089,160.06,87.68,51.85,78.68,53.62,34.71,10.84,4.98,0.01,-0.83,-3.23,-5.36,
World,2090,161.31,87.65,51.55,78.43,53.74,34.42,10.73,4.70,-0.20,-1.11,-3.53,-5.68,
World,2091,162.69,87.15,51.23,78.18,53.46,34.15,10.66,4.52,-0.45,-1.28,-3.72,-6.08,
World,2092,164.07,86.65,50.88,77.98,53.43,33.89,10.59,4.35,-0.71,-1.45,-3.91,-6.47,
World,2093,165.46,86.15,50.51,77.75,53.69,34.13,10.53,4.18,-0.96,-1.61,-4.11,-6.87,
World,2094,166.84,85.65,50.25,77.43,53.78,33.62,10.46,4.00,-1.22,-1.78,-4.30,-7.26,
World,2095,168.22,85.15,49.99,76.99,53.73,33.10,10.39,3.83,-1.47,-1.95,-4.49,-7.66,
World,2096,169.61,84.65,49.61,76.85,53.73,32.59,10.32,3.66,-1.73,-2.12,-4.69,-8.05,
World,2097,170.99,84.16,49.31,76.79,53.67,32.02,10.26,3.48,-1.99,-2.29,-4.88,-8.45,
World,2098,172.38,83.66,49.18,76.82,53.57,31.34,10.19,3.31,-2.24,-2.46,-5.07,-8.84,
World,2099,173.76,83.16,48.94,76.73,53.24,30.82,10.12,3.14,-2.50,-2.62,-5.27,-9.24,
World,2100,175.14,82.66,48.81,76.69,52.89,30.45,10.05,2.97,-2.75,-2.79,-5.46,-9.63,
