Entity,Year,Number of trees,Tree density (trees per km2),Tree density (trees per capita)
Afghanistan,2014,363350272,562.8843203,11.61586493
Albania,2014,1075789312,37403.53706,371.669927
Algeria,2014,835195712,360.5156159,20.91704828
American Samoa,2014,2733980,12165.83751,49.42118583
Andorra,2014,23110062,51104.03436,288.3243547
Angola,2014,42050605056,33498.98433,1899.539652
Anguilla,2014,128658.7422,1536.132078,9.564283541
Antigua and Barbuda,2014,7557658.5,17245.91138,83.13981387
Argentina,2014,50239651840,18029.40271,1201.815698
Armenia,2014,401684608,13514.22321,134.6132554
Aruba,2014,62972.375,344.017345,0.608834634
Australia,2014,76714500096,9941.12907,3265.734207
Austria,2014,3075817472,36722.49556,360.3984247
Azerbaijan,2014,774163904,8967.339893,81.16777843
Bahamas,2014,172517984,12828.71429,450.9437046
Bahrain,2014,3034,4.544569434,0.002257254
Bangladesh,2014,962728512,6862.857493,6.073515255
Barbados,2014,4538993.5,10380.41805,15.86694504
Belarus,2014,5708252672,27649.56489,602.7721935
Belgium,2014,528807456,17253.37953,47.1089269
Belize,2014,1206968576,54584.57102,3552.436075
Benin,2014,2060631680,17740.20868,194.4082019
Bermuda,2014,48299.10938,707.5797305,0.740999822
Bhutan,2014,1851211264,47572.22428,2418.139152
Bolivia,2014,59277484032,54409.96827,5464.539096
Bonaire Sint Eustatius and Saba,2014,1142610.125,3508.619856,54.06757796
Bosnia and Herzegovina,2014,1971107584,38589.0904,515.3564665
Botswana,2014,8090545152,13928.51512,3968.702416
Brazil,2014,3.02E+11,35288.2947,1493.719411
British Indian Ocean Territory,2014,42790.3,659.630554,14.26343333
British Virgin Islands,2014,1358791.25,7980.308983,48.43484886
Brunei,2014,362057792,62333.37385,855.5139755
Bulgaria,2014,2789703168,24986.59329,386.0491043
Burkina Faso,2014,1020747520,3710.56781,58.59759357
Burundi,2014,379962624,14011.40286,36.24645742
Cambodia,2014,5550584320,30421.32842,360.2341029
Cameroon,2014,19430844416,41420.83362,851.5341505
Canada,2014,3.18E+11,32054.55088,8952.638517
Cape Verde,2014,21382088,5196.954075,42.45535574
Cayman Islands,2014,5952453,21117.05022,100.5040523
Central African Republic,2014,24261509120,38861.0685,5151.935289
Chad,2014,4657983488,3646.856151,352.5798207
Chile,2014,19183013888,25274.19629,1079.342436
China,2014,1.40E+11,14852.60182,102.3527132
Christmas Island,2014,564691.8125,4019.4735,272.5346585
Colombia,2014,51425353728,44950.66058,1051.004756
Comoros,2014,71864784,42688.48509,95.50924329
Congo,2014,14476389376,42088.15532,3175.625944
Cook Islands,2014,2450550,9328.853951,163.6536664
Costa Rica,2014,1907686400,37041.80704,386.3469127
Cote d'Ivoire,2014,7268032000,22449.72772,349.3444341
Croatia,2014,2347630080,41129.4886,554.1568502
Cuba,2014,2295274496,20627.23094,203.8686078
Curacao,2014,1503070,3412.980985,9.642976288
Cyprus,2014,63088928,11004.59937,54.71444455
Czech Republic,2014,2029378816,25821.63136,193.0798794
Democratic Republic of Congo,2014,1.01E+11,43230.5,1460.728436
Denmark,2014,303744992,7059.338747,53.8596491
Djibouti,2014,1359610.875,62.31030591,1.534007597
Dominica,2014,36888112,48628.03908,509.9198518
Dominican Republic,2014,1076733696,22270.39882,102.2640707
Ecuador,2014,10311026688,39912.15821,645.1427365
Egypt,2014,68253608,69.10092352,0.818518734
El Salvador,2014,408137600,19865.64062,63.93381197
Equatorial Guinea,2014,1677304448,61790.54883,2155.74929
Eritrea,2014,303284512,2516.173959,46.40090965
Estonia,2014,1864416640,41111.54174,1419.269772
Ethiopia,2014,13831444480,12151.28614,143.3220736
Faeroe Islands,2014,105559312,73601.01519,2134.235989
Falkland Islands,2014,187163536,15120.53837,63834.76671
Fiji,2014,157028640,8235.148756,177.0280273
Finland,2014,24375093248,72643.508,4461.364502
France,2014,12061049856,21955.84793,182.1873289
French Guiana,2014,5058747904,60326.03085,20226.173
French Polynesia,2014,29777000,7304.58631,106.409134
Gabon,2014,13914430464,52243.89667,8130.940951
Gambia,2014,51556520,4802.83569,27.00773303
Georgia,2014,2511206144,35930.01368,557.5378309
Germany,2014,8627454976,24182.25563,106.6572848
Ghana,2014,4554743808,18988.70122,172.2529743
Gibraltar,2014,14662.18555,2029.944212,0.488723227
Greece,2014,3228877056,24323.35746,294.6663323
Greenland,2014,279451904,130.5483995,4964.062599
Grenada,2014,10501244,29029.89172,98.78596089
Guadeloupe,2014,56673696,34148.39211,140.3682873
Guam,2014,1555332.875,2812.033424,9.283020036
Guatemala,2014,4663245824,42478.487,294.0308901
Guernsey,2014,193486.0938,2189.754987,2.938330024
Guinea,2014,8895597568,36108.56427,738.5978832
Guinea-Bissau,2014,1023119744,30011.60853,586.0470364
Guyana,2014,11807313920,55923.05359,14691.61606
Haiti,2014,148971808,5466.674789,14.24012846
Honduras,2014,4725467136,41837.91633,572.038581
