Entity,Year,HIV funding (US$)
Afghanistan,2015,0
Albania,2005,2376957
Algeria,2014,17268654
Angola,2016,19767460
Antigua and Barbuda,2015,5955882
Argentina,2012,179007273
Armenia,2016,4222796
Aruba,2007,10000
Australia,2006,101415112
Azerbaijan,2014,20627360
Bahamas,2009,4901265
Bangladesh,2015,12759322
Barbados,2013,15971143
Belarus,2016,17639015
Belgium,2010,159087442
Belize,2012,2836772
Benin,2016,16793566
Bolivia,2012,11768762
Bosnia and Herzegovina,2009,3584302
Botswana,2011,390616019
Brazil,2014,804365939
Bulgaria,2015,12925532
Burkina Faso,2013,58401078
Burundi,2014,18414529
Cabo Verde,2014,3811654
Cambodia,2012,50883717
Cameroon,2013,72549303
Central African Republic,2011,15784564
Chad,2013,17632654
Chile,2015,172772050
China,2014,989975570
Colombia,2013,119528046
Comoros,2014,1052149
Congo,2010,16472586
Costa Rica,2012,22246679
Cote d'Ivoire,2013,103855516
Croatia,2013,14363785
Cuba,2013,69734372
Czech Republic,2009,70147859
Democratic Republic of Congo,2014,97139495
Djibouti,2014,2883765
Dominica,2012,336411
Dominican Republic,2012,40729788
Ecuador,2014,13230522
Egypt,2008,7652152
El Salvador,2015,69971303
Equatorial Guinea,2013,8715789
Eritrea,2009,13661214
Estonia,2010,16353142
Ethiopia,2016,351583871
Fiji,2014,213386
Gabon,2014,6452777
Gambia,2014,3850001
Georgia,2015,15953310
Ghana,2015,92306722
Greece,2008,96058435
Grenada,2013,194829
Guatemala,2016,50464376
Guinea,2014,15762745
Guinea-Bissau,2010,5258837
Guyana,2012,21921471
Haiti,2013,127874387
Honduras,2013,36713777
Hungary,2009,3496377
India,2014,164330065
Indonesia,2012,87002694
Iran,2012,74486120
Italy,2011,508145475
Jamaica,2012,17136135
Japan,2011,67907854
Jordan,2013,1079616
Kazakhstan,2014,43041167
Kenya,2013,850027886
Kiribati,2016,252340
Kuwait,2014,22365503
Kyrgyzstan,2014,15978696
Laos,2011,11749216
Latvia,2014,8763408
Lebanon,2013,5191497
Lesotho,2014,111570742
Liberia,2011,31123572
Lithuania,2012,2496551
Luxembourg,2009,0
Macedonia,2010,4764351
Madagascar,2016,3563919
Malawi,2015,230210286
Malaysia,2014,53802556
Mali,2012,21794990
Marshall Islands,2014,679774
Mauritania,2013,2731148
Mauritius,2010,7524015
Mexico,2011,534914169
Micronesia,2014,344004
Moldova,2014,9200220
Mongolia,2014,2858199
Montenegro,2009,830121
Morocco,2015,22099998
Mozambique,2016,329521478
Myanmar,2013,56389652
Namibia,2013,218231939
Nauru,2009,97112
Nepal,2009,20454800
Nicaragua,2010,24894867
Niger,2012,16094800
Nigeria,2012,574310062
North Korea,2011,1145420
Oman,2014,4324861
Pakistan,2013,9993630
Palau,2014,30032
Panama,2012,47835016
Papua New Guinea,2012,36659267
Paraguay,2013,14941352
Peru,2014,78148248
Philippines,2013,10319421
Poland,2014,83684559
Portugal,2013,274577668
Romania,2014,98535201
Russia,2014,512676056
Rwanda,2012,243667683
Saint Kitts and Nevis,2013,85110
Saint Lucia,2007,772018
Saint Vincent and the Grenadines,2012,1466605
Samoa,2013,903852
Sao Tome and Principe,2014,751806
Saudi Arabia,2009,19389141
Senegal,2013,22380530
Serbia,2013,16333869
Seychelles,2014,3560043
Sierra Leone,2011,20905243
Singapore,2014,23202747
Solomon Islands,2011,908429
Somalia,2009,5981774
South Africa,2014,1880672908
South Korea,2011,11171000
South Sudan,2012,24154614
Spain,2013,919488342
Sri Lanka,2013,1226938
Sudan,2013,13840875
Suriname,2011,4674508
Swaziland,2013,96931522
Sweden,2009,0
Switzerland,2012,3411878
Syria,2011,809850
Tajikistan,2013,14077893
Tanzania,2005,266371077
Thailand,2013,287278782
Timor-Leste,2009,1803014
Togo,2014,25321421
Tonga,2014,158093
Trinidad and Tobago,2009,13810965
Tunisia,2011,2742549
Turkey,2012,12291905
Tuvalu,2013,34455
Uganda,2008,296649946
Ukraine,2015,97737794
United Arab Emirates,2012,32476417
United Kingdom,2009,80303030
Uruguay,2007,14077809
Uzbekistan,2014,19113116
Vanuatu,2013,867286
Venezuela,2013,72603708
Vietnam,2012,95446487
Yemen,2011,1613920
Zambia,2012,282218626
Zimbabwe,2013,253479644
