Entity,Year,Unintended pregnancy rates
Africa,1994,107
Africa,1999,103
Africa,2004,100
Africa,2009,95
Africa,2014,89
Asia,1994,68
Asia,1999,63
Asia,2004,59
Asia,2009,55
Asia,2014,54
Caribbean,1994,119
Caribbean,1999,119
Caribbean,2004,120
Caribbean,2009,118
Caribbean,2014,116
Central America,1994,90
Central America,1999,85
Central America,2004,85
Central America,2009,84
Central America,2014,82
Central Asia,1994,73
Central Asia,1999,64
Central Asia,2004,56
Central Asia,2009,52
Central Asia,2014,53
Developed countries,1994,77
Developed countries,1999,72
Developed countries,2004,69
Developed countries,2009,66
Developed countries,2014,65
Developing countries,1994,64
Developing countries,1999,59
Developing countries,2004,54
Developing countries,2009,50
Developing countries,2014,45
Eastern Africa,1994,127
Eastern Africa,1999,125
Eastern Africa,2004,126
Eastern Africa,2009,122
Eastern Africa,2014,112
Eastern Asia,1994,54
Eastern Asia,1999,49
Eastern Asia,2004,45
Eastern Asia,2009,44
Eastern Asia,2014,45
Eastern Europe,1994,104
Eastern Europe,1999,88
Eastern Europe,2004,76
Eastern Europe,2009,65
Eastern Europe,2014,54
Europe,1994,66
Europe,1999,59
Europe,2004,52
Europe,2009,46
Europe,2014,41
Latin America,1994,103
Latin America,1999,99
Latin America,2004,98
Latin America,2009,96
Latin America,2014,96
Middle Africa,1994,118
Middle Africa,1999,119
Middle Africa,2004,119
Middle Africa,2009,111
Middle Africa,2014,103
North America,1994,50
North America,1999,49
North America,2004,51
North America,2009,50
North America,2014,47
Northern Africa,1994,98
Northern Africa,1999,84
Northern Africa,2004,71
Northern Africa,2009,68
Northern Africa,2014,68
Northern Europe,1994,32
Northern Europe,1999,31
Northern Europe,2004,28
Northern Europe,2009,27
Northern Europe,2014,27
Oceania,1994,49
Oceania,1999,51
Oceania,2004,54
Oceania,2009,53
Oceania,2014,48
South America,1994,105
South America,1999,103
South America,2004,100
South America,2009,99
South America,2014,99
South and Central Asia,1994,76
South and Central Asia,1999,69
South and Central Asia,2004,66
South and Central Asia,2009,61
South and Central Asia,2014,59
South Asia,1994,76
South Asia,1999,69
South Asia,2004,66
South Asia,2009,62
South Asia,2014,59
Southeastern Asia,1994,84
Southeastern Asia,1999,78
Southeastern Asia,2004,71
Southeastern Asia,2009,62
Southeastern Asia,2014,58
Southern Africa,1994,106
Southern Africa,1999,103
Southern Africa,2004,98
Southern Africa,2009,97
Southern Africa,2014,94
Southern Europe,1994,53
Southern Europe,1999,50
Southern Europe,2004,44
Southern Europe,2009,41
Southern Europe,2014,40
Western Africa,1994,87
Western Africa,1999,88
Western Africa,2004,86
Western Africa,2009,78
Western Africa,2014,72
Western Asia,1994,97
Western Asia,1999,95
Western Asia,2004,87
Western Asia,2009,76
Western Asia,2014,70
Western Europe,1994,28
Western Europe,1999,29
Western Europe,2004,28
Western Europe,2009,28
Western Europe,2014,28
World,1994,74
World,1999,70
World,2004,67
World,2009,63
World,2014,62
