Entity,Year,Coastal population,Per capita waste generation rate,Share of plastics in waste stream,Share of plastic inadequately managed,Municipal waste generated,Plastic waste generated,Inadequately managed plastic waste,Plastic waste littered,Per capita mismanaged plastic waste,Total mismanaged plastic waste in 2010,Total mismanaged plastic waste in 2025,Per capita plastic waste (kg/person/day)
Albania,2010,2530533,0.77,9,45,1948510,174392,77897,3488,0.032,29705,63051,0.069
Algeria,2010,16556580,1.2,12,58,19867896,2374214,1378693,47484,0.086,520555,1017444,0.144
Angola,2010,3790041,0.48,13,71,1819220,235589,166597,4712,0.045,62528,136770,0.062
Anguilla,2010,14561,2.1,12,2,30578,3654,68,73,0.01,52,73,0.252
Antigua and Barbuda,2010,66843,5.5,12,6,367637,43933,2555,879,0.051,1253,1385,0.66
Argentina,2010,16449245,1.22,15,12,20068079,3000178,372261,60004,0.026,157777,320197,0.183
Aruba,2010,137910,2.1,12,1,289611,34609,326,692,0.007,372,476,0.252
Australia,2010,17235954,2.23,5,0,38436177,1902591,0,38052,0.002,13889,24653,0.112
Bahamas,2010,341145,3.25,12,1,1108721,132492,1002,2650,0.011,1333,1718,0.39
Bahrain,2010,743574,1.1,12,10,817931,97743,10033,1955,0.016,4376,9915,0.132
Bangladesh,2010,70874124,0.43,8,87,30475873,2422832,2108603,48457,0.03,787327,2210230,0.034
Barbados,2010,276784,4.75,12,4,1314724,157110,6400,3142,0.034,3483,3719,0.57
Belgium,2010,4747957,1.33,6,0,6314783,375730,0,7515,0.002,2743,5739,0.08
Belize,2010,202429,2.87,6,29,580971,34568,9972,691,0.053,3892,6042,0.172
Benin,2010,3235418,0.54,8,83,1747126,138896,115073,2778,0.036,43015,119467,0.043
Bermuda,2010,66966,2.1,12,0,140629,16805,0,336,0.005,123,173,0.252
Bosnia and Herzegovina,2010,585582,1.2,12,40,702698,83972,33813,1679,0.061,12955,20201,0.144
Brazil,2010,74696771,1.03,16,9,76937674,12271559,1046087,245431,0.017,471404,954198,0.165
British Virgin Islands,2010,29674,2.1,12,0,62315,7447,3,149,0.005,55,78,0.252
Brunei,2010,359871,0.87,3,1,313088,9236,71,185,0.001,93,341,0.026
Bulgaria,2010,1002695,1.28,12,31,1283450,153372,48273,3067,0.051,18739,25770,0.154
Cambodia,2010,1391254,0.6,11,87,834752,91405,79502,1828,0.058,29686,62834,0.066
Cameroon,2010,1986723,0.77,6,81,1529777,91022,74107,1820,0.038,27713,71863,0.046
Canada,2010,11846863,2.33,4,0,27603191,1090326,0,21807,0.002,7959,14668,0.093
Cape Verde,2010,522245,0.5,13,74,261123,33815,24933,676,0.049,9347,18475,0.065
Cayman Islands,2010,51864,2.1,12,0,108914,13015,0,260,0.005,95,134,0.252
Channel Islands,2010,153352,2.1,12,0,322039,38484,0,770,0.005,281,355,0.252
Chile,2010,5621550,1.08,11,7,6071274,664805,46304,13296,0.011,21754,42562,0.119
China,2010,262892387,1.1,11,74,289181626,31665388,23530300,633308,0.092,8819717,17814777,0.121
Christmas Island,2010,1402,2.1,12,0,2944,352,0,7,0.005,3,4,0.252
Cocos Islands,2010,596,2.1,12,0,1252,150,0,3,0.005,1,2,0.252
Colombia,2010,7498563,1.2,12,21,8998276,1075294,231024,21506,0.034,92173,179973,0.144
Comoros,2010,938595,2.23,9,83,2093067,187329,155246,3747,0.169,58032,100870,0.201
Congo,2010,847807,0.53,13,77,449338,58189,44769,1164,0.054,16766,39853,0.069
Cook Islands,2010,20934,1.2,12,36,25121,3002,1079,60,0.054,416,784,0.144
Costa Rica,2010,2479298,1.36,19,16,3371845,638965,102536,12779,0.047,42090,75895,0.258
Cote d'Ivoire,2010,6230583,0.79,13,82,4922161,637420,520288,12748,0.086,194558,537163,0.103
Croatia,2010,1602782,2.1,12,9,3365842,402218,37053,8044,0.028,16461,19593,0.252
Cuba,2010,11333471,0.81,11,23,9180112,1005222,228196,20104,0.022,90630,180454,0.089
Curacao,2010,143784,2.1,12,0,301946,36083,12,722,0.005,268,378,0.252
Cyprus,2010,840556,2.07,12,0,1739951,207924,831,4158,0.006,1821,2611,0.248
Democratic Republic of Congo,2010,1076056,0.5,9,85,538028,48154,40703,963,0.039,15208,43480,0.045
Denmark,2010,5376386,2.34,2,0,12580743,245324,0,4906,0.001,1791,4233,0.047
Djibouti,2010,621744,0.79,13,73,491178,63608,46191,1272,0.076,17324,45612,0.103
Dominica,2010,70138,1.24,12,19,86971,10393,1938,208,0.031,783,1428,0.149
Dominican Republic,2010,8232586,1.2,12,25,9879103,1180553,300295,23611,0.039,118226,228671,0.144
Ecuador,2010,6400048,1.13,13,30,7232054,936551,280948,18731,0.047,109383,211021,0.147
Egypt,2010,21750943,1.37,13,67,29798792,3858944,2572170,77179,0.122,967012,1937428,0.178
El Salvador,2010,6410726,1.13,13,33,7244120,938114,306531,18762,0.051,118732,226860,0.147
Equatorial Guinea,2010,351600,1.2,12,30,421920,50419,15367,1008,0.047,5977,14124,0.144
Eritrea,2010,1266222,0.5,9,77,633111,56663,43411,1133,0.035,16259,43484,0.045
Estonia,2010,878021,1.47,12,9,1290691,154238,13296,3085,0.019,5979,8367,0.176
Faeroe Islands,2010,50554,2.1,12,0,106163,12687,0,254,0.005,93,131,0.252
Falkland Islands,2010,2602,2.1,12,0,5464,653,0,13,0.005,5,7,0.252
Fiji,2010,896145,2.1,9,78,1881905,168430,131582,3369,0.151,49257,70995,0.189
Finland,2010,2927674,2.13,11,0,6235946,682836,0,13657,0.005,4985,6422,0.234
France,2010,17287280,1.92,10,0,33191578,3302562,0,66051,0.004,24109,34671,0.192
French Guiana,2010,167631,1.2,12,25,201157,24038,5986,481,0.039,2360,5577,0.144
French Polynesia,2010,270618,2.1,12,3,568298,67912,2165,1358,0.013,1286,1824,0.252
Gabon,2010,862328,0.45,12,34,388048,46372,15750,927,0.019,6087,15446,0.054
Gambia,2010,1324214,0.53,9,84,701833,62814,52485,1256,0.041,19616,53498,0.048
Georgia,2010,1124249,1.69,4,51,1899981,75049,38149,1501,0.035,14472,24532,0.068
Germany,2010,8837035,2.11,23,0,18646144,4279290,0,85586,0.01,31239,33317,0.485
Ghana,2010,7727702,0.79,5,81,6104885,302192,244835,6044,0.032,91571,325116,0.04
Gibraltar,2010,33483,2.1,12,0,70314,8403,9,168,0.005,65,92,0.252
Greece,2010,9794702,2,10,0,19589404,1949146,0,38983,0.004,14229,18621,0.2
