Entity,Year,"Agricultural area (FAO (2006), OECD (2012), MEA (2005))","FAO/IMAGE (FAO (2006), OECD (2012), MEA (2005))","IAASTD (FAO (2006), OECD (2012), MEA (2005))","OECD Outlook Baseline (FAO (2006), OECD (2012), MEA (2005))","MEA Scenario 1 (FAO (2006), OECD (2012), MEA (2005))","MEA Scenario 2 (FAO (2006), OECD (2012), MEA (2005))","MEA Scenario 3 (FAO (2006), OECD (2012), MEA (2005))","MEA Scenario 4 (FAO (2006), OECD (2012), MEA (2005))"
World,1961,4457982610,,,,,,,
World,1962,4469148500,,,,,,,
World,1963,4480710510,,,,,,,
World,1964,4490030170,,,,,,,
World,1965,4505415730,,,,,,,
World,1966,4511845090,,,,,,,
World,1967,4526101270,,,,,,,
World,1968,4535992050,,,,,,,
World,1969,4561351130,,,,,,,
World,1970,4565825570,,,,,,,
World,1971,4576486560,,,,,,,
World,1972,4587514500,,,,,,,
World,1973,4608486900,,,,,,,
World,1974,4617369000,,,,,,,
World,1975,4623117600,,,,,,,
World,1976,4622694600,,,,,,,
World,1977,4622064800,,,,,,,
World,1978,4626665900,,,,,,,
World,1979,4637612800,,,,,,,
World,1980,4649713300,4660000000,4671706000,4660000000,4772745000,4772745000,4772745000,4772744000
World,1981,4651242500,,,,,,,
World,1982,4670004440,,,,,,,
World,1983,4678081840,,,,,,,
World,1984,4707067560,,,,,,,
World,1985,4738020400,4700000000,4712374000,4700000000,4842898000,4842898000,4842898000,4842898000
World,1986,4763752600,,,,,,,
World,1987,4780078700,,,,,,,
World,1988,4800673400,,,,,,,
World,1989,4815425600,,,,,,,
World,1990,4831296500,4780000000,4795341000,4780000000,4873995000,4873995000,4873995000,4873993000
World,1991,4840746900,,,,,,,
World,1992,4882230180,,,,,,,
World,1993,4913005600,,,,,,,
World,1994,4929041900,,,,,,,
World,1995,4929021900,4770000000,4780332000,4770000000,4903360000,4903360000,4903360000,4903360000
World,1996,4932980860,,,,,,,
World,1997,4946720120,,,,,,,
World,1998,4953605520,,,,,,,
World,1999,4950130990,,,,,,,
World,2000,4954547600,4887287000,4871877000,4880000000,5108501000,5005188000,5043538000,4977307000
World,2001,4952448310,,,,,,,
World,2002,4940639260,,,,,,,
World,2003,4928316640,,,,,,,
World,2004,4938995360,,,,,,,
World,2005,4940412120,4853588000,4928842000,5040000000,5256705000,5072271000,5116994000,5016703000
World,2006,4924546650,,,,,,,
World,2007,4922923590,,,,,,,
World,2008,4919975520,,,,,,,
World,2009,4873236640,,,,,,,
World,2010,4869441830,4879198000,4974104000,5160000000,5367052000,5100299000,5160455000,5027098000
World,2011,4880222660,,,,,,,
World,2012,4889717050,,,,,,,
World,2013,4886231150,,,,,,,
World,2014,4900105170,,,,,,,
World,2015,,4917245000,5047647000,5320000000,5488788000,5131167000,5191925000,5009131000
World,2020,,4928607000,5072476000,5420000000,5534770000,5154101000,5200057000,5001812000
World,2025,,4929338000,5123920000,5410000000,5601268000,5142337000,5194166000,4995022000
World,2030,,4920924000,5144519000,5380000000,5670515000,5114970000,5213164000,5036932000
World,2035,,4932587000,5133486000,5320000000,5716547000,5091336000,5234827000,5085366000
World,2040,,4933298000,5137237000,5260000000,5737714000,5079698000,5234873000,5111401000
World,2045,,4923676000,5119171000,5190000000,5782910000,5066955000,5225970000,5112006000
World,2050,,4910530000,5113928000,5110000000,5819687000,5053664000,5219146000,5091759000
