Entity,Year,Global Hunger Index in 2017 (Global Hunger Index 2017)
Afghanistan,2017,33.3
Albania,2017,11.1
Algeria,2017,9.5
Angola,2017,32.5
Argentina,2017,5.4
Armenia,2017,7.7
Azerbaijan,2017,9.6
Bangladesh,2017,26.5
Belarus,2017,2.5
Benin,2017,24.4
Bolivia,2017,17.2
Bosnia and Herzegovina,2017,2.5
Botswana,2017,24.4
Brazil,2017,5.4
Bulgaria,2017,5.4
Burkina Faso,2017,27.6
Cambodia,2017,22.2
Cameroon,2017,22.1
Central African Republic,2017,50.9
Chad,2017,43.5
Chile,2017,2.5
China,2017,7.5
Colombia,2017,8
Congo,2017,25.6
Costa Rica,2017,5.3
Cote d'Ivoire,2017,26.5
Croatia,2017,2.5
Cuba,2017,2.5
Djibouti,2017,31.4
Dominican Republic,2017,11.6
Ecuador,2017,14.4
Egypt,2017,14.7
El Salvador,2017,11.1
Estonia,2017,2.5
Ethiopia,2017,32.3
Fiji,2017,8.1
Gabon,2017,13.8
Gambia,2017,23.2
Georgia,2017,7.7
Ghana,2017,16.2
Guatemala,2017,20.7
Guinea,2017,28.6
Guinea-Bissau,2017,30.6
Guyana,2017,13.7
Haiti,2017,34.2
Honduras,2017,14.3
India,2017,31.4
Indonesia,2017,22
Iran,2017,7.6
Iraq,2017,22.9
Jamaica,2017,8
Jordan,2017,6.7
Kazakhstan,2017,5.8
Kenya,2017,21
Kuwait,2017,2.5
Kyrgyzstan,2017,9.3
Laos,2017,27.5
Latvia,2017,2.5
Lebanon,2017,8.1
Lesotho,2017,24.1
Liberia,2017,35.3
Lithuania,2017,2.5
Macedonia,2017,5.3
Madagascar,2017,38.3
Malawi,2017,27.2
Malaysia,2017,10.2
Mali,2017,28.6
Mauritania,2017,25.2
Mauritius,2017,13.3
Mexico,2017,6.5
Moldova,2017,7.6
Mongolia,2017,13.4
Montenegro,2017,2.5
Morocco,2017,10.2
Mozambique,2017,30.5
Myanmar,2017,22.6
Namibia,2017,25.7
Nepal,2017,22
Nicaragua,2017,13.6
Niger,2017,34.5
Nigeria,2017,25.5
North Korea,2017,28.2
Oman,2017,11.3
Pakistan,2017,32.6
Panama,2017,9.2
Paraguay,2017,11
Peru,2017,8.7
Philippines,2017,20
Romania,2017,5.2
Russia,2017,6.2
Rwanda,2017,31.4
Saudi Arabia,2017,7.1
Senegal,2017,18.4
Serbia,2017,6.6
Sierra Leone,2017,38.5
Slovakia,2017,2.5
South Africa,2017,13.2
Sri Lanka,2017,25.5
Sudan,2017,35.5
Suriname,2017,9.9
Swaziland,2017,21.2
Tajikistan,2017,28.7
Tanzania,2017,28.8
Thailand,2017,10.6
Timor,2017,34.3
Togo,2017,22.5
Trinidad and Tobago,2017,6.9
Tunisia,2017,7.4
Turkey,2017,2.5
Turkmenistan,2017,12.2
Uganda,2017,32
Ukraine,2017,2.5
Uruguay,2017,2.5
Uzbekistan,2017,13.1
Venezuela,2017,13
Vietnam,2017,16
Yemen,2017,36.1
Zambia,2017,38.2
Zimbabwe,2017,33.8
