Entity,Year,Population Total,Population younger than 5,Population younger than 15,PopulationTotal_SSP2,PopulationUnder5_SSP2,PopulationUnder15_SSP2,PopulationTotal_SSP2_FT,PopulationUnder5_SSP2_FT,PopulationUnder15_SSP2_FT,PopulationTotal_SSP2_CER,PopulationUnder5_SSP2_CER,PopulationUnder15_SSP2_CER
Africa,1970,368002720,66142688,163661984,368002720,66142688,163661984,368002720,66142688,163661984,368002720,66142688,163661984
Africa,1975,420166976,76001744,188124192,420166976,76001744,188124192,420166976,76001744,188124192,420166976,76001744,188124192
Africa,1980,482569664,87114872,216124128,482569664,87114864,216124112,482569664,87114864,216124112,482569664,87114864,216124112
Africa,1985,553231936,99005264,248772912,553231936,99005256,248772896,553231936,99005256,248772896,553231936,99005256,248772896
Africa,1990,634977088,109836240,282240096,634977088,109836240,282240096,634977088,109836240,282240096,634977088,109836240,282240096
Africa,1995,720581760,118923888,312818272,720581760,118923888,312818272,720581760,118923888,312818272,720581760,118923888,312818272
Africa,2000,810706688,129054480,342407360,810706752,129054480,342407360,810706752,129054480,342407360,810706752,129054480,342407360
Africa,2005,910590464,142432656,374806016,910590464,142432656,374806016,910590464,142432656,374806016,910590464,142432656,374806016
Africa,2010,1021612736,155237904,411556928,1021612672,155237904,411556928,1021612992,155237904,411556928,1021612992,155237904,411556928
Africa,2015,1141314304,165171616,448425408,1141314304,165171616,448425408,1137929216,161666096,445063776,1143920128,167657344,451055040
Africa,2020,1267694208,174121296,480958592,1267694208,174121296,480958592,1255195136,164526944,468199520,1276558592,180679888,489995040
Africa,2025,1396670464,181192992,507724352,1396670336,181192992,507724384,1370687104,166623936,480809280,1414988032,191450080,526420352
Africa,2030,1526196480,186477568,529410208,1526196480,186477568,529410240,1483785472,168232080,488443936,1557408000,200794016,559410816
Africa,2035,1654855168,191071952,546841344,1654855168,191071952,546841344,1593405312,169427216,494317376,1702264064,209391632,588111872
Africa,2040,1781015424,194245152,560525056,1781015424,194245152,560525056,1697637504,168880880,497518208,1848027392,216818304,613617600
Africa,2045,1902342144,195550160,570194816,1902342144,195550160,570194816,1793916672,166177568,496262944,1992368384,222509184,635450688
