Entity,Year,Plastic waste generated (% global total),Mismanaged waste (% global total),Mismanaged waste in 2025 (% global total)
Albania,2010,0.0640,0.0933,0.0913
Albania,2025,0.0913,,
Algeria,2010,0.8712,1.6347,1.4729
Algeria,2025,1.4729,,
Angola,2010,0.0864,0.1964,0.1980
Angola,2025,0.1980,,
Anguilla,2010,0.0013,0.0002,0.0001
Anguilla,2025,0.0001,,
Antigua and Barbuda,2010,0.0161,0.0039,0.0020
Antigua and Barbuda,2025,0.0020,,
Argentina,2010,1.1009,0.4955,0.4635
Argentina,2025,0.4635,,
Aruba,2010,0.0127,0.0012,0.0007
Aruba,2025,0.0007,,
Australia,2010,0.6981,0.0436,0.0357
Australia,2025,0.0357,,
Bahamas,2010,0.0486,0.0042,0.0025
Bahamas,2025,0.0025,,
Bahrain,2010,0.0359,0.0137,0.0144
Bahrain,2025,0.0144,,
Bangladesh,2010,0.8890,2.4725,3.1996
Bangladesh,2025,3.1996,,
Barbados,2010,0.0576,0.0109,0.0054
Barbados,2025,0.0054,,
Belgium,2010,0.1379,0.0086,0.0083
Belgium,2025,0.0083,,
Belize,2010,0.0127,0.0122,0.0087
Belize,2025,0.0087,,
Benin,2010,0.0510,0.1351,0.1729
Benin,2025,0.1729,,
Bermuda,2010,0.0062,0.0004,0.0003
Bermuda,2025,0.0003,,
Bosnia and Herzegovina,2010,0.0308,0.0407,0.0292
Bosnia and Herzegovina,2025,0.0292,,
Brazil,2010,4.5029,1.4804,1.3813
Brazil,2025,1.3813,,
British Virgin Islands,2010,0.0027,0.0002,0.0001
British Virgin Islands,2025,0.0001,,
Brunei,2010,0.0034,0.0003,0.0005
Brunei,2025,0.0005,,
Bulgaria,2010,0.0563,0.0588,0.0373
Bulgaria,2025,0.0373,,
Cambodia,2010,0.0335,0.0932,0.0910
Cambodia,2025,0.0910,,
Cameroon,2010,0.0334,0.0870,0.1040
Cameroon,2025,0.1040,,
Canada,2010,0.4001,0.0250,0.0212
Canada,2025,0.0212,,
Cape Verde,2010,0.0124,0.0294,0.0267
Cape Verde,2025,0.0267,,
Cayman Islands,2010,0.0048,0.0003,0.0002
Cayman Islands,2025,0.0002,,
Channel Islands,2010,0.0141,0.0009,0.0005
Channel Islands,2025,0.0005,,
Chile,2010,0.2439,0.0683,0.0616
Chile,2025,0.0616,,
China,2010,11.6192,27.6966,25.7893
China,2025,25.7893,,
Christmas Island,2010,0.0001,0.0000,0.0000
Christmas Island,2025,0.0000,,
Cocos Islands,2010,0.0001,0.0000,0.0000
Cocos Islands,2025,0.0000,,
Colombia,2010,0.3946,0.2895,0.2605
Colombia,2025,0.2605,,
Comoros,2010,0.0687,0.1822,0.1460
Comoros,2025,0.1460,,
Congo,2010,0.0214,0.0527,0.0577
Congo,2025,0.0577,,
Cook Islands,2010,0.0011,0.0013,0.0011
Cook Islands,2025,0.0011,,
Costa Rica,2010,0.2345,0.1322,0.1099
Costa Rica,2025,0.1099,,
Cote d'Ivoire,2010,0.2339,0.6110,0.7776
Cote d'Ivoire,2025,0.7776,,
Croatia,2010,0.1476,0.0517,0.0284
Croatia,2025,0.0284,,
Cuba,2010,0.3689,0.2846,0.2612
Cuba,2025,0.2612,,
Curacao,2010,0.0132,0.0008,0.0005
Curacao,2025,0.0005,,
Cyprus,2010,0.0763,0.0057,0.0038
Cyprus,2025,0.0038,,
Democratic Republic of Congo,2010,0.0177,0.0478,0.0629
Democratic Republic of Congo,2025,0.0629,,
Denmark,2010,0.0900,0.0056,0.0061
Denmark,2025,0.0061,,
Djibouti,2010,0.0233,0.0544,0.0660
Djibouti,2025,0.0660,,
Dominica,2010,0.0038,0.0025,0.0021
Dominica,2025,0.0021,,
Dominican Republic,2010,0.4332,0.3713,0.3310
Dominican Republic,2025,0.3310,,
Ecuador,2010,0.3437,0.3435,0.3055
Ecuador,2025,0.3055,,
Egypt,2010,1.4160,3.0367,2.8047
Egypt,2025,2.8047,,
El Salvador,2010,0.3442,0.3729,0.3284
El Salvador,2025,0.3284,,
Equatorial Guinea,2010,0.0185,0.0188,0.0204
Equatorial Guinea,2025,0.0204,,
