Entity,Year,Total health expenditure per capita (WHO (2017)),Out of Pocket Expenditure (OOPS) (WHO (2017)),External Resources on Health (WHO (2017)),GDP per capita (World Bank (2017))
Afghanistan,2014,56.57452735,63.87641185,22.99570451,633.9478643
Albania,2014,272.2042915,49.93165101,0.62192586,4568.568827
Algeria,2014,361.7291743,26.49750353,0,5496.000209
Andorra,2014,3746.334157,15.94330347,,
Angola,2014,179.3578537,23.96154759,2.63035475,5232.7623
Antigua and Barbuda,2014,773.7122465,23.69377894,,13432.07921
Argentina,2014,605.1878448,30.72721234,0.7536654,12245.68067
Armenia,2014,161.5523856,53.51333862,4.3040848,3861.91557
Australia,2014,6031.107458,18.8152037,,62004.79319
Austria,2014,5580.493943,16.14891707,,51322.63997
Azerbaijan,2014,471.4143956,72.08213855,0.58981786,7886.459144
Bahamas,2014,1720.159467,29.22546976,,22497.44971
Bahrain,2014,1242.844177,23.33848208,,24514.99913
Bangladesh,2014,30.83346991,66.97587316,11.82175195,1086.800087
Barbados,2014,1146.041691,29.86858822,1.82225004,15360.0618
Belarus,2014,450.2139558,32.03152429,0,8032.494891
Belgium,2014,4884.066261,17.80520538,,47346.75738
Belize,2014,278.5792093,23.008386,11.37008751,4884.368562
Benin,2014,37.88944806,39.09983944,25.79195584,915.9266408
Bhutan,2014,88.79259723,25.33315988,6.43846287,2560.522132
Bolivia,2014,208.7841942,23.10753831,3.24489958,3124.085434
Bosnia and Herzegovina,2014,463.6399279,27.92931604,1.34138891,4852.318649
Botswana,2014,385.314097,5.18847059,10.09390604,7153.447859
Brazil,2014,947.427696,25.46992862,0,11917.79043
Brunei,2014,957.605998,6.00644004,,41023.88988
Bulgaria,2014,661.8465273,44.19239756,,7853.335191
Burkina Faso,2014,35.19599866,39.09089363,25.33642174,696.8562068
Burundi,2014,21.55325396,21.02226064,50.27867323,286.0023359
Cambodia,2014,61.28475128,74.19197663,16.27022267,1094.576688
Cameroon,2014,58.6522027,66.3124521,11.09288393,1407.403413
Canada,2014,5291.74613,13.6008573,,50440.43376
Cape Verde,2014,173.305672,22.24205073,23.61409717,3661.168758
Central African Republic,2014,15.5874302,46.22359876,45.73379423,354.4519011
Chad,2014,37.10492956,39.15064491,19.43412386,1024.668354
Chile,2014,1137.356265,31.51926039,,14566.14905
China,2014,419.7342406,31.98709235,0,7683.502038
Colombia,2014,569.1852903,15.35502064,1.33210731,7918.0789
Comoros,2014,56.76149624,45.06057633,30.69743175,841.2055558
Congo,2014,161.6386006,17.51202531,4.02168591,3147.071524
Cook Islands,2014,517.8624483,9.87539457,8.03855829,
Costa Rica,2014,970.002032,24.86704298,0,10544.72003
Cote d'Ivoire,2014,88.37029761,50.81174854,9.36885992,1544.321337
Croatia,2014,1050.334391,11.20611835,,13480.65075
Cuba,2014,816.6235369,4.3868948,0,7088.084473
Cyprus,2014,1819.112996,48.71378501,,27340.88382
Czech Republic,2014,1378.521202,14.32592339,,19744.55861
Democratic Republic of Congo,2014,19.0536902,38.76896496,37.81480381,437.8149312
Denmark,2014,6463.243218,13.35969348,,62425.5392
Djibouti,2014,190.7601074,35.8414004,9.93944292,1812.425386
Dominica,2014,407.8128301,28.34174018,3.34010347,7301.235865
Dominican Republic,2014,268.9943173,21.14268879,1.15917872,6268.632483
Ecuador,2014,579.1924445,48.42599326,0,6432.295813
