Entity,Year,Universal suffrage to women (OWID based on Paxton et al (2006)),First women in parliament (OWID based on Paxton et al (2006)),10% Share of women in parliament (OWID based on Paxton et al (2006)),20% Share of women in parliament (OWID based on Paxton et al (2006)),30% Share of women in parliament (OWID based on Paxton et al (2006))
Afghanistan,1919,No,No,No,No,No
Afghanistan,1920,No,No,No,No,No
Afghanistan,1921,No,No,No,No,No
Afghanistan,1922,No,No,No,No,No
Afghanistan,1923,No,No,No,No,No
Afghanistan,1924,No,No,No,No,No
Afghanistan,1925,No,No,No,No,No
Afghanistan,1926,No,No,No,No,No
Afghanistan,1927,No,No,No,No,No
Afghanistan,1928,No,No,No,No,No
Afghanistan,1929,No,No,No,No,No
Afghanistan,1930,No,No,No,No,No
Afghanistan,1931,No,No,No,No,No
Afghanistan,1932,No,No,No,No,No
Afghanistan,1933,No,No,No,No,No
Afghanistan,1934,No,No,No,No,No
Afghanistan,1935,No,No,No,No,No
Afghanistan,1936,No,No,No,No,No
Afghanistan,1937,No,No,No,No,No
Afghanistan,1938,No,No,No,No,No
Afghanistan,1939,No,No,No,No,No
Afghanistan,1940,No,No,No,No,No
Afghanistan,1941,No,No,No,No,No
Afghanistan,1942,No,No,No,No,No
Afghanistan,1943,No,No,No,No,No
Afghanistan,1944,No,No,No,No,No
Afghanistan,1945,No,No,No,No,No
Afghanistan,1946,No,No,No,No,No
Afghanistan,1947,No,No,No,No,No
Afghanistan,1948,No,No,No,No,No
Afghanistan,1949,No,No,No,No,No
Afghanistan,1950,No,No,No,No,No
Afghanistan,1951,No,No,No,No,No
Afghanistan,1952,No,No,No,No,No
Afghanistan,1953,No,No,No,No,No
Afghanistan,1954,No,No,No,No,No
Afghanistan,1955,No,No,No,No,No
Afghanistan,1956,No,No,No,No,No
Afghanistan,1957,No,No,No,No,No
Afghanistan,1958,No,No,No,No,No
Afghanistan,1959,No,No,No,No,No
Afghanistan,1960,No,No,No,No,No
Afghanistan,1961,No,No,No,No,No
Afghanistan,1962,No,No,No,No,No
Afghanistan,1963,No,No,No,No,No
Afghanistan,1964,No,No,No,No,No
Afghanistan,1965,Yes,Yes,No,No,No
Afghanistan,1966,Yes,Yes,No,No,No
Afghanistan,1967,Yes,Yes,No,No,No
Afghanistan,1968,Yes,Yes,No,No,No
Afghanistan,1969,Yes,Yes,No,No,No
Afghanistan,1970,Yes,Yes,No,No,No
Afghanistan,1971,Yes,Yes,No,No,No
Afghanistan,1972,Yes,Yes,No,No,No
Afghanistan,1973,Yes,Yes,No,No,No
Afghanistan,1974,Yes,Yes,No,No,No
Afghanistan,1975,Yes,Yes,No,No,No
Afghanistan,1976,Yes,Yes,No,No,No
Afghanistan,1977,Yes,Yes,No,No,No
Afghanistan,1978,Yes,Yes,No,No,No
Afghanistan,1979,Yes,Yes,No,No,No
Afghanistan,1980,Yes,Yes,No,No,No
Afghanistan,1981,Yes,Yes,No,No,No
Afghanistan,1982,Yes,Yes,No,No,No
Afghanistan,1983,Yes,Yes,No,No,No
Afghanistan,1984,Yes,Yes,No,No,No
Afghanistan,1985,Yes,Yes,No,No,No
Afghanistan,1986,Yes,Yes,No,No,No
Afghanistan,1987,Yes,Yes,No,No,No
Afghanistan,1988,Yes,Yes,No,No,No
Afghanistan,1989,Yes,Yes,No,No,No
Afghanistan,1990,Yes,Yes,No,No,No
Afghanistan,1991,Yes,Yes,No,No,No
Afghanistan,1992,Yes,Yes,No,No,No
Afghanistan,1993,Yes,Yes,No,No,No
Afghanistan,1994,Yes,Yes,No,No,No
Afghanistan,1995,Yes,Yes,No,No,No
Afghanistan,1996,Yes,Yes,No,No,No
Afghanistan,1997,Yes,Yes,No,No,No
Afghanistan,1998,Yes,Yes,No,No,No
Afghanistan,1999,Yes,Yes,No,No,No
Afghanistan,2000,Yes,Yes,No,No,No
Afghanistan,2001,Yes,Yes,No,No,No
Afghanistan,2002,Yes,Yes,No,No,No
Afghanistan,2003,Yes,Yes,No,No,No
Afghanistan,2004,Yes,Yes,No,No,No
Afghanistan,2005,Yes,Yes,Yes,Yes,No
Afghanistan,2006,Yes,Yes,Yes,Yes,No
Afghanistan,2007,Yes,Yes,Yes,Yes,No
Afghanistan,2008,Yes,Yes,Yes,Yes,No
Afghanistan,2009,Yes,Yes,Yes,Yes,No
Afghanistan,2010,Yes,Yes,Yes,Yes,No
Afghanistan,2011,Yes,Yes,Yes,Yes,No
Afghanistan,2012,Yes,Yes,Yes,Yes,No
Afghanistan,2013,Yes,Yes,Yes,Yes,No
Afghanistan,2014,Yes,Yes,Yes,Yes,No
Afghanistan,2015,Yes,Yes,Yes,Yes,No
Afghanistan,2016,Yes,Yes,Yes,Yes,No
Afghanistan,2017,Yes,Yes,Yes,Yes,No
Albania,1912,No,No,No,No,No
Albania,1913,No,No,No,No,No
Albania,1914,No,No,No,No,No
Albania,1915,No,No,No,No,No
Albania,1916,No,No,No,No,No
Albania,1917,No,No,No,No,No
Albania,1918,No,No,No,No,No
Albania,1919,No,No,No,No,No
Albania,1920,Yes,No,No,No,No
Albania,1921,Yes,No,No,No,No
Albania,1922,Yes,No,No,No,No
Albania,1923,Yes,No,No,No,No
Albania,1924,Yes,No,No,No,No
Albania,1925,Yes,No,No,No,No
Albania,1926,Yes,No,No,No,No
Albania,1927,Yes,No,No,No,No
Albania,1928,Yes,No,No,No,No
Albania,1929,Yes,No,No,No,No
Albania,1930,Yes,No,No,No,No
Albania,1931,Yes,No,No,No,No
Albania,1932,Yes,No,No,No,No
Albania,1933,Yes,No,No,No,No
Albania,1934,Yes,No,No,No,No
Albania,1935,Yes,No,No,No,No
Albania,1936,Yes,No,No,No,No
Albania,1937,Yes,No,No,No,No
Albania,1938,Yes,No,No,No,No
Albania,1939,Yes,No,No,No,No
Albania,1940,Yes,No,No,No,No
Albania,1941,Yes,No,No,No,No
Albania,1942,Yes,No,No,No,No
Albania,1943,Yes,No,No,No,No
Albania,1944,Yes,No,No,No,No
Albania,1945,Yes,Yes,No,No,No
Albania,1946,Yes,Yes,No,No,No
Albania,1947,Yes,Yes,No,No,No
Albania,1948,Yes,Yes,No,No,No
Albania,1949,Yes,Yes,No,No,No
Albania,1950,Yes,Yes,Yes,No,No
Albania,1951,Yes,Yes,Yes,No,No
Albania,1952,Yes,Yes,Yes,No,No
Albania,1953,Yes,Yes,Yes,No,No
Albania,1954,Yes,Yes,Yes,No,No
Albania,1955,Yes,Yes,Yes,No,No
Albania,1956,Yes,Yes,Yes,No,No
Albania,1957,Yes,Yes,Yes,No,No
Albania,1958,Yes,Yes,Yes,No,No
Albania,1959,Yes,Yes,Yes,No,No
Albania,1960,Yes,Yes,Yes,No,No
Albania,1961,Yes,Yes,Yes,No,No
Albania,1962,Yes,Yes,Yes,No,No
Albania,1963,Yes,Yes,Yes,No,No
Albania,1964,Yes,Yes,Yes,No,No
Albania,1965,Yes,Yes,Yes,No,No
Albania,1966,Yes,Yes,Yes,No,No
Albania,1967,Yes,Yes,Yes,No,No
Albania,1968,Yes,Yes,Yes,No,No
Albania,1969,Yes,Yes,Yes,No,No
Albania,1970,Yes,Yes,Yes,Yes,No
Albania,1971,Yes,Yes,Yes,Yes,No
Albania,1972,Yes,Yes,Yes,Yes,No
Albania,1973,Yes,Yes,Yes,Yes,No
Albania,1974,Yes,Yes,Yes,Yes,Yes
Albania,1975,Yes,Yes,Yes,Yes,Yes
Albania,1976,Yes,Yes,Yes,Yes,Yes
Albania,1977,Yes,Yes,Yes,Yes,Yes
Albania,1978,Yes,Yes,Yes,Yes,Yes
Albania,1979,Yes,Yes,Yes,Yes,Yes
Albania,1980,Yes,Yes,Yes,Yes,Yes
Albania,1981,Yes,Yes,Yes,Yes,Yes
Albania,1982,Yes,Yes,Yes,Yes,Yes
Albania,1983,Yes,Yes,Yes,Yes,Yes
Albania,1984,Yes,Yes,Yes,Yes,Yes
Albania,1985,Yes,Yes,Yes,Yes,Yes
Albania,1986,Yes,Yes,Yes,Yes,Yes
Albania,1987,Yes,Yes,Yes,Yes,Yes
Albania,1988,Yes,Yes,Yes,Yes,Yes
Albania,1989,Yes,Yes,Yes,Yes,Yes
Albania,1990,Yes,Yes,Yes,Yes,Yes
Albania,1991,Yes,Yes,Yes,Yes,Yes
Albania,1992,Yes,Yes,Yes,Yes,Yes
Albania,1993,Yes,Yes,Yes,Yes,Yes
Albania,1994,Yes,Yes,Yes,Yes,Yes
Albania,1995,Yes,Yes,Yes,Yes,Yes
Albania,1996,Yes,Yes,Yes,Yes,Yes
Albania,1997,Yes,Yes,Yes,Yes,Yes
Albania,1998,Yes,Yes,Yes,Yes,Yes
Albania,1999,Yes,Yes,Yes,Yes,Yes
Albania,2000,Yes,Yes,Yes,Yes,Yes
Albania,2001,Yes,Yes,Yes,Yes,Yes
Albania,2002,Yes,Yes,Yes,Yes,Yes
Albania,2003,Yes,Yes,Yes,Yes,Yes
Albania,2004,Yes,Yes,Yes,Yes,Yes
Albania,2005,Yes,Yes,Yes,Yes,Yes
Albania,2006,Yes,Yes,Yes,Yes,Yes
Albania,2007,Yes,Yes,Yes,Yes,Yes
Albania,2008,Yes,Yes,Yes,Yes,Yes
Albania,2009,Yes,Yes,Yes,Yes,Yes
Albania,2010,Yes,Yes,Yes,Yes,Yes
Albania,2011,Yes,Yes,Yes,Yes,Yes
Albania,2012,Yes,Yes,Yes,Yes,Yes
Albania,2013,Yes,Yes,Yes,Yes,Yes
Albania,2014,Yes,Yes,Yes,Yes,Yes
Albania,2015,Yes,Yes,Yes,Yes,Yes
Albania,2016,Yes,Yes,Yes,Yes,Yes
Albania,2017,Yes,Yes,Yes,Yes,Yes
Algeria,1962,Yes,Yes,No,No,No
Algeria,1963,Yes,Yes,No,No,No
Algeria,1964,Yes,Yes,No,No,No
Algeria,1965,Yes,Yes,No,No,No
Algeria,1966,Yes,Yes,No,No,No
Algeria,1967,Yes,Yes,No,No,No
Algeria,1968,Yes,Yes,No,No,No
Algeria,1969,Yes,Yes,No,No,No
Algeria,1970,Yes,Yes,No,No,No
Algeria,1971,Yes,Yes,No,No,No
Algeria,1972,Yes,Yes,No,No,No
Algeria,1973,Yes,Yes,No,No,No
Algeria,1974,Yes,Yes,No,No,No
Algeria,1975,Yes,Yes,No,No,No
Algeria,1976,Yes,Yes,No,No,No
Algeria,1977,Yes,Yes,No,No,No
Algeria,1978,Yes,Yes,No,No,No
Algeria,1979,Yes,Yes,No,No,No
Algeria,1980,Yes,Yes,No,No,No
Algeria,1981,Yes,Yes,No,No,No
Algeria,1982,Yes,Yes,No,No,No
Algeria,1983,Yes,Yes,No,No,No
Algeria,1984,Yes,Yes,No,No,No
Algeria,1985,Yes,Yes,No,No,No
