Entity,Year,Coal (BP Statistics (2016))
Africa,1965,28.17109512
Africa,1966,27.888599
Africa,1967,28.50613501
Africa,1968,29.81245693
Africa,1969,30.10388893
Africa,1970,31.05500582
Africa,1971,33.42492935
Africa,1972,33.744193
Africa,1973,35.67575256
Africa,1974,37.15743653
Africa,1975,39.47373115
Africa,1976,41.44026718
Africa,1977,42.38373372
Africa,1978,41.09481866
Africa,1979,43.38364869
Africa,1980,46.76575113
Africa,1981,54.7029685
Africa,1982,60.40995553
Africa,1983,61.05321724
Africa,1984,65.57392709
Africa,1985,67.68617846
Africa,1986,69.25111053
Africa,1987,71.22523845
Africa,1988,76.54278845
Africa,1989,71.85507026
Africa,1990,75.21769563
Africa,1991,73.08836556
Africa,1992,73.5154078
Africa,1993,74.65058278
Africa,1994,76.57902214
Africa,1995,78.98058895
Africa,1996,80.04040966
Africa,1997,82.12513295
Africa,1998,80.17727887
Africa,1999,82.68743282
Africa,2000,82.51103568
Africa,2001,83.57726719
Africa,2002,80.02234266
Africa,2003,87.48101008
Africa,2004,95.9779665
Africa,2005,89.43567252
Africa,2006,90.58508372
Africa,2007,92.01044231
Africa,2008,101.3674966
Africa,2009,100.7588874
Africa,2010,100.4450039
Africa,2011,98.47175544
Africa,2012,95.84387142
Africa,2013,97.84638124
Africa,2014,102.3909805
Africa,2015,96.86695959
Asia Pacific,1965,237.7019071
Asia Pacific,1966,250.6251753
Asia Pacific,1967,243.9683738
Asia Pacific,1968,247.5013081
Asia Pacific,1969,277.6964514
Asia Pacific,1970,310.2871068
Asia Pacific,1971,332.152098
Asia Pacific,1972,344.8741449
Asia Pacific,1973,353.2925975
Asia Pacific,1974,362.0377454
Asia Pacific,1975,389.9544645
Asia Pacific,1976,399.3323108
Asia Pacific,1977,425.8505225
Asia Pacific,1978,446.6595068
Asia Pacific,1979,468.2338157
Asia Pacific,1980,495.3072096
Asia Pacific,1981,511.8044202
Asia Pacific,1982,529.4182559
Asia Pacific,1983,560.1186146
Asia Pacific,1984,609.0504704
Asia Pacific,1985,657.7038745
Asia Pacific,1986,683.5036214
Asia Pacific,1987,733.0467571
Asia Pacific,1988,785.7868686
Asia Pacific,1989,821.134902
Asia Pacific,1990,837.1650523
Asia Pacific,1991,872.5782757
Asia Pacific,1992,902.3524841
Asia Pacific,1993,949.651586
Asia Pacific,1994,995.7603072
Asia Pacific,1995,1019.970262
Asia Pacific,1996,1064.795468
Asia Pacific,1997,1068.528973
Asia Pacific,1998,1068.035956
Asia Pacific,1999,1101.443161
Asia Pacific,2000,1138.878418
Asia Pacific,2001,1192.994115
Asia Pacific,2002,1286.271753
Asia Pacific,2003,1466.97699
Asia Pacific,2004,1648.911532
Asia Pacific,2005,1878.576207
Asia Pacific,2006,2022.947444
Asia Pacific,2007,2192.317367
Asia Pacific,2008,2251.664534
Asia Pacific,2009,2333.174248
Asia Pacific,2010,2440.411404
Asia Pacific,2011,2613.541585
Asia Pacific,2012,2674.780608
Asia Pacific,2013,2752.023259
Asia Pacific,2014,2792.459446
Asia Pacific,2015,2798.454999
Europe and Eurasia,1965,821.4932298
Europe and Eurasia,1966,811.0865856
Europe and Eurasia,1967,799.5660643
Europe and Eurasia,1968,804.3470084
Europe and Eurasia,1969,816.7054616
Europe and Eurasia,1970,804.2936838
Europe and Eurasia,1971,789.5272913
Europe and Eurasia,1972,782.0540162
Europe and Eurasia,1973,793.1358191
Europe and Eurasia,1974,790.6539887
Europe and Eurasia,1975,789.2749516
Europe and Eurasia,1976,810.0013883
Europe and Eurasia,1977,814.9894779
Europe and Eurasia,1978,821.480734
Europe and Eurasia,1979,844.7063007
Europe and Eurasia,1980,843.4314037
Europe and Eurasia,1981,832.7130983
Europe and Eurasia,1982,840.6233699
Europe and Eurasia,1983,848.4520078
Europe and Eurasia,1984,844.4798599
Europe and Eurasia,1985,861.0505288
Europe and Eurasia,1986,864.3862504
Europe and Eurasia,1987,874.4971477
Europe and Eurasia,1988,858.8295054
Europe and Eurasia,1989,843.576413
Europe and Eurasia,1990,797.7196074
Europe and Eurasia,1991,744.2546584
Europe and Eurasia,1992,701.7501454
Europe and Eurasia,1993,647.2404621
Europe and Eurasia,1994,604.4484859
Europe and Eurasia,1995,583.322012
Europe and Eurasia,1996,569.7399984
Europe and Eurasia,1997,552.1970374
Europe and Eurasia,1998,530.5519079
Europe and Eurasia,1999,508.0784247
Europe and Eurasia,2000,523.1141952
Europe and Eurasia,2001,520.2180197
Europe and Eurasia,2002,520.5336665
Europe and Eurasia,2003,540.1240984
Europe and Eurasia,2004,531.8367827
Europe and Eurasia,2005,514.9443146
Europe and Eurasia,2006,536.3307374
Europe and Eurasia,2007,540.2180947
Europe and Eurasia,2008,528.0222535
Europe and Eurasia,2009,475.3969377
Europe and Eurasia,2010,491.6194219
Europe and Eurasia,2011,514.0793982
Europe and Eurasia,2012,527.4139319
Europe and Eurasia,2013,507.2166362
Europe and Eurasia,2014,481.0278239
Europe and Eurasia,2015,467.8741106
Latin America and the Carribean,1965,5.852140431
Latin America and the Carribean,1966,6.075937156
Latin America and the Carribean,1967,6.329024727
Latin America and the Carribean,1968,5.933663293
Latin America and the Carribean,1969,6.545413803
Latin America and the Carribean,1970,7.123196162
Latin America and the Carribean,1971,6.569492014
Latin America and the Carribean,1972,6.487915468
Latin America and the Carribean,1973,6.740911996
Latin America and the Carribean,1974,7.378303964
Latin America and the Carribean,1975,7.84406249
Latin America and the Carribean,1976,7.90511386
Latin America and the Carribean,1977,8.854217385
Latin America and the Carribean,1978,9.651628788
Latin America and the Carribean,1979,10.02822159
Latin America and the Carribean,1980,10.73080766
Latin America and the Carribean,1981,10.56761869
Latin America and the Carribean,1982,10.60455421
Latin America and the Carribean,1983,11.81357272
Latin America and the Carribean,1984,13.53821478
Latin America and the Carribean,1985,15.49376889
Latin America and the Carribean,1986,15.81344656
Latin America and the Carribean,1987,17.43090856
Latin America and the Carribean,1988,17.27972843
Latin America and the Carribean,1989,18.57824461
Latin America and the Carribean,1990,15.70102059
Latin America and the Carribean,1991,16.54486305
Latin America and the Carribean,1992,17.16377666
Latin America and the Carribean,1993,17.86704062
Latin America and the Carribean,1994,19.33281057
Latin America and the Carribean,1995,19.48739224
Latin America and the Carribean,1996,19.94462454
Latin America and the Carribean,1997,21.46021541
Latin America and the Carribean,1998,20.75442478
Latin America and the Carribean,1999,20.31339928
Latin America and the Carribean,2000,20.77079939
Latin America and the Carribean,2001,19.81148352
Latin America and the Carribean,2002,19.33814472
Latin America and the Carribean,2003,20.99775183
Latin America and the Carribean,2004,22.11522928
Latin America and the Carribean,2005,20.96622188
Latin America and the Carribean,2006,24.46757891
Latin America and the Carribean,2007,25.73162181
Latin America and the Carribean,2008,28.63023365
Latin America and the Carribean,2009,23.6636559
Latin America and the Carribean,2010,28.74084097
Latin America and the Carribean,2011,30.57579749
Latin America and the Carribean,2012,32.05063535
Latin America and the Carribean,2013,34.77123746
Latin America and the Carribean,2014,36.70394037
Latin America and the Carribean,2015,37.14721523
Middle East,1965,0.217515786
Middle East,1966,0.23824651
Middle East,1967,0.262514596
Middle East,1968,0.288655646
Middle East,1969,0.318329872
Middle East,1970,0.350164999
Middle East,1971,0.24923
Middle East,1972,0.383867
Middle East,1973,0.648494
Middle East,1974,0.704585
Middle East,1975,1.297978
Middle East,1976,1.279652
Middle East,1977,1.29447
Middle East,1978,0.795559
Middle East,1979,1.142478
Middle East,1980,1.20381
Middle East,1981,1.0096
Middle East,1982,1.910712
Middle East,1983,2.322369
Middle East,1984,2.679013
Middle East,1985,2.815214
Middle East,1986,3.003952
Middle East,1987,3.121404
Middle East,1988,3.060312
Middle East,1989,2.97116
Middle East,1990,3.080516
Middle East,1991,3.581782
Middle East,1992,4.053184
Middle East,1993,4.740991
Middle East,1994,4.96036933
Middle East,1995,5.282924491
Middle East,1996,6.22064616
Middle East,1997,6.684819895
Middle East,1998,7.267834844
Middle East,1999,7.100434933
Middle East,2000,7.694093582
Middle East,2001,8.660067709
Middle East,2002,9.084723505
Middle East,2003,9.48426897
Middle East,2004,9.637220611
Middle East,2005,9.806465291
Middle East,2006,9.7899162
Middle East,2007,9.925031259
Middle East,2008,9.664969087
Middle East,2009,9.881564861
Middle East,2010,10.12310299
Middle East,2011,11.063892
Middle East,2012,12.28914472
Middle East,2013,10.77905285
Middle East,2014,10.7026258
Middle East,2015,10.52301429
North America,1965,307.9921997
North America,1966,321.9082335
North America,1967,316.1562396
North America,1968,328.0052127
North America,1969,328.7358841
North America,1970,327.0647881
North America,1971,309.7157382
North America,1972,321.0090238
North America,1973,344.1134365
North America,1974,336.7552147
North America,1975,336.5846507
North America,1976,362.1711997
North America,1977,376.4567107
North America,1978,368.4518337
North America,1979,399.4942416
North America,1980,413.1477716
North America,1981,425.5590524
North America,1982,412.4830588
North America,1983,428.3663432
North America,1984,460.8644705
North America,1985,470.2952555
North America,1986,463.1527017
North America,1987,483.7500627
North America,1988,506.6619083
North America,1989,512.5612402
North America,1990,513.6533813
North America,1991,508.1135135
North America,1992,511.937636
North America,1993,527.3181663
North America,1994,531.3994091
North America,1995,537.5680948
North America,1996,561.8644856
North America,1997,574.2683048
North America,1998,581.6469965
North America,1999,579.7601413
North America,2000,606.1331844
North America,2001,591.2213291
North America,2002,596.0105014
North America,2003,607.8781351
North America,2004,605.2257678
North America,2005,616.8918123
North America,2006,608.0681036
North America,2007,615.7984319
North America,2008,604.5117873
North America,2009,530.7053429
North America,2010,562.9922707
North America,2011,532.3068549
North America,2012,471.9784352
North America,2013,488.0764113
North America,2014,487.8963637
North America,2015,428.9837092
