Entity,Year,Green Climate Fund Pledges (USD per capita) (GCF (2017))
Australia,2016,7.92
Austria,2016,4.09
Belgium,2016,6.18
Bulgaria,2016,0.02
Canada,2016,7.79
Chile,2016,0.02
Colombia,2016,0.01
Cyprus,2016,0
Czech Republic,2016,0.57
Denmark,2016,12.73
Estonia,2016,0.99
Finland,2016,8.49
France,2016,15.64
Germany,2016,12.4
Hungary,2016,0.43
Iceland,2016,1.55
Indonesia,2016,0.01
Ireland,2016,0
Italy,2016,4.54
Japan,2016,11.8
Latvia,2016,0.24
Liechtenstein,2016,1.48
Lithuania,2016,0.04
Luxembourg,2016,58.63
Malta,2016,0.47
Mexico,2016,0.08
Monaco,2016,28.89
Mongolia,2016,0
Netherlands,2016,7.94
New Zealand,2016,0.57
Norway,2016,50.2
Panama,2016,0.25
Peru,2016,0
Poland,2016,0.01
Portugal,2016,0
Romania,2016,0.01
South Korea,2016,1.99
Spain,2016,3.46
Sweden,2016,59.31
Switzerland,2016,12.21
United Kingdom,2016,18.77
United States,2016,9.41
Vietnam,2016,0
