Entity,Year,Percentage of teachers absent from class,Percentage of teachers absent from school
Kenya,2017,48,15
Mozambique,2017,56,45
Nigeria,2017,23,17
Senegal,2017,31,16
Tanzania,2017,53,23
Togo,2017,40,23
Uganda,2017,57,28
