Entity,Year,Whale populations (Pershing et al. 2010)
All whale species,1890,2561380
All whale species,2001,879412
Blue whale,1890,340280
Blue whale,2001,4727
Bowhead whale,1890,89000
Bowhead whale,2001,9450
Fin whale,1890,762400
Fin whale,2001,109600
Gray whale,1890,24600
Gray whale,2001,15936
Humpack whale,1890,231700
Humpack whale,2001,42070
Minke whale,1890,637000
Minke whale,2001,506900
Right whale,1890,84100
Right whale,2001,9239
Sei/Bryde's whale,1890,392300
Sei/Bryde's whale,2001,181490
