Entity,Year,number_oil_spills,quantity_oil_spilt,number_oil_spills_decadal_average,quantity_oil_spilt_decadal,quantity_oil_spilt_decadal_average
Large (> 700 tonnes),1970,29,,24.5,,
Large (> 700 tonnes),1971,14,,,,
Large (> 700 tonnes),1972,27,,,,
Large (> 700 tonnes),1973,31,,,,
Large (> 700 tonnes),1974,27,,,,
Large (> 700 tonnes),1975,20,,,,
Large (> 700 tonnes),1976,26,,,,
Large (> 700 tonnes),1977,16,,,,
Large (> 700 tonnes),1978,23,,,,
Large (> 700 tonnes),1979,32,,,,
Large (> 700 tonnes),1980,13,,9.4,,
Large (> 700 tonnes),1981,7,,,,
Large (> 700 tonnes),1982,4,,,,
Large (> 700 tonnes),1983,13,,,,
Large (> 700 tonnes),1984,8,,,,
Large (> 700 tonnes),1985,8,,,,
Large (> 700 tonnes),1986,7,,,,
Large (> 700 tonnes),1987,11,,,,
Large (> 700 tonnes),1988,10,,,,
Large (> 700 tonnes),1989,13,,,,
Large (> 700 tonnes),1990,14,,7.7,,
Large (> 700 tonnes),1991,7,,,,
Large (> 700 tonnes),1992,10,,,,
Large (> 700 tonnes),1993,11,,,,
Large (> 700 tonnes),1994,9,,,,
Large (> 700 tonnes),1995,33,,,,
Large (> 700 tonnes),1996,3,,,,
Large (> 700 tonnes),1997,10,,,,
Large (> 700 tonnes),1998,5,,,,
Large (> 700 tonnes),1999,5,,,,
Large (> 700 tonnes),2000,4,,3.2,,
Large (> 700 tonnes),2001,3,,,,
Large (> 700 tonnes),2002,3,,,,
Large (> 700 tonnes),2003,4,,,,
Large (> 700 tonnes),2004,5,,,,
Large (> 700 tonnes),2005,3,,,,
Large (> 700 tonnes),2006,4,,,,
Large (> 700 tonnes),2007,3,,,,
Large (> 700 tonnes),2008,1,,,,
Large (> 700 tonnes),2009,2,,,,
Large (> 700 tonnes),2010,4,,1.8,,
Large (> 700 tonnes),2011,1,,,,
Large (> 700 tonnes),2012,0,,,,
Large (> 700 tonnes),2013,33,,,,
Large (> 700 tonnes),2014,1,,,,
Large (> 700 tonnes),2015,2,,,,
Large (> 700 tonnes),2016,1,,,,
Large (> 700 tonnes),2017,2,,,,
Large (> 700 tonnes),2018,3,,,,
Large (> 700 tonnes),2019,1,,,,
Large (> 700 tonnes),2020,0,,1,,
Large (> 700 tonnes),2021,1,,,,
Smaller (7 - 700 tonnes),1970,7,,54.3,,
Smaller (7 - 700 tonnes),1971,18,,,,
Smaller (7 - 700 tonnes),1972,48,,,,
Smaller (7 - 700 tonnes),1973,28,,,,
Smaller (7 - 700 tonnes),1974,90,,,,
Smaller (7 - 700 tonnes),1975,96,,,,
Smaller (7 - 700 tonnes),1976,67,,,,
Smaller (7 - 700 tonnes),1977,70,,,,
Smaller (7 - 700 tonnes),1978,59,,,,
Smaller (7 - 700 tonnes),1979,60,,,,
Smaller (7 - 700 tonnes),1980,52,,36,,
Smaller (7 - 700 tonnes),1981,54,,,,
Smaller (7 - 700 tonnes),1982,46,,,,
Smaller (7 - 700 tonnes),1983,52,,,,
Smaller (7 - 700 tonnes),1984,26,,,,
Smaller (7 - 700 tonnes),1985,33,,,,
Smaller (7 - 700 tonnes),1986,27,,,,
Smaller (7 - 700 tonnes),1987,27,,,,
Smaller (7 - 700 tonnes),1988,11,,,,
Smaller (7 - 700 tonnes),1989,32,,,,
Smaller (7 - 700 tonnes),1990,50,,28.1,,
Smaller (7 - 700 tonnes),1991,30,,,,
Smaller (7 - 700 tonnes),1992,31,,,,
Smaller (7 - 700 tonnes),1993,31,,,,
Smaller (7 - 700 tonnes),1994,26,,,,
Smaller (7 - 700 tonnes),1995,20,,,,
