Entity,Year,Value of global merchandise imports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data),Value of global merchandise exports as a share of GDP (Fouquin and Hugot; CEPII 2016; National data)
Afghanistan,1956,19.81982,21.65766
Afghanistan,1957,16.38597,28.71579
Afghanistan,1958,24.88889,16.64957
Afghanistan,1959,26.85477,20.0166
Afghanistan,1960,16.17769,12.42149
Afghanistan,1961,18.03644,9.72874
Afghanistan,1962,21.21951,10.77439
Afghanistan,1963,16.64201,9.95858
Afghanistan,1964,17.6625,8.8625
Afghanistan,1965,13.01325,6.96358
Afghanistan,1966,9.14286,5.96429
Afghanistan,1967,8.26876,3.96855
Afghanistan,1968,9.06073,6.26942
Afghanistan,1969,8.76748,5.81196
Afghanistan,1970,6.53455,4.83685
Afghanistan,1971,7.97145,5.45571
Afghanistan,1972,10.27855,7.80723
Afghanistan,1973,9.92308,9.174
Afghanistan,1974,11.25144,10.69562
Afghanistan,1975,14.29868,9.50117
Afghanistan,1976,12.35611,11.6737
Afghanistan,1977,17.12195,10.62746
Afghanistan,1978,16.70396,8.15624
Afghanistan,1979,19.23406,11.76371
Afghanistan,1980,23.09346,18.4109
Afghanistan,1981,25.46864,20.46122
Afghanistan,1982,21.30204,15.67759
Afghanistan,1983,26.66065,18.26656
Afghanistan,1984,52.97256,24.12348
Afghanistan,1985,47.70276,22.65282
Afghanistan,1986,58.94206,23.1738
Afghanistan,1987,55.33609,28.44586
Afghanistan,1988,53.58276,23.51688
Afghanistan,1989,31.61539,9.07692
Afghanistan,2001,68.89642,3.77874
Afghanistan,2002,59.38746,2.34351
Afghanistan,2003,45.83685,5.00757
Afghanistan,2004,41.18845,5.77055
Afghanistan,2005,39.37387,6.11945
Afghanistan,2006,54.63303,5.89436
Afghanistan,2007,50.02833,4.61202
Afghanistan,2008,60.59076,5.11368
Afghanistan,2009,55.64204,3.93394
Afghanistan,2010,54.28725,3.47335
Afghanistan,2011,59.09012,2.88153
Afghanistan,2012,46.54752,2.68593
Afghanistan,2013,41.76359,3.31999
Afghanistan,2014,39.76217,3.66463
Africa,1960,22.18874,17.78766
Africa,1961,20.69687,17.61732
Africa,1962,19.19346,17.7158
Africa,1963,18.23901,17.07451
Africa,1964,20.17472,20.14909
Africa,1965,19.41,19.23661
Africa,1966,18.04819,19.27197
Africa,1967,17.95281,19.32074
Africa,1968,17.27428,20.05962
Africa,1969,16.9678,20.23349
Africa,1970,18.16463,19.86354
Africa,1971,18.36373,18.14609
Africa,1972,17.42886,18.32884
Africa,1973,18.86161,21.16691
Africa,1974,22.66813,28.73655
Africa,1975,25.86475,23.68571
Africa,1976,23.61836,24.78873
Africa,1977,25.36513,26.34517
Africa,1978,26.28039,24.33679
Africa,1979,23.39646,28.33762
Africa,1980,24.38729,29.81826
