Entity,Year,Urea (World Bank (2017)),Fertilizer Price Index (2010 = 100) (World Bank (2017)),Urea Price Projection (World Bank (2017)),Fertilizer Price Index Projection (World Bank (2017)),Fertilizer Price Index (World Bank (2017))
World,1960,220.710307,65.66626455,,,65.66626455
World,1961,216.4982782,64.5884763,,,64.5884763
World,1962,212.532448,62.08595458,,,62.08595458
World,1963,216.4982782,63.53524635,,,63.53524635
World,1964,305.7365305,77.61673278,,,77.61673278
World,1965,329.1016243,81.04412528,,,81.04412528
World,1966,286.0217368,71.32426641,,,71.32426641
World,1967,235.676558,61.25320406,,,61.25320406
World,1968,171.3716735,49.45769949,,,49.45769949
World,1969,121.8829736,40.84428911,,,40.84428911
World,1970,78.61429744,36.37360542,,,36.37360542
World,1971,65.53442617,33.82847383,,,33.82847383
World,1972,109.8275676,43.66204477,,,43.66204477
World,1973,209.6378379,62.75963278,,,62.75963278
World,1974,759.1669926,184.1271326,,,184.1271326
World,1975,401.8865275,118.8818865,,,118.8818865
World,1976,193.7802867,59.51187416,,,59.51187416
World,1977,212.9320458,58.62357981,,,58.62357981
World,1978,216.1021744,55.33333829,,,55.33333829
World,1979,237.1929566,63.40304717,,,63.40304717
World,1980,294.5218852,78.44860096,,,78.44860096
World,1981,284.844262,75.70729629,,,75.70729629
World,1982,203.3496111,58.50603455,,,58.50603455
World,1983,185.0465523,54.51160104,,,54.51160104
World,1984,249.58581,65.21158039,,,65.21158039
World,1985,183.943817,54.20943112,,,54.20943112
World,1986,103.9076834,37.81126397,,,37.81126397
World,1987,112.321879,37.71346946,,,37.71346946
World,1988,148.2278452,45.23865374,,,45.23865374
World,1989,118.8784865,41.84903458,,,41.84903458
World,1990,144.244104,43.62449455,,,43.62449455
World,1991,167.7610763,48.42579344,,,48.42579344
World,1992,136.869641,42.82112608,,,42.82112608
World,1993,97.64726402,34.13376163,,,34.13376163
World,1994,151.6284055,43.73454125,,,43.73454125
World,1995,203.6643365,51.40251689,,,51.40251689
World,1996,198.5169524,53.29779194,,,53.29779194
World,1997,132.6782737,45.12540385,,,45.12540385
World,1998,101.1103726,42.23374057,,,42.23374057
World,1999,82.39300539,39.31740631,,,39.31740631
World,2000,127.0944021,44.90354596,,,44.90354596
World,2001,124.4751278,44.06069093,,,44.06069093
World,2002,124.6804504,44.23110264,,,44.23110264
World,2003,174.4502535,50.80520375,,,50.80520375
World,2004,206.1516312,57.45751579,,,57.45751579
World,2005,249.7240048,66.31290209,,,66.31290209
World,2006,247.9017054,66.7449146,,,66.7449146
World,2007,324.2133071,89.51489723,,,89.51489723
World,2008,479.146448,196.8453383,,,196.8453383
World,2009,258.7275763,109.1278462,,,109.1278462
World,2010,288.5916667,100,,,100
World,2011,379.3169054,128.4821251,,,128.4821251
World,2012,367.9070208,124.8760401,,,124.8760401
World,2013,309.985722,103.624252,,,103.624252
World,2014,292.7216503,93.00068922,,,93.00068922
World,2015,279.5672322,97.73844856,279.5672322,97.73844856,97.73844856
World,2016,,,212.5221421,80.30967479,
World,2017,,,242.7934344,80.12678451,
World,2018,,,241.4132353,79.79277799,
World,2019,,,241.4335463,79.92210526,
World,2020,,,241.5511859,80.08484358,
World,2021,,,242.0482827,80.37483349,
World,2022,,,242.7178961,80.72385101,
World,2023,,,243.4538181,81.09680213,
World,2024,,,244.1807867,81.46869694,
World,2025,,,244.866963,81.82889714,
World,2026,,,245.5002586,82.17330622,
World,2027,,,246.0771362,82.50066707,
World,2028,,,246.5974524,82.81085314,
World,2029,,,247.0621613,83.10410517,
World,2030,,,247.4723531,83.38071032,
