Entity,Year,Number of countries with minimum urban population threshold (UN;2018)
1000,2018,8
10000,2018,12
1500,2018,5
200,2018,4
2000,2018,23
20000,2018,3
2500,2018,12
3000,2018,3
30000,2018,1
400,2018,1
4000,2018,1
500,2018,1
5000,2018,23
50000,2018,1
600,2018,1
No minimum population threshold,2018,133
