Entity,Year,Cumulative production (LaFond (2017)),Unit cost (LaFond (2017))
AcrylicFiber,1960,552.7,132.9867076
AcrylicFiber,1961,688.4,120.4459184
AcrylicFiber,1962,828.5,107.4759468
AcrylicFiber,1963,998.5,107.4759468
AcrylicFiber,1964,1208.2,100.6190965
AcrylicFiber,1965,1495.9,91.29513185
AcrylicFiber,1966,1864.3,79.36309524
AcrylicFiber,1967,2217.2,72.85034014
AcrylicFiber,1968,2614.9,57.67211538
AcrylicFiber,1969,3135.9,51.82092366
AcrylicFiber,1970,3668.9,49.7124774
AcrylicFiber,1971,4160.8,45.5588994
AcrylicFiber,1972,4706,40.19262982
Acrylonitrile,1959,921,26.82868937
Acrylonitrile,1960,1153.3,22.92535787
Acrylonitrile,1961,1382.5,17.9255102
Acrylonitrile,1962,1632,15.19959058
Acrylonitrile,1963,1992.1,14.20061412
Acrylonitrile,1964,2447.4,16.10882957
Acrylonitrile,1965,3041.6,16.1693712
Acrylonitrile,1966,3813.2,12.55357143
Acrylonitrile,1967,4529.3,11.4548105
Acrylonitrile,1968,5200.1,11.53942308
Acrylonitrile,1969,6221.1,11.06503299
Acrylonitrile,1970,7377.7,9.886980108
Acrylonitrile,1971,8417,8.890799656
Acrylonitrile,1972,9395.9,8.968174204
Aluminum,1956,15215.9,28.13528139
Aluminum,1957,16894.9,28.55140187
Aluminum,1958,18542.9,28.04692388
Aluminum,1959,20108.9,27.75748194
Aluminum,1960,22062.9,26.58179959
Aluminum,1961,24076.9,26.02857143
Aluminum,1962,25980.9,24.46571136
Aluminum,1963,28098.9,23.13306039
Aluminum,1964,30411.9,24.32135524
Aluminum,1965,32964.9,24.85598377
Aluminum,1966,35718.9,24.31349206
Aluminum,1967,38686.9,24.29834791
Aluminum,1968,41955.9,24.625
Aluminum,1969,45210.9,25.63053723
Aluminum,1970,49003.9,25.95207957
Aluminum,1971,52979.9,24.927773
Aluminum,1972,56904.9,22.0360134
Ammonia,1960,44182,3.526584867
Ammonia,1961,49000,3.644897959
Ammonia,1962,54207,3.550665302
Ammonia,1963,60017,3.491299898
Ammonia,1964,66710,3.459958932
Ammonia,1965,74344,3.387423935
Ammonia,1966,83213,3.096230159
Ammonia,1967,93835,2.700680272
Ammonia,1968,105705,2.048076923
Ammonia,1969,117825,1.603204524
Ammonia,1970,130594,1.545207957
Ammonia,1971,144418,1.512467756
Ammonia,1972,158956,1.515075377
Aniline,1961,2887.4,16.10612245
Aniline,1962,3010.1,13.58955988
Aniline,1963,3147.6,14.18628454
Aniline,1964,3302.2,14.13039014
Aniline,1965,3472.1,13.2515213
Aniline,1966,3667.6,11.42757937
Aniline,1967,3906.6,10.57434402
Aniline,1968,4132.2,10.36826923
Aniline,1969,4395.6,9.942507069
Aniline,1970,4729.7,10.38426763
Aniline,1971,5128.1,9.6216681
Aniline,1972,5494.1,7.320770519
Automotive,1985,3965,4.055818099
Automotive,1986,5740,3.260255864
Automotive,1987,7575,2.783143561
Automotive,1988,9496,2.469480741
Automotive,1989,11522,2.201498477
Automotive,1990,13618,1.979837503
Automotive,1991,15762,1.792564166
Automotive,1992,17934,1.671241261
Automotive,1993,20181,1.549617383
Automotive,1994,22477,1.452879768
Automotive,1995,24835,1.371466742
Automotive,1996,27258,1.29883902
Automotive,1997,29744,1.240950928
Automotive,1998,32306,1.185530477
Automotive,1999,34938,1.130290622
Automotive,2000,37629,1.080004718
Automotive,2001,40376,1.033314987
Automotive,2002,43173,0.992943876
Automotive,2003,46029,0.948995338
Automotive,2004,48919,0.921007672
Automotive,2005,51884,0.880772517
Beer,1952,930,76.44
Beer,1953,1206,65.6
Beer,1954,1578,67.53
Beer,1955,1968,66.42
Beer,1956,2371,63
Beer,1957,2823,60.33
Beer,1958,3375,60.83
Beer,1959,3991,58.96
Beer,1960,4736,55.73
Beer,1961,5655,51.97
Beer,1962,6888,50.41
Beer,1963,8371,48.14
Beer,1964,10058,45.97
Beer,1965,12051,46.86
Beer,1966,14044,44.76
Beer,1967,16167,43.03
Beer,1968,18578,43.17
Benzene,1953,3.166,0.464
Benzene,1954,3.427,0.458
Benzene,1955,3.677,0.407
Benzene,1956,3.965,0.383
Benzene,1957,4.266,0.359
Benzene,1958,4.576,0.33
Benzene,1959,4.847,0.286
Benzene,1960,5.186,0.3
Benzene,1961,5.642,0.306
Benzene,1962,6.185,0.232
Benzene,1963,6.726,0.215
Benzene,1964,7.374,0.202
Benzene,1965,8.105,0.216
Benzene,1966,8.932,0.211
Benzene,1967,9.887,0.205
Benzene,1968,10.85,0.199
BisphenolA,1959,232.8,28.00825593
BisphenolA,1960,276.6,27.72290389
BisphenolA,1961,327.1,27.66632653
BisphenolA,1962,372.9,26.08290686
BisphenolA,1963,435,25.28659161
BisphenolA,1964,507.4,22.20533881
BisphenolA,1965,600.3,21.09634888
BisphenolA,1966,697.5,20.12599206
BisphenolA,1967,823.9,20.01360544
BisphenolA,1968,954.3,18.18846154
BisphenolA,1969,1098,17.63336475
BisphenolA,1970,1280.1,15.1238698
BisphenolA,1971,1482.3,13.69475494
BisphenolA,1972,1669,12.97068677
Caprolactam,1962,350,41.64892528
Caprolactam,1963,513.8,38.21699079
Caprolactam,1964,701.4,34.61704312
Caprolactam,1965,947.1,31.82048682
Caprolactam,1966,1237.1,24.48412698
Caprolactam,1967,1556.1,19.87366375
Caprolactam,1968,1884.7,18.26153846
Caprolactam,1969,2284.7,16.75683318
Caprolactam,1970,2764.7,16.26853526
Caprolactam,1971,3272.7,15.10490112
Caprolactam,1972,3847.4,14.80067002
CarbonDisulfide,1963,13006.9,4.17604913
CarbonDisulfide,1964,13658.9,4.126283368
CarbonDisulfide,1965,14327.7,4.055780933
CarbonDisulfide,1966,15084.2,4.067460317
CarbonDisulfide,1967,15836.5,3.8202138
CarbonDisulfide,1968,16530.1,4.241346154
CarbonDisulfide,1969,17322.7,4.128180961
CarbonDisulfide,1970,18121.4,3.77034358
CarbonDisulfide,1971,18842.3,3.431642304
CarbonDisulfide,1972,19602.3,3.332495812
CCGT,1987,26579,599.3
CCGT,1988,29268,514.3
CCGT,1989,33081,631.8
CCGT,1990,37331,521.6
CCGT,1991,43952,641.6
CCGT,1992,48802,607.3
CCGT,1993,60987,533.4
CCGT,1994,75747,450.4
CCGT,1995,90127,467.4
CCGT,1996,105127,432.6
Corn,1975,0,11.67
Corn,1976,217.678,11.48
Corn,1977,404.943,11.26
Corn,1978,585.207,9.95
Corn,1979,811.332,9.12
Corn,1980,1087.524,11.09
Corn,1981,1366.989,9.15
Corn,1982,1627.0754,8.79
Corn,1983,1870.5218,12.7
Corn,1984,2123.3414,9.45
Corn,1985,2396.2796,8.53
