Entity,Year,Prevalence of undernourishment in developing countries - FAO (Food Security Indicators) (2017)
Developing countries,1970,34.75
Developing countries,1980,26.5
Developing countries,1991,23.3
Developing countries,1992,23.1
Developing countries,1993,22.7
Developing countries,1994,22.1
Developing countries,1995,21.2
Developing countries,1996,20.4
Developing countries,1997,19.7
Developing countries,1998,19.1
Developing countries,1999,18.6
Developing countries,2000,18.3
Developing countries,2001,18.2
Developing countries,2002,18.2
Developing countries,2003,18.3
Developing countries,2004,18.2
Developing countries,2005,17.9
Developing countries,2006,17.3
Developing countries,2007,16.5
Developing countries,2008,15.7
Developing countries,2009,15
Developing countries,2010,14.5
Developing countries,2011,14.1
Developing countries,2012,13.7
Developing countries,2013,13.4
Developing countries,2014,13.1
Developing countries,2015,12.9
