Entity,Year,Blue whale (Rocha et al. & IWC),Fin whale (Rocha et al. & IWC),Sperm whale (Rocha et al. & IWC),Humpback whale (Rocha et al. & IWC),Sei whale (Rocha et al. & IWC),Bryde's whale (Rocha et al. & IWC),Minke whale (Rocha et al. & IWC),Gray whale (Rocha et al. & IWC),Right whale (Rocha et al. & IWC),Unspecified/Other (Rocha et al. & IWC),All species (Rocha et al. & IWC),Bowhead whale (Rocha et al. & IWC)
World,1900,5588,13640,305,16012,3564,3,0,0,423,12575,52110,
World,1910,33303,55301,7571,64642,9009,607,44,1057,559,5464,177557,
World,1920,87057,90061,14121,22095,14050,342,157,550,207,460,229100,
World,1930,164813,150089,33334,34271,7779,61,7578,747,164,4448,403284,
World,1940,40943,112636,56554,12028,9560,868,23753,480,32,130,256984,
World,1950,30632,287541,161089,61287,32243,1186,39108,28,254,314,613682,
World,1960,15427,142600,294947,38895,164977,2099,40125,339,3148,13,703235,
World,1970,1422,19947,182164,103,49781,8517,101702,0,8,6,363650,
World,1980,0,2253,5823,0,577,4812,63580,0,0,13,77084,26
World,1990,0,0,0,0,0,0,7169,0,0,0,7682,513
World,2000,0,257,48,20,694,497,14650,1233,0,0,17944,545
World,2010,0,797,188,77,935,239,9915,1113,0,0,13832,568
