Entity,Year,Number of airline hijackings (Aviation Safety Network),Fatalities due to airline hijacking (Aviation Safety Network)
World,1942,0,0
World,1943,0,0
World,1944,0,0
World,1945,0,0
World,1946,0,0
World,1947,0,0
World,1948,7,26
World,1949,7,1
World,1950,4,0
World,1951,1,0
World,1952,4,2
World,1953,0,0
World,1954,2,1
World,1955,0,0
World,1956,2,1
World,1957,0,0
World,1958,7,18
World,1959,6,1
World,1960,8,3
World,1961,10,3
World,1962,1,0
World,1963,1,0
World,1964,0,0
World,1965,5,1
World,1966,4,2
World,1967,4,0
World,1968,29,1
World,1969,86,5
World,1970,77,7
World,1971,54,8
World,1972,59,25
World,1973,22,88
World,1974,20,83
World,1975,19,2
World,1976,16,15
World,1977,32,114
World,1978,25,3
World,1979,23,0
World,1980,37,1
World,1981,30,6
World,1982,31,1
World,1983,35,12
World,1984,27,33
World,1985,26,65
World,1986,16,87
World,1987,12,2
World,1988,15,12
World,1989,15,1
World,1990,38,86
World,1991,20,6
World,1992,11,4
World,1993,36,4
World,1994,27,8
World,1995,12,1
World,1996,17,125
World,1997,12,1
World,1998,14,1
World,1999,13,2
World,2000,26,5
World,2001,11,268
World,2002,10,2
World,2003,9,0
World,2004,4,0
World,2005,1,0
World,2006,3,0
World,2007,6,0
World,2008,2,0
World,2009,4,0
World,2010,1,0
World,2011,1,0
World,2012,4,3
World,2013,1,0
World,2014,3,0
