Entity,Year,Import trade share from labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Import trade share from capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by labor-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000),Export trade share by capital-intensive countries (OWID calculations based on NBER- United Nations Trade Data 1962-2000)
Afghanistan,1970,0.91750,3.09117,1.96308,2.59205
Afghanistan,1971,0.82207,5.35626,1.72928,3.63195
Afghanistan,1972,1.11046,4.10634,1.88417,4.26792
Afghanistan,1973,1.45529,4.97083,1.90708,4.98640
Afghanistan,1974,1.67256,6.16723,1.87441,4.49791
Afghanistan,1975,2.20517,9.03731,1.87204,3.95510
Afghanistan,1976,1.63522,6.66779,2.14877,5.31622
Afghanistan,1977,1.63107,9.13500,1.99148,5.70660
Afghanistan,1978,0.12161,7.39045,0.00133,4.13718
Afghanistan,1979,1.48320,7.76973,2.60842,4.83483
Afghanistan,1980,0.71301,6.60808,1.34988,4.84570
Afghanistan,1981,0.59981,6.15786,2.04436,4.50505
Afghanistan,1982,0.52927,6.33304,1.79904,3.72400
Afghanistan,1983,0.57515,7.15462,0.68917,3.21115
Afghanistan,1984,0.89878,6.32648,1.09316,3.29751
Afghanistan,1985,0.78106,7.06957,0.84325,2.69797
Afghanistan,1986,1.14160,9.30154,1.15464,2.98600
Afghanistan,1987,1.67138,13.48374,0.94317,4.23214
Afghanistan,1988,2.05900,12.07499,0.88650,4.74763
Afghanistan,1989,1.56445,8.18964,0.40838,3.04114
Afghanistan,1990,1.36161,8.84675,0.51549,3.02435
Afghanistan,1991,0.64860,9.43996,0.46002,2.81270
Afghanistan,1992,1.56248,7.72512,0.26524,1.90618
Afghanistan,1993,1.32473,10.20650,0.50683,1.83272
Afghanistan,1994,1.83444,10.69460,0.77660,3.95120
Afghanistan,1995,1.13781,7.46056,0.71554,2.19399
Afghanistan,1996,1.05798,12.23403,0.95994,2.63440
Afghanistan,1997,1.19667,10.62016,1.42735,3.03409
Afghanistan,1998,1.62430,8.60915,1.90360,3.16306
Afghanistan,1999,4.08674,8.16083,2.16247,2.28832
Afghanistan,2000,3.47258,9.01024,1.08501,1.98125
Albania,1970,0.11664,0.94979,0.03028,0.40092
Albania,1971,0.04258,0.95807,0.12624,0.53347
Albania,1972,0.06416,0.96995,0.02362,0.52686
Albania,1973,0.03262,1.40148,0.01010,0.82128
Albania,1974,0.13859,2.14679,0.02753,1.59767
Albania,1975,0.20770,2.38197,0.03646,1.96810
Albania,1976,0.08129,1.63243,0.00225,1.68797
Albania,1977,0.07263,2.25017,0.02048,2.22938
Albania,1978,0.02129,2.56692,0.06620,1.70537
Albania,1979,0.02075,4.06469,0.04926,5.38868
Albania,1980,0.00822,5.81939,0.06196,7.95599
Albania,1981,0.03658,5.65644,0.05722,6.67290
Albania,1982,0.20325,6.74258,0.06523,5.85197
Albania,1983,0.07027,5.14987,0.00038,5.58068
Albania,1984,0.09529,3.99934,,5.75770
Albania,1985,0.05320,3.76134,,4.45537
Albania,1986,0.00589,2.60936,0.23902,5.38598
Albania,1987,0.00642,3.01612,0.00536,5.30824
Albania,1988,0.00961,4.89303,0.04259,6.78222
Albania,1989,0.02028,6.09471,0.09529,7.12220
Albania,1990,0.00692,9.65049,,7.74119
Albania,1991,,30.02072,0.02216,15.67250
Albania,1992,,66.45760,0.32134,13.53364
Albania,1993,0.02939,44.65026,0.11762,9.42069
Albania,1994,,28.77371,,8.03966
Albania,1995,0.02533,30.88009,0.02123,8.73017
Albania,1996,0.02873,32.51699,,8.72224
Albania,1997,0.06361,28.21880,,10.28722
Albania,1998,0.06360,25.79938,0.00660,9.74495
Albania,1999,0.07876,25.31449,,7.49737
Albania,2000,0.01980,23.03602,0.01044,7.54318
Algeria,1962,1.45233,31.32736,0.37870,37.96120
Algeria,1963,0.26808,22.45733,0.13779,24.57305
Algeria,1964,0.42094,20.14014,0.58281,23.93166
