Entity,Year,"Percentage of Americans living alone, by year, total (IPUMS)","Percentage of Americans living alone, by year, male (IPUMS)","Percentage of Americans living alone, by year, female (IPUMS)","Percentage of Americans living alone, by age, total (IPUMS)","Percentage of Americans living alone, by age, male (IPUMS)","Percentage of Americans living alone, by age, female (IPUMS)"
Year 2000,29,9.774271,11.6132230758667,7.920291423797607,,,
Year 2000,30,9.7933722,11.72792911529541,7.793285846710205,,,
Year 2000,31,9.1159191,11.17183494567871,7.055017471313477,,,
Year 2000,32,9.0012608,11.13791275024414,6.841003894805908,,,
Year 2000,33,8.8194771,11.13217353820801,6.495152950286865,,,
Year 2000,34,8.8060169,11.27548980712891,6.359534740447998,,,
Year 2000,35,8.8631248,11.46615505218506,6.277151584625244,,,
Year 2000,36,8.5298243,11.00304985046387,6.095590591430664,,,
Year 2000,37,8.4441214,10.89197158813477,6.057352066040039,,,
Year 2000,38,8.6298237,10.98994445800781,6.289605617523193,,,
Year 2000,39,8.6062746,11.05051422119141,6.194282531738281,,,
Year 2000,40,9.1453266,11.43164348602295,6.859602928161621,,,
Year 2000,41,9.0744886,11.22183132171631,6.959125518798828,,,
Year 2000,42,9.356143,11.44321537017822,7.294768810272217,,,
Year 2000,43,9.4936304,11.42844772338867,7.601405620574951,,,
Year 2000,44,9.8429899,11.52484703063965,8.202695846557617,,,
Year 2000,45,10.512973,12.06636428833008,8.995044708251953,,,
Year 2000,46,10.564914,12.00974178314209,9.174270629882813,,,
Year 2000,47,11.051273,12.0870189666748,10.05343627929688,,,
Year 2000,48,11.576382,12.41611862182617,10.76540088653564,,,
Year 2000,49,11.887293,12.49952793121338,11.29542636871338,,,
Year 2000,50,12.417985,12.51694107055664,12.32294464111328,,,
Year 2000,51,12.717776,12.29041576385498,13.1257266998291,,,
Year 2000,52,12.821124,11.97664928436279,13.62689399719238,,,
Year 2000,53,13.265567,12.13251686096191,14.34444808959961,,,
Year 2000,54,13.887875,12.4208288192749,15.28379726409912,,,
Year 2000,55,14.134933,12.61968326568604,15.574875831604,,,
Year 2000,56,14.421272,12.4347972869873,16.28203201293945,,,
Year 2000,57,14.626211,12.27435874938965,16.81390762329102,,,
Year 2000,58,14.758895,12.45106792449951,16.89499664306641,,,
Year 2000,59,15.178527,12.45444107055664,17.68697738647461,,,
Year 2000,60,15.704637,12.50512409210205,18.61631774902344,,,
Year 2000,61,15.488592,11.78431510925293,18.88132095336914,,,
Year 2000,62,16.324728,12.50118923187256,19.77714538574219,,,
Year 2000,63,16.861536,12.40387344360352,20.85991287231445,,,
Year 2000,64,17.470661,12.60574340820313,21.80746459960938,,,
Year 2000,65,19.229511,13.10065078735352,25.03635597229004,,,
Year 2000,66,19.175064,13.14911556243896,24.64698791503906,,,
Year 2000,67,20.000629,13.28615665435791,25.85917472839355,,,
Year 2000,68,21.033688,14.1570463180542,26.83621025085449,,,
Year 2000,69,21.147758,14.12753582000732,26.89707565307617,,,
Year 2000,70,22.262167,14.44806861877441,28.35874938964844,,,
Year 2000,71,23.251144,14.52312469482422,30.08417701721191,,,
Year 2000,72,24.592381,15.02350616455078,32.10720062255859,,,
Year 2000,73,25.896349,15.64328193664551,33.67623519897461,,,
Year 2000,74,27.385632,15.72868061065674,36.00520324707031,,,
Year 2000,75,28.880363,16.50382232666016,37.65507888793945,,,
Year 2000,76,30.128288,16.77326965332031,39.36019897460938,,,
Year 2000,77,31.012493,17.32495498657227,40.47995376586914,,,
Year 2000,78,32.599171,17.84220314025879,42.39166259765625,,,
Year 2000,79,33.504822,18.3503303527832,43.20695495605469,,,
Year 2000,80,34.902416,19.25689506530762,44.68804550170898,,,
Year 2000,81,35.971851,19.89166069030762,45.56698226928711,,,
Year 2000,82,36.879051,19.91617584228516,46.72754287719727,,,
Year 2000,83,38.280235,20.98791885375977,48.03900909423828,,,
Year 2000,84,38.983017,21.73814392089844,48.17470169067383,,,
Year 2000,85,39.675293,22.76120185852051,48.1693229675293,,,
Year 2000,86,39.991875,23.24915885925293,48.22749328613281,,,
Year 2000,87,40.179287,25.11812973022461,47.25933074951172,,,
Year 2000,88,40.261059,25.22370147705078,46.87847518920898,,,
Year 2000,89,40.842579,25.99640846252441,46.79213333129883,,,
Year 2018,18,.54856783,.5295381546020508,.5685590505599976,,,
Year 2018,19,1.4280244,1.263375043869019,1.602882742881775,,,
Year 2018,20,2.6578009,2.702606439590454,2.610556364059448,,,
Year 2018,21,3.7633936,3.682156562805176,3.850085258483887,,,
Year 2018,22,5.3731194,5.537764072418213,5.199056625366211,,,
Year 2018,23,6.9293776,7.194291114807129,6.652063369750977,,,
Year 2018,24,7.9562201,8.405977249145508,7.495970249176025,,,
Year 2018,25,9.0466995,9.674585342407227,8.378291130065918,,,
Year 2018,26,9.4336491,10.24817371368408,8.577425003051758,,,
Year 2018,27,9.5708542,10.68266201019287,8.425721168518066,,,
Year 2018,28,9.6244555,10.77377223968506,8.457661628723145,,,
Year 2018,29,9.8504324,11.22688674926758,8.455777168273926,,,
Year 2018,30,9.47083,11.0686559677124,7.838515758514404,,,
Year 2018,31,9.4066315,10.94249248504639,7.844428062438965,,,
Year 2018,32,8.7027063,10.36268138885498,7.024608612060547,,,
Year 2018,33,9.1726007,11.12889099121094,7.174446582794189,,,
Year 2018,34,8.5998888,10.44010066986084,6.712464332580566,,,
Year 2018,35,8.5162048,10.05923748016357,6.974950313568115,,,
Year 2018,36,8.4373283,10.45633411407471,6.403618335723877,,,
Year 2018,37,8.4785261,10.44477462768555,6.547909736633301,,,
Year 2018,38,8.1511822,9.659104347229004,6.623579025268555,,,
Year 2018,39,7.8774271,9.454352378845215,6.319002151489258,,,
Year 2018,40,8.1928234,9.920858383178711,6.457650661468506,,,
Year 2018,41,7.7019653,9.141809463500977,6.288500785827637,,,
Year 2018,42,7.8829656,9.41746711730957,6.378587245941162,,,
Year 2018,43,8.2054958,9.709928512573242,6.720860481262207,,,
Year 2018,44,8.4369164,10.07030487060547,6.830954551696777,,,
Year 2018,45,9.170002,10.72685241699219,7.648943424224854,,,
Year 2018,46,9.3212128,10.62628269195557,8.040830612182617,,,
Year 2018,47,9.6088524,11.13787078857422,8.13133430480957,,,
Year 2018,48,9.9463615,11.38964080810547,8.522797584533691,,,
Year 2018,49,10.377457,11.6136302947998,9.187021255493164,,,
Year 2018,50,11.130481,12.46045207977295,9.822083473205566,,,
Year 2018,51,11.644403,13.18853950500488,10.1457691192627,,,
Year 2018,52,12.274959,13.04051876068115,11.51833724975586,,,
Year 2018,53,13.058186,13.81478309631348,12.33748722076416,,,
Year 2018,54,13.444799,14.08467292785645,12.84116840362549,,,
Year 2018,55,14.681443,15.04697608947754,14.33627891540527,,,
Year 2018,56,15.007101,15.47724342346191,14.55411624908447,,,
Year 2018,57,15.429577,15.21621894836426,15.63418102264404,,,
Year 2018,58,16.015163,15.90572547912598,16.11750030517578,,,
Year 2018,59,16.632526,16.40729904174805,16.83981132507324,,,
Year 2018,60,17.681852,17.02768516540527,18.29029273986816,,,
Year 2018,61,17.883627,17.34448432922363,18.38956260681152,,,
Year 2018,62,18.642685,17.46546173095703,19.71999168395996,,,
Year 2018,63,18.799925,17.2162914276123,20.21423149108887,,,
Year 2018,64,19.110558,17.16145706176758,20.88464736938477,,,
Year 2018,65,20.16044,17.68898391723633,22.39401054382324,,,
Year 2018,66,20.09145,17.32157325744629,22.57928276062012,,,
Year 2018,67,20.849747,17.52617073059082,23.78291320800781,,,
Year 2018,68,21.259148,17.78230667114258,24.34652900695801,,,
Year 2018,69,21.686672,16.9167423248291,25.90231895446777,,,
Year 2018,70,22.093048,17.70962524414063,25.90058708190918,,,
Year 2018,71,22.160032,16.41905403137207,27.08473777770996,,,
Year 2018,72,23.187958,16.80604934692383,28.66615867614746,,,
Year 2018,73,23.763973,17.12221527099609,29.38081932067871,,,
Year 2018,74,24.162523,16.80486869812012,30.34842681884766,,,
Year 2018,75,24.76524,16.91937255859375,31.16717720031738,,,
Year 2018,76,25.220181,17.04747581481934,32.09834289550781,,,
Year 2018,77,26.161638,17.60158920288086,33.03516387939453,,,
Year 2018,78,27.274248,18.01675224304199,34.58074188232422,,,
Year 2018,79,27.997494,18.5076961517334,35.47683715820313,,,
Year 2018,80,28.992355,19.00182342529297,36.38705444335938,,,
Year 2018,81,30.145428,18.72162246704102,38.76100921630859,,,
Year 2018,82,30.045506,18.91286087036133,37.94185638427734,,,
Year 2018,83,33.153755,20.8099422454834,41.84950256347656,,,
Year 2018,84,32.767159,20.69832611083984,41.10631561279297,,,
Year 2018,85,35.162987,23.26601028442383,42.87849807739258,,,
Year 2018,86,36.266647,23.22086524963379,44.93555450439453,,,
Year 2018,87,37.280548,24.98188400268555,45.32855224609375,,,
Year 2018,88,40.202488,27.09144401550293,48.01185607910156,,,
Year 2018,89,41.961132,29.37370872497559,48.43178558349609,,,
