Entity,Year,"Percentage of Americans living alone, by year, total (IPUMS)","Percentage of Americans living alone, by year, male (IPUMS)","Percentage of Americans living alone, by year, female (IPUMS)","Percentage of Americans living alone, by age, total (IPUMS)","Percentage of Americans living alone, by age, male (IPUMS)","Percentage of Americans living alone, by age, female (IPUMS)"
Year 1900,36,1.2287406,1.792766928672791,.6093657612800598,,,
Year 1900,37,1.3417611,1.959283828735352,.6769861578941345,,,
Year 1900,38,1.3689418,1.857335329055786,.820542573928833,,,
Year 1900,39,1.5017921,2.040117740631104,.8989728093147278,,,
Year 1900,40,1.7909248,2.208868026733398,1.314244270324707,,,
Year 1900,41,1.4405236,2.009127140045166,.7885234355926514,,,
Year 1900,42,1.4708385,1.967823505401611,.9017931222915649,,,
Year 1900,43,1.4458129,1.971202850341797,.8521286845207214,,,
Year 1900,44,1.4599843,1.923278570175171,.9512417912483215,,,
Year 1900,45,2.0883126,2.576801776885986,1.530317544937134,,,
Year 1900,46,1.6384287,2.05383825302124,1.170975208282471,,,
Year 1900,47,1.6836427,2.148614883422852,1.155348777770996,,,
Year 1900,48,1.9296205,2.30337381362915,1.517979264259338,,,
Year 1900,49,2.021208,2.479801893234253,1.511667013168335,,,
Year 1900,50,2.7067049,2.918557167053223,2.47138524055481,,,
Year 1900,51,2.0734437,2.550786256790161,1.50969398021698,,,
Year 1900,52,2.1705885,2.412448883056641,1.886950850486755,,,
Year 1900,53,2.2147839,2.714529752731323,1.643807768821716,,,
Year 1900,54,2.5001309,2.702620267868042,2.281073570251465,,,
Year 1900,55,3.1227627,3.406785488128662,2.81811785697937,,,
Year 1900,56,2.6340032,2.842861652374268,2.404404640197754,,,
Year 1900,57,2.6721563,2.733329296112061,2.604997873306274,,,
Year 1900,58,2.9702194,3.147274732589722,2.786383628845215,,,
Year 1900,59,3.3876598,3.198880434036255,3.581450939178467,,,
Year 1900,60,4.2898355,3.970262765884399,4.607057094573975,,,
Year 1900,61,3.8366075,3.375893354415894,4.319999217987061,,,
Year 1900,62,4.1380277,3.757944583892822,4.541363716125488,,,
Year 1900,63,4.1023254,3.548293828964233,4.700778007507324,,,
Year 1900,64,3.9115202,3.363028526306152,4.482707500457764,,,
Year 1900,65,5.2027984,4.430095195770264,5.998305797576904,,,
Year 1900,66,4.6996603,3.985488891601563,5.456904888153076,,,
Year 1900,67,5.2005053,4.535363674163818,5.914403915405273,,,
Year 1900,68,5.0920935,4.196686267852783,6.039853096008301,,,
Year 1900,69,5.5009422,4.407838821411133,6.617658615112305,,,
Year 1900,70,6.3462825,4.965838432312012,7.676217079162598,,,
Year 1900,71,5.7135859,4.419007778167725,7.112959861755371,,,
Year 1900,72,6.0097113,4.681617259979248,7.4371337890625,,,
Year 1900,73,5.7765164,4.542410373687744,7.078312873840332,,,
Year 1900,74,5.7018638,4.550388336181641,6.869779586791992,,,
Year 1900,75,6.4125099,4.751471996307373,8.02623176574707,,,
Year 1900,76,5.8573318,4.214763641357422,7.549453735351563,,,
Year 1900,77,5.803339,4.710160732269287,6.92760181427002,,,
Year 1900,78,5.6636624,4.126243114471436,7.223187923431396,,,
Year 1900,79,6.0720263,4.210523128509521,7.874287605285645,,,
Year 1900,80,6.2465611,4.778563022613525,7.601165771484375,,,
Year 1900,81,6.1948309,3.410037994384766,8.94664478302002,,,
Year 1900,82,5.2883763,3.024632215499878,7.350382328033447,,,
Year 1900,83,5.3022342,4.210641860961914,6.371878623962402,,,
Year 1900,84,5.1449394,3.585412263870239,6.405863285064697,,,
Year 1900,85,6.1727548,5.630049705505371,6.635293483734131,,,
Year 1900,86,4.1551218,4.615790367126465,3.761856555938721,,,
Year 1900,87,4.7594581,3.923343420028687,5.489382743835449,,,
Year 1900,88,4.8790035,4.164614200592041,5.442145824432373,,,
Year 1900,89,3.0029743,.9564692378044128,4.604613304138184,,,
Year 1920,18,.29753187,.375155508518219,.221533864736557,,,
Year 1920,19,.24802957,.3875225484371185,.1094395443797112,,,
Year 1920,20,.43077624,.6000493168830872,.2746779024600983,,,
Year 1920,21,.61699224,.754427433013916,.473873496055603,,,
Year 1920,22,.50971365,.7235100269317627,.3045102059841156,,,
Year 1920,23,.64372396,1.004707455635071,.3116882741451263,,,
Year 1920,24,.62303609,.7786702513694763,.473603367805481,,,
Year 1920,25,.74709195,1.094236135482788,.4168404638767242,,,
Year 1920,26,.77863038,1.144487977027893,.4215541779994965,,,
Year 1920,27,.72981954,1.030935049057007,.4111162722110748,,,
Year 1920,28,.82923192,1.088570594787598,.5673084259033203,,,
Year 1920,29,.8530615,1.110587000846863,.5821118354797363,,,
Year 1920,30,1.0820333,1.360907435417175,.8194277882575989,,,
Year 1920,31,.83429611,1.09841251373291,.5583618879318237,,,
Year 1920,32,1.0548083,1.387649536132813,.7265766859054565,,,
Year 1920,33,1.0719285,1.424030900001526,.6891303062438965,,,
Year 1920,34,1.1743438,1.488274812698364,.8177475333213806,,,
Year 1920,35,1.4506892,1.820623636245728,1.055248975753784,,,
Year 1920,36,1.2364912,1.612400412559509,.8166425228118896,,,
Year 1920,37,1.1260722,1.411122679710388,.7999335527420044,,,
Year 1920,38,1.3526267,1.725307703018188,.9439302682876587,,,
Year 1920,39,1.3986313,1.853425264358521,.9060573577880859,,,
Year 1920,40,2.0199945,2.338151693344116,1.688796520233154,,,
Year 1920,41,1.3782496,1.954259872436523,.7236130237579346,,,
Year 1920,42,1.4095714,1.801230192184448,.9797055125236511,,,
Year 1920,43,1.7218447,2.142320156097412,1.255793929100037,,,
Year 1920,44,1.3915321,1.775309443473816,.9797230362892151,,,
Year 1920,45,2.2757423,2.424359321594238,2.107972621917725,,,
Year 1920,46,2.0338292,2.471400499343872,1.497222781181335,,,
Year 1920,47,1.8342201,2.344537734985352,1.208445429801941,,,
Year 1920,48,2.4443364,2.960654020309448,1.849002361297607,,,
Year 1920,49,2.2965288,2.480514049530029,2.081575870513916,,,
Year 1920,50,2.5845118,2.647290468215942,2.514697551727295,,,
Year 1920,51,2.2631004,2.706861734390259,1.738210916519165,,,
Year 1920,52,2.5810544,2.865632295608521,2.23201060295105,,,
Year 1920,53,2.8623023,3.374159812927246,2.249008417129517,,,
Year 1920,54,2.8172555,3.270718097686768,2.32745885848999,,,
Year 1920,55,3.4465394,3.574571132659912,3.30195689201355,,,
Year 1920,56,3.4718513,3.282841682434082,3.68315577507019,,,
Year 1920,57,3.5052977,4.217319011688232,2.677680730819702,,,
Year 1920,58,3.404345,3.606950759887695,3.190359830856323,,,
Year 1920,59,3.6446314,3.909305810928345,3.339759349822998,,,
Year 1920,60,4.8850908,4.794200897216797,4.982625007629395,,,
Year 1920,61,4.1901031,4.11014461517334,4.284973621368408,,,
Year 1920,62,5.236618,5.154114723205566,5.33564281463623,,,
Year 1920,63,4.8669486,4.532675266265869,5.256813526153564,,,
Year 1920,64,5.1218052,5.00970458984375,5.252553939819336,,,
Year 1920,65,5.7861013,5.545690059661865,6.049402713775635,,,
Year 1920,66,5.2781916,5.130587577819824,5.437090396881104,,,
Year 1920,67,5.6815386,5.057254314422607,6.424311637878418,,,
Year 1920,68,6.6127977,6.169120311737061,7.08543062210083,,,
Year 1920,69,5.9561653,5.428420066833496,6.541813373565674,,,
Year 1920,70,7.1986361,5.985386848449707,8.463943481445313,,,
Year 1920,71,6.1563792,5.801525115966797,6.527219772338867,,,
Year 1920,72,7.7162652,6.82136869430542,8.631851196289063,,,
Year 1920,73,7.6306992,5.418944358825684,9.880755424499512,,,
Year 1920,74,7.2674618,6.409648895263672,8.142890930175781,,,
Year 1920,75,8.3861637,6.945922374725342,9.637236595153809,,,
Year 1920,76,6.4529657,5.908169269561768,7.005761623382568,,,
Year 1920,77,6.6941261,4.736147403717041,8.584354400634766,,,
Year 1920,78,7.3521352,5.491855144500732,9.127740859985352,,,
Year 1920,79,6.6918836,5.895554542541504,7.454124927520752,,,
Year 1920,80,7.8592329,6.355644226074219,9.14958381652832,,,
Year 1920,81,6.4157643,6.543637752532959,6.281046390533447,,,
Year 1920,82,7.177577,6.551663398742676,7.690318584442139,,,
Year 1920,83,7.0352497,5.639105796813965,8.211980819702148,,,
Year 1920,84,6.81604,3.830912590026855,9.349961280822754,,,
Year 1920,85,5.8441911,3.692469120025635,7.531667709350586,,,
Year 1920,86,5.8727946,3.629207611083984,7.599952697753906,,,
Year 1920,87,1.9974966,2.220715761184692,1.775969386100769,,,
Year 1920,88,5.4011674,4.810507774353027,5.831941604614258,,,
Year 1920,89,5.5308571,4.279219150543213,6.620510578155518,,,
Year 1940,18,.16828842,.2052963227033615,.1319184452295303,,,
Year 1940,19,.28398842,.3030560612678528,.2652156949043274,,,
Year 1940,20,.43934542,.5039937496185303,.3781806230545044,,,
Year 1940,21,.65782249,.778189480304718,.5376912951469421,,,
Year 1940,22,.66393656,.7442258596420288,.5875054597854614,,,
Year 1940,23,.88370174,.9117316603660583,.8568223714828491,,,
Year 1940,24,1.0446988,1.238199830055237,.8581218123435974,,,
Year 1940,25,1.0877498,1.291845798492432,.8898403644561768,,,
Year 1940,26,1.0116552,1.172337293624878,.8613923788070679,,,
Year 1940,27,.90370029,1.057087302207947,.7531088590621948,,,
Year 1940,28,1.0920208,1.288740396499634,.9035686254501343,,,
Year 1940,29,1.0699205,1.204015731811523,.9416298866271973,,,
Year 1940,30,1.5331241,1.545435428619385,1.521210193634033,,,
Year 1940,31,1.2235717,1.130348563194275,1.315436363220215,,,
Year 1940,32,1.2841837,1.261979103088379,1.305525422096252,,,
Year 1940,33,1.4919052,1.569992065429688,1.414666295051575,,,
Year 1940,34,1.4947897,1.583016633987427,1.408921837806702,,,
Year 1940,35,1.7956922,1.68487536907196,1.905684232711792,,,
