Entity,Year,DALY number from ambient PM2.5 air pollution (State of Global Air (2017))
Afghanistan,1990,900500
Afghanistan,1995,1081900
Afghanistan,2000,1246700
Afghanistan,2005,1288000
Afghanistan,2010,1228100
Afghanistan,2015,1203200
Albania,1990,38800
Albania,1995,31400
Albania,2000,24600
Albania,2005,21300
Albania,2010,24400
Albania,2015,27000
Algeria,1990,224000
Algeria,1995,208200
Algeria,2000,203600
Algeria,2005,199500
Algeria,2010,205000
Algeria,2015,269000
Andorra,1990,200
Andorra,1995,200
Andorra,2000,200
Andorra,2005,200
Andorra,2010,300
Andorra,2015,300
Angola,1990,488800
Angola,1995,488600
Angola,2000,534800
Angola,2005,453500
Angola,2010,446400
Angola,2015,455900
Antigua and Barbuda,1990,400
Antigua and Barbuda,1995,500
Antigua and Barbuda,2000,400
Antigua and Barbuda,2005,400
Antigua and Barbuda,2010,400
Antigua and Barbuda,2015,400
Argentina,1990,289400
Argentina,1995,281800
Argentina,2000,283200
Argentina,2005,272900
Argentina,2010,275200
Argentina,2015,271900
Armenia,1990,52100
Armenia,1995,49000
Armenia,2000,43500
Armenia,2005,45300
Armenia,2010,43700
Armenia,2015,42000
Australia,1990,68300
Australia,1995,62400
Australia,2000,56700
Australia,2005,49000
Australia,2010,40400
Australia,2015,43100
Austria,1990,78000
Austria,1995,70500
Austria,2000,62800
Austria,2005,52300
Austria,2010,48900
Austria,2015,52500
Azerbaijan,1990,232700
Azerbaijan,1995,221500
Azerbaijan,2000,180000
Azerbaijan,2005,156300
Azerbaijan,2010,164800
Azerbaijan,2015,159900
Bahamas,1990,2000
Bahamas,1995,1900
Bahamas,2000,2000
Bahamas,2005,2000
Bahamas,2010,1700
Bahamas,2015,2100
Bahrain,1990,6000
Bahrain,1995,5700
Bahrain,2000,5700
Bahrain,2005,5300
Bahrain,2010,6500
Bahrain,2015,6600
Bangladesh,1990,4529200
Bangladesh,1995,4033800
Bangladesh,2000,3703200
Bangladesh,2005,3681600
Bangladesh,2010,3401600
Bangladesh,2015,3408000
Barbados,1990,2100
Barbados,1995,2100
Barbados,2000,2000
Barbados,2005,1700
Barbados,2010,1700
Barbados,2015,1800
Belarus,1990,230800
Belarus,1995,250500
Belarus,2000,245100
Belarus,2005,233400
Belarus,2010,216200
Belarus,2015,217700
Belgium,1990,110800
Belgium,1995,99100
Belgium,2000,92000
Belgium,2005,79900
Belgium,2010,74800
Belgium,2015,75200
Belize,1990,1800
Belize,1995,1900
Belize,2000,2100
Belize,2005,1800
Belize,2010,1800
Belize,2015,2200
Benin,1990,248500
Benin,1995,261500
Benin,2000,255300
Benin,2005,201800
Benin,2010,191900
Benin,2015,178600
Bhutan,1990,11300
Bhutan,1995,9000
Bhutan,2000,8100
Bhutan,2005,8400
Bhutan,2010,8200
Bhutan,2015,8900
Bolivia,1990,159300
Bolivia,1995,142300
Bolivia,2000,122500
Bolivia,2005,122700
Bolivia,2010,92000
Bolivia,2015,87400
Bosnia and Herzegovina,1990,66600
Bosnia and Herzegovina,1995,60700
Bosnia and Herzegovina,2000,53000
Bosnia and Herzegovina,2005,47600
Bosnia and Herzegovina,2010,46300
Bosnia and Herzegovina,2015,50100
Botswana,1990,14800
Botswana,1995,16000
Botswana,2000,21200
Botswana,2005,21800
Botswana,2010,19000
Botswana,2015,19200
Brazil,1990,1265800
Brazil,1995,1285400
Brazil,2000,1259000
Brazil,2005,1114300
Brazil,2010,958900
Brazil,2015,1083900
Brunei,1990,500
Brunei,1995,500
Brunei,2000,500
Brunei,2005,800
Brunei,2010,700
Brunei,2015,600
Bulgaria,1990,251600
Bulgaria,1995,234500
Bulgaria,2000,203800
Bulgaria,2005,170300
Bulgaria,2010,161900
Bulgaria,2015,157300
Burkina Faso,1990,490000
Burkina Faso,1995,492400
Burkina Faso,2000,492200
Burkina Faso,2005,430200
Burkina Faso,2010,395900
Burkina Faso,2015,346800
Burundi,1990,243300
Burundi,1995,247800
Burundi,2000,226000
Burundi,2005,191900
Burundi,2010,172400
Burundi,2015,215200
Cambodia,1990,298400
Cambodia,1995,300900
Cambodia,2000,269600
Cambodia,2005,235200
Cambodia,2010,187600
Cambodia,2015,183700
Cameroon,1990,509700
Cameroon,1995,589000
Cameroon,2000,643200
Cameroon,2005,575200
Cameroon,2010,575500
Cameroon,2015,541200
Canada,1990,121800
Canada,1995,117900
Canada,2000,111100
Canada,2005,109300
Canada,2010,94700
Canada,2015,100400
Cape Verde,1990,5100
Cape Verde,1995,5800
Cape Verde,2000,5800
Cape Verde,2005,4800
Cape Verde,2010,4500
Cape Verde,2015,4400
Central African Republic,1990,139200
Central African Republic,1995,143900
Central African Republic,2000,151500
Central African Republic,2005,148500
Central African Republic,2010,155700
Central African Republic,2015,163500
