Entity,Year,Blue whale (Rocha et al.; IWC),Fin whale (Rocha et al.; IWC),Sperm whale (Rocha et al.; IWC),Humpback whale (Rocha et al.; IWC),Sei whale (Rocha et al.; IWC),Bryde's whale (Rocha et al.; IWC),Minke whale (Rocha et al.; IWC),Gray whale (Rocha et al.; IWC),Right whale (Rocha et al.; IWC),Unspecified/Other (Rocha et al.; IWC),All whale species (Rocha et al.; IWC),Bowhead whale (Rocha et al.; IWC)
Northern Hemisphere,1900,381,502,0,131,40,0,0,0,0,597,1651,
Northern Hemisphere,1901,299,570,8,308,29,0,0,0,0,1029,2243,
Northern Hemisphere,1902,142,673,2,423,58,0,0,0,2,1643,2943,
Northern Hemisphere,1903,492,988,152,722,106,0,0,0,2,966,3428,
Northern Hemisphere,1904,862,1945,13,697,176,0,0,0,2,651,4346,
Northern Hemisphere,1905,1002,1882,11,323,136,0,0,0,0,747,4101,
Northern Hemisphere,1906,477,1179,10,323,473,0,0,0,6,1033,3501,
Northern Hemisphere,1907,391,1365,16,293,476,0,0,0,25,2140,4706,
Northern Hemisphere,1908,412,1576,13,510,646,0,0,0,28,1478,4663,
Northern Hemisphere,1909,372,1890,69,679,763,0,0,0,27,928,4728,
Northern Hemisphere,1910,336,1731,78,888,503,0,0,0,19,1304,4859,
Northern Hemisphere,1911,577,2705,238,1296,581,0,0,122,3,185,5707,
Northern Hemisphere,1912,605,2112,178,1135,390,0,0,193,13,319,4945,
Northern Hemisphere,1913,248,1905,204,773,567,0,0,132,3,27,3859,
Northern Hemisphere,1914,400,2661,380,1043,554,0,1,174,7,83,5303,
Northern Hemisphere,1915,174,1735,312,594,731,0,10,139,8,0,3703,
Northern Hemisphere,1916,164,1444,438,455,461,0,0,78,9,61,3110,
Northern Hemisphere,1917,235,1045,278,350,728,0,6,69,2,0,2713,
Northern Hemisphere,1918,140,1724,729,306,1027,0,7,104,3,104,4144,
Northern Hemisphere,1919,161,1486,614,597,918,0,14,46,5,70,3911,
Northern Hemisphere,1920,242,1653,424,790,1081,0,6,68,5,41,4310,
Northern Hemisphere,1921,60,1019,387,331,565,0,20,116,8,11,2517,
Northern Hemisphere,1922,163,1864,840,993,552,0,20,49,5,13,4499,
Northern Hemisphere,1923,174,2606,712,933,801,0,20,27,11,20,5304,
Northern Hemisphere,1924,261,3183,640,624,961,0,20,18,11,0,5718,
Northern Hemisphere,1925,321,3733,780,1085,944,2,20,142,10,44,7081,
Northern Hemisphere,1926,351,3638,937,1135,858,18,13,53,10,18,7031,
Northern Hemisphere,1927,257,2464,783,1218,790,0,13,42,10,0,5577,
Northern Hemisphere,1928,500,2070,1012,556,538,0,9,21,11,0,4717,
Northern Hemisphere,1929,409,1747,997,340,587,0,15,14,7,0,4116,
Northern Hemisphere,1930,237,1729,1001,331,571,0,60,30,2,300,4261,
Northern Hemisphere,1931,75,879,368,109,478,0,194,11,8,3,2125,
Northern Hemisphere,1932,157,1033,470,229,455,0,369,17,20,0,2750,
Northern Hemisphere,1933,86,1373,903,302,421,0,546,106,4,5,3746,
Northern Hemisphere,1934,94,1167,961,292,488,0,731,154,0,506,4393,
Northern Hemisphere,1935,172,981,1132,374,511,0,908,144,2,615,4839,
Northern Hemisphere,1936,85,1118,1566,271,506,0,1078,188,0,613,5425,
Northern Hemisphere,1937,123,2005,1865,263,622,0,1283,14,6,0,6181,
Northern Hemisphere,1938,56,1077,1619,121,658,0,1422,54,0,208,5215,
Northern Hemisphere,1939,41,1237,1909,221,736,4,987,29,0,0,5164,
Northern Hemisphere,1940,53,867,2378,201,432,0,727,105,1,8,4772,
Northern Hemisphere,1941,79,1134,2388,81,692,0,2365,57,5,0,6801,
Northern Hemisphere,1942,20,767,1325,72,308,0,2459,101,6,0,5058,
