Entity,Year,Terrain Ruggedness Index 100m (Nunn and Puga 2012)
Afghanistan,1996,2.518
Albania,1996,3.427
Algeria,1996,0.51
American Samoa,1996,2.647
Andorra,1996,5.717
Angola,1996,0.858
Anguilla,1996,0.013
Antigua and Barbuda,1996,0.006
Argentina,1996,0.775
Armenia,1996,2.688
Aruba,1996,0.462
Australia,1996,0.143
Austria,1996,3.513
Azerbaijan,1996,1.672
Bahamas,1996,0.055
Bahrain,1996,0.231
Bangladesh,1996,0.186
Barbados,1996,0.963
Belarus,1996,0.164
Belgium,1996,0.388
Belize,1996,0.607
Benin,1996,0.141
Bermuda,1996,0.015
Bhutan,1996,6.74
Bolivia,1996,0.853
Bosnia and Herzegovina,1996,2.311
Botswana,1996,0.181
Brazil,1996,0.24
British Indian Ocean Territory,1996,0.018
British Virgin Islands,1996,1.257
Brunei,1996,0.52
Bulgaria,1996,1.479
Burkina Faso,1996,0.236
Burundi,1996,1.78
Cambodia,1996,0.54
Cameroon,1996,0.515
Canada,1996,0.775
Cape Verde,1996,2.367
Cayman Islands,1996,0.096
Central African Republic,1996,0.197
Chad,1996,0.419
Chile,1996,2.481
China,1996,1.878
Christmas Island,1996,1.321
Cocos Islands,1996,0.015
Colombia,1996,0.885
Comoros,1996,3.328
Congo,1996,0.152
Cook Islands,1996,0.96
Costa Rica,1996,2.112
Cote d'Ivoire,1996,0.224
Croatia,1996,1.267
Cuba,1996,0.528
Cyprus,1996,2.718
Czech Republic,1996,0.884
Democratic Republic of Congo,1996,0.443
Denmark,1996,0.189
Djibouti,1996,2.432
Dominica,1996,0.003
Dominican Republic,1996,1.641
Ecuador,1996,1.278
Egypt,1996,0.723
El Salvador,1996,1.75
Equatorial Guinea,1996,0.559
Eritrea,1996,2.481
Estonia,1996,0.123
Ethiopia,1996,1.57
Faeroe Islands,1996,2.253
Falkland Islands,1996,0.264
Fiji,1996,1.396
Finland,1996,0.328
France,1996,1.098
French Guiana,1996,0.205
French Polynesia,1996,2.072
Gabon,1996,0.218
Gambia,1996,0.353
Georgia,1996,3.659
Germany,1996,0.597
Ghana,1996,0.228
Gibraltar,1996,7.811
Greece,1996,3.103
Greenland,1996,0.41
Grenada,1996,2.088
Guadeloupe,1996,1.188
Guam,1996,0.666
Guatemala,1996,1.807
Guinea,1996,0.74
Guinea-Bissau,1996,0.491
Guyana,1996,0.273
Haiti,1996,2.362
Honduras,1996,2.15
Hong Kong,1996,2.501
Hungary,1996,0.346
Iceland,1996,1.472
India,1996,1.013
Indonesia,1996,0.967
Iran,1996,2.445
Iraq,1996,0.67
Ireland,1996,0.513
Israel,1996,1.705
Italy,1996,2.458
Jamaica,1996,1.788
Japan,1996,2.132
