Entity,Year,"Number of people without access to safe drinking water (WHO Wash, 2019)","Number of people without access to safe sanitation (WHO Wash, 2019)"
Albania,2000,1739237.086,1382342.541
Albania,2001,1650931.034,1326669.399
Albania,2002,1584179.616,1291240.61
Albania,2003,1517833.992,1257177.519
Albania,2004,1454217.17,1226795.508
Albania,2005,1392817.119,1199424.017
Albania,2006,1334227.622,1175449.875
Albania,2007,1278119.829,1154149.539
Albania,2008,1225173.21,1135732.93
Albania,2009,1174079.615,1118628.486
Albania,2010,1123608.84,1101682.543
Albania,2011,1073325.768,1084795.539
Albania,2012,1019982.094,1065092.129
Albania,2013,961206.4078,1040981.379
Albania,2014,899287.4331,1016527.594
Albania,2015,885760.7687,1003145.968
Algeria,2000,,24578627.11
Algeria,2001,,24937916.1
Algeria,2002,,25294989.54
Algeria,2003,,25658702.3
Algeria,2004,,26039860.77
Algeria,2005,,26447013.05
Algeria,2006,,26882205.51
Algeria,2007,,27346011.64
Algeria,2008,,27843364.33
Algeria,2009,,28378940.17
Algeria,2010,,28954987.7
Algeria,2011,,29574303.01
Algeria,2012,,30232401.93
Algeria,2013,,30914813.06
Algeria,2014,,31601653.21
Algeria,2015,,32277681.19
Andorra,2000,,61163.35606
Andorra,2001,,56962.21068
Andorra,2002,,52879.60205
Andorra,2003,,48489.80391
Andorra,2004,,43444.03985
Andorra,2005,,37668.90928
Andorra,2006,,31322.31401
Andorra,2007,,24604.43568
Andorra,2008,,17698.83687
Andorra,2009,,10843.52558
Andorra,2010,,4266.535046
Andorra,2011,,1425
Andorra,2012,,3115
Andorra,2013,,4886
Andorra,2014,,6437
Andorra,2015,,7541
Argentina,2000,854268.1791,26393687.21
Argentina,2001,845496.7821,26749521.2
Argentina,2002,836833.7494,27107774.04
Argentina,2003,828350.9818,27467080.72
Argentina,2004,820073.8568,27825133.14
Argentina,2005,784186.664,28180408.66
Argentina,2006,747954.6436,28532282
Argentina,2007,711394.8923,28881625.5
Argentina,2008,699343.0386,29230536.98
Argentina,2009,691509.7359,29584672.59
Argentina,2010,684044.9755,29948921.08
Argentina,2011,676969.5228,30318238.1
Argentina,2012,670254.3105,30691330.08
Argentina,2013,678245.8828,31054103.39
Argentina,2014,632407.7148,31487581.33
Argentina,2015,640358.7104,31919270.96
Armenia,2000,2248228.37,3069588
Armenia,2001,2232163.987,3050655
Armenia,2002,2087638.594,3033897
Armenia,2003,1943654.608,3017806
Armenia,2004,1798850.959,3000612
Armenia,2005,1658024.52,2981259
Armenia,2006,1556017.451,2958500
Armenia,2007,1452997.124,2933056
Armenia,2008,1351385.187,2908220
Armenia,2009,1254424.252,2888584
Armenia,2010,1163659.061,2877311
Armenia,2011,1079952.166,2875581
Armenia,2012,1082276.044,2881922
Armenia,2013,1087552.5,2893509
Armenia,2014,1083962.456,2906220
Armenia,2015,1088776.428,2916950
Australia,2000,,6646902.968
Australia,2001,,6775062.803
