Entity,Year,Share of pregnancies that end in abortion
Africa,1994,12
Africa,1999,13
Africa,2004,14
Africa,2009,14
Africa,2014,15
Asia,1994,23
Asia,1999,25
Asia,2004,25
Asia,2009,26
Asia,2014,28
Caribbean,1994,32
Caribbean,1999,34
Caribbean,2004,35
Caribbean,2009,39
Caribbean,2014,39
Central America,1994,15
Central America,1999,17
Central America,2004,19
Central America,2009,22
Central America,2014,24
Developed countries,1994,39
Developed countries,1999,37
Developed countries,2004,34
Developed countries,2009,31
Developed countries,2014,28
Developing countries,1994,21
Developing countries,1999,22
Developing countries,2004,22
Developing countries,2009,23
Developing countries,2014,24
Eastern Africa,1994,11
Eastern Africa,1999,12
Eastern Africa,2004,12
Eastern Africa,2009,13
Eastern Africa,2014,14
Eastern Asia,1994,31
Eastern Asia,1999,34
Eastern Asia,2004,35
Eastern Asia,2009,35
Eastern Asia,2014,34
Eastern Europe,1994,54
Eastern Europe,1999,56
Eastern Europe,2004,52
Eastern Europe,2009,45
Eastern Europe,2014,38
Europe,1994,42
Europe,1999,42
Europe,2004,39
Europe,2009,34
Europe,2014,30
Latin America,1994,23
Latin America,1999,25
Latin America,2004,27
Latin America,2009,30
Latin America,2014,32
Middle Africa,1994,10
Middle Africa,1999,11
Middle Africa,2004,12
Middle Africa,2009,12
Middle Africa,2014,13
North America,1994,23
North America,1999,21
North America,2004,20
North America,2009,19
North America,2014,17
Northern Africa,1994,19
Northern Africa,1999,21
Northern Africa,2004,22
Northern Africa,2009,23
Northern Africa,2014,23
Northern Europe,1994,22
Northern Europe,1999,22
Northern Europe,2004,21
Northern Europe,2009,20
Northern Europe,2014,19
Oceania,1994,16
Oceania,1999,17
Oceania,2004,18
Oceania,2009,16
Oceania,2014,16
South America,1994,25
South America,1999,27
South America,2004,29
South America,2009,32
South America,2014,34
South and Central Asia,1994,17
South and Central Asia,1999,18
South and Central Asia,2004,19
South and Central Asia,2009,21
South and Central Asia,2014,25
Southeastern Asia,1994,26
Southeastern Asia,1999,27
Southeastern Asia,2004,26
Southeastern Asia,2009,26
Southeastern Asia,2014,27
Southern Africa,1994,17
Southern Africa,1999,20
Southern Africa,2004,21
Southern Africa,2009,22
Southern Africa,2014,24
Southern Europe,1994,38
Southern Europe,1999,36
Southern Europe,2004,33
Southern Europe,2009,30
Southern Europe,2014,29
Western Africa,1994,10
Western Africa,1999,10
Western Africa,2004,11
Western Africa,2009,11
Western Africa,2014,12
Western Asia,1994,21
Western Asia,1999,23
Western Asia,2004,24
Western Asia,2009,23
Western Asia,2014,23
Western Europe,1994,17
Western Europe,1999,17
Western Europe,2004,19
Western Europe,2009,21
Western Europe,2014,21
World,1994,23
World,1999,24
World,2004,24
World,2009,24
World,2014,25
