Entity,Year,DALY rate from ambient PM2.5 air pollution (State of Global Air (2017))
Afghanistan,1990,7661
Afghanistan,1995,7585
Afghanistan,2000,7583
Afghanistan,2005,6772
Afghanistan,2010,6371
Afghanistan,2015,5927
Albania,1990,1372
Albania,1995,1162
Albania,2000,963
Albania,2005,777
Albania,2010,799
Albania,2015,789
Algeria,1990,1403
Algeria,1995,1245
Algeria,2000,1103
Algeria,2005,928
Algeria,2010,797
Algeria,2015,887
Andorra,1990,304
Andorra,1995,264
Andorra,2000,227
Andorra,2005,205
Andorra,2010,192
Andorra,2015,183
Angola,1990,4039
Angola,1995,3688
Angola,2000,3517
Angola,2005,2904
Angola,2010,2550
Angola,2015,2523
Antigua and Barbuda,1990,838
Antigua and Barbuda,1995,807
Antigua and Barbuda,2000,719
Antigua and Barbuda,2005,644
Antigua and Barbuda,2010,512
Antigua and Barbuda,2015,493
Argentina,1990,963
Argentina,1995,867
Argentina,2000,805
Argentina,2005,712
Argentina,2010,660
Argentina,2015,598
Armenia,1990,1756
Armenia,1995,1721
Armenia,2000,1515
Armenia,2005,1500
Armenia,2010,1423
Armenia,2015,1198
Australia,1990,380
Australia,1995,309
Australia,2000,247
Australia,2005,189
Australia,2010,137
Australia,2015,130
Austria,1990,765
Austria,1995,661
Austria,2000,556
Austria,2005,425
Austria,2010,368
Austria,2015,356
Azerbaijan,1990,3533
Azerbaijan,1995,3358
Azerbaijan,2000,2943
Azerbaijan,2005,2332
Azerbaijan,2010,2191
Azerbaijan,2015,1799
Bahamas,1990,1174
Bahamas,1995,990
Bahamas,2000,895
Bahamas,2005,745
Bahamas,2010,541
Bahamas,2015,571
Bahrain,1990,2287
Bahrain,1995,1922
Bahrain,2000,1663
Bahrain,2005,1219
Bahrain,2010,943
Bahrain,2015,835
Bangladesh,1990,4084
Bangladesh,1995,3669
Bangladesh,2000,3375
Bangladesh,2005,3418
Bangladesh,2010,3176
Bangladesh,2015,2972
Barbados,1990,867
Barbados,1995,821
Barbados,2000,687
Barbados,2005,560
Barbados,2010,489
Barbados,2015,487
Belarus,1990,2066
Belarus,1995,2162
Belarus,2000,2037
Belarus,2005,1889
Belarus,2010,1694
Belarus,2015,1571
Belgium,1990,827
Belgium,1995,700
Belgium,2000,615
Belgium,2005,499
Belgium,2010,435
Belgium,2015,402
Belize,1990,1393
Belize,1995,1487
Belize,2000,1525
Belize,2005,1212
Belize,2010,937
Belize,2015,1023
Benin,1990,3778
Benin,1995,3631
Benin,2000,3461
Benin,2005,2774
Benin,2010,2555
Benin,2015,2251
Bhutan,1990,2584
Bhutan,1995,2369
Bhutan,2000,2057
Bhutan,2005,1953
Bhutan,2010,1717
Bhutan,2015,1670
Bolivia,1990,2258
Bolivia,1995,1958
Bolivia,2000,1637
Bolivia,2005,1586
Bolivia,2010,1165
Bolivia,2015,1032
Bosnia and Herzegovina,1990,1736
Bosnia and Herzegovina,1995,1602
Bosnia and Herzegovina,2000,1285
Bosnia and Herzegovina,2005,1018
Bosnia and Herzegovina,2010,894
Bosnia and Herzegovina,2015,892
Botswana,1990,1812
Botswana,1995,1855
Botswana,2000,2213
Botswana,2005,2108
Botswana,2010,1634
Botswana,2015,1421
Brazil,1990,1303
Brazil,1995,1201
Brazil,2000,1042
Brazil,2005,794
Brazil,2010,588
Brazil,2015,574
Brunei,1990,387
Brunei,1995,365
Brunei,2000,295
Brunei,2005,377
Brunei,2010,295
Brunei,2015,199
Bulgaria,1990,2377
Bulgaria,1995,2177
Bulgaria,2000,1876
Bulgaria,2005,1508
Bulgaria,2010,1410
Bulgaria,2015,1303
Burkina Faso,1990,4055
Burkina Faso,1995,3741
Burkina Faso,2000,3512
Burkina Faso,2005,2899
Burkina Faso,2010,2617
Burkina Faso,2015,2174
Burundi,1990,4776
Burundi,1995,4671
Burundi,2000,3881
Burundi,2005,2744
Burundi,2010,2124
Burundi,2015,2296
Cambodia,1990,3170
Cambodia,1995,3112
Cambodia,2000,2847
Cambodia,2005,2488
Cambodia,2010,1909
Cambodia,2015,1743
Cameroon,1990,3846
Cameroon,1995,4021
Cameroon,2000,4231
Cameroon,2005,3629
Cameroon,2010,3225
Cameroon,2015,2925
Canada,1990,414
Canada,1995,357
Canada,2000,299
Canada,2005,260
Canada,2010,198
Canada,2015,186
Cape Verde,1990,1908
Cape Verde,1995,2081
Cape Verde,2000,1981
Cape Verde,2005,1564
Cape Verde,2010,1371
Cape Verde,2015,1258
Central African Republic,1990,4770
Central African Republic,1995,4674
Central African Republic,2000,4604
Central African Republic,2005,4412
Central African Republic,2010,4241
Central African Republic,2015,4182
Chad,1990,3569
Chad,1995,3579
Chad,2000,3981
Chad,2005,3556
Chad,2010,3484
Chad,2015,2985
Chile,1990,996
Chile,1995,786
Chile,2000,598
Chile,2005,524
Chile,2010,478
Chile,2015,435
China,1990,3184
China,1995,2862
China,2000,2561
China,2005,2236
China,2010,1775
China,2015,1479
Colombia,1990,1019
Colombia,1995,953
Colombia,2000,829
Colombia,2005,749
Colombia,2010,583
Colombia,2015,523
Comoros,1990,2309
Comoros,1995,2114
Comoros,2000,1706
Comoros,2005,1286
Comoros,2010,1038
Comoros,2015,1029
Congo,1990,3849
Congo,1995,3947
Congo,2000,3861
Congo,2005,2996
Congo,2010,2606
Congo,2015,2574
Costa Rica,1990,690
Costa Rica,1995,645
Costa Rica,2000,569
Costa Rica,2005,452
Costa Rica,2010,336
Costa Rica,2015,380
Cote d'Ivoire,1990,2676
Cote d'Ivoire,1995,2993
Cote d'Ivoire,2000,2894
Cote d'Ivoire,2005,2370
Cote d'Ivoire,2010,2168
Cote d'Ivoire,2015,1902
Croatia,1990,1294
Croatia,1995,1128
Croatia,2000,1019
Croatia,2005,837
Croatia,2010,730
Croatia,2015,719
Cuba,1990,1100
Cuba,1995,1047
Cuba,2000,954
Cuba,2005,824
Cuba,2010,630
Cuba,2015,653
Cyprus,1990,769
Cyprus,1995,742
Cyprus,2000,655
Cyprus,2005,489
Cyprus,2010,410
