Entity,Year,Mean income or expenditure per day,Median income or expenditure per day,$1 - total number of people below poverty line,$1.90 - total number of people below poverty line,$3.20 - total number of people below poverty line,$5.50 - total number of people below poverty line,$10 - total number of people below poverty line,$20 - total number of people below poverty line,$30 - total number of people below poverty line,$40 - total number of people below poverty line,$1 a day - share of population below poverty line,$1.90 a day - share of population below poverty line,$3.20 a day - share of population below poverty line,$5.50 a day - share of population below poverty line,$10 a day - share of population below poverty line,$20 a day - share of population below poverty line,$30 a day - share of population below poverty line,$40 a day - share of population below poverty line,$1 a day - poverty gap index,$1.90 a day - poverty gap index,$3.20 a day - poverty gap index,$5.50 a day - poverty gap index,$10 a day - poverty gap index,$20 a day - poverty gap index,$30 a day - poverty gap index,$40 a day - poverty gap index,40% of median - total number of people below poverty line,50% of median - total number of people below poverty line,60% of median - total number of people below poverty line,40% of median - share of population below poverty line,50% of median - share of population below poverty line,60% of median - share of population below poverty line,P10,P90,Gini coefficient,$1 a day - total shortfall,$1.90 a day - total shortfall,$3.20 a day - total shortfall,$5.50 a day - total shortfall,$10 a day - total shortfall,$20 a day - total shortfall,$30 a day - total shortfall,$40 a day - total shortfall,$1 - total number of people above poverty line,$1.90 - total number of people above poverty line,$3.20 - total number of people above poverty line,$5.50 - total number of people above poverty line,$10 - total number of people above poverty line,$20 - total number of people above poverty line,$30 - total number of people above poverty line,$40 - total number of people above poverty line,$1 - share of population above poverty line,$1.90 - share of population above poverty line,$3.20 - share of population above poverty line,$5.50 - share of population above poverty line,$10 - share of population above poverty line,$20 - share of population above poverty line,$30 - share of population above poverty line,$40 - share of population above poverty line,$1-$1.90 - total number of people between poverty lines,$1.90-$3.20 - total number of people between poverty lines,$3.20-$5.50 - total number of people between poverty lines,$5.50-$10 - total number of people between poverty lines,$10-$20 - total number of people between poverty lines,$20-$30 - total number of people between poverty lines,$30-$40 - total number of people between poverty lines,$1-$1.90 - share of population between poverty lines,$1.90-$3.20 - share of population between poverty lines,$3.20-$5.50 - share of population between poverty lines,$5.50-$10 - share of population between poverty lines,$10-$20 - share of population between poverty lines,$20-$30 - share of population between poverty lines,$30-$40 - share of population between poverty lines,$1.90-$10 - total number of people between poverty lines,$10-$30 - total number of people between poverty lines,$1.90-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,Share of the poorest quintile in total income or expenditure,Share of the 2nd quintile in total income or expenditure,Share of the 3rd quintile in total income or expenditure,Share of the 4th quintile in total income or expenditure,Share of the richest quintile in total income or expenditure,Share of the richest decile in total income or expenditure,$21.70 - total number of people below poverty line,$21.70 a day - share of population below poverty line,$21.70 a day - poverty gap index,$21.70 a day - total shortfall,$21.70 - total number of people above poverty line,$21.70 - share of population above poverty line
Albania,1996,6.570820904558197,5.774804976851393,1819.0,29167.0,354001.0,1413526.0,2730059.0,3156377.0,3165260.0,3166501.0,0.05741581265349356,0.9206690071136701,11.17414933675462,44.618416686389914,86.17520773919996,99.63207914995567,99.91246507775932,99.9516562083065,0.011726158317417993,0.14005071250154,2.09483180202124,12.842785473104351,38.42913437671639,67.27306258705686,78.12875264618482,83.58160507227174,87717.0,239127.0,468949.0,2.7688211170843,7.54812303918347,14.8025141997288,3.06,10.92,0.2701034197508885,371.4885651280468,8430.020298689435,212367.8809040882,2237750.250489336,12174476.586687194,42624656.45737229,74254339.98958524,105915713.2247697,3166214.0,3138866.0,2814032.0,1754507.0,437974.0,11656.0,2773.0,1532.0,99.94258266880426,99.07933408521944,88.82584240757593,55.381588512493394,13.824792860427907,0.367925460372414,0.08753065387892107,0.04835808212856369,27348.0,324834.0,1059525.0,1316533.0,426318.0,8883.0,1241.0,0.86324858358483,10.25349167764351,33.44425389508253,41.55679565206549,13.456867400055492,0.28039480649349297,0.0391725717503574,2700892.0,435201.0,85.25453873208629,13.73725733855936,9.1526328801458,13.700724935224429,17.73456445323433,23.29695646886108,36.11512126253421,21.21557312580948,3161043.0,99.77936845025287,69.81367157207414,47994327.33995393,6990.0,0.22064164104351186
Albania,2002,6.7158276404317006,5.539607490558332,1415.0,47927.0,431172.0,1515426.0,2603681.0,2992432.0,3039977.0,3046222.0,0.04637062332571041,1.57084335862702,14.13211815688005,49.66963515999645,85.33831702536492,98.08006084701104,99.63838560500015,99.84308111495416,0.024816417800509125,0.26176108533902,2.85591770662758,15.095425572357598,40.27142588851927,67.19276285674735,77.79233467606329,83.28972625730712,98007.0,256479.0,488789.0,3.21228322967181,8.406372784532019,16.02055356185178,2.91,11.58,0.3173897983352209,757.1513887353134,15174.078090623865,278829.87142713,2533096.190653532,12286852.310013117,41001158.280712955,71203557.30600476,101647115.08332264,3049595.0,3003083.0,2619838.0,1535584.0,447329.0,58578.0,11033.0,4788.0,99.95362191536573,98.42914313620736,85.86789292726014,50.33034962192847,14.661669414390644,1.9199543757640911,0.3616179560211209,0.1569316390310094,46512.0,383245.0,1084254.0,1088255.0,388751.0,47545.0,6245.0,1.524478779158377,12.5612502089472,35.537543305331674,35.66868020753783,12.741715038626552,1.5583364197429703,0.20468631699011147,2555754.0,436296.0,83.7674736667379,14.300068579635237,8.35344602147731,12.58026303614831,16.4925618967416,22.21301379280012,40.36071525283256,25.435636949619063,3006339.0,98.53587178645016,69.62661955280495,46097638.21723135,44671.0,1.4641381050865123
Albania,2005,7.591930008528758,6.460357075105566,832.0,25915.0,262472.0,1160785.0,2408802.0,2938507.0,2994456.0,3004011.0,0.02762022403073165,0.86052711252553,8.71568477109178,38.5452539039565,79.98712716476295,97.57659760661808,99.4344584351572,99.75174440435484,0.00023008719294528968,0.13132548830934002,1.76158141801253,10.613009285101679,33.822247977901185,63.027489989655486,74.945699899723,81.11012514156315,123320.0,270779.0,502189.0,4.0950019098266,8.99153251423932,16.67577033199554,3.3,12.78,0.3059565572811916,6.929045904212315,7514.215015432358,169759.3452731616,1757851.672112965,10185526.009622572,37961293.34929552,67709400.28617513,97704834.97287624,3010655.0,2985572.0,2749015.0,1850702.0,602685.0,72980.0,17031.0,7476.0,99.97237245254587,99.13946166794013,91.28430572670577,61.45475640439424,20.012870718020697,2.4233875158684066,0.5655345681385973,0.24824945284505628,25083.0,236557.0,898313.0,1248017.0,529705.0,55949.0,9555.0,0.8329107846057446,7.855155941234347,29.82954932231154,41.44188568637354,17.58948320215229,1.8578529477298094,0.31728511529354103,2382887.0,585654.0,79.12660005223742,19.447331270394244,8.402644921243539,12.89846507816981,17.0252269115602,22.498551647553448,39.17511144147283,24.34116809656245,2956121.0,98.16150923416646,65.7579336013731,42972328.19466542,55366.0,1.8384937407998108
Albania,2008,8.314345397742978,6.957659224183439,0.0,9244.0,154750.0,916920.0,2235568.0,2861836.0,2918308.0,2937831.0,0.0,0.31364958127441,5.25054159180846,31.11034495362427,75.8510209751488,97.09978489047157,99.0158642448724,99.67824797548074,0.0,0.05124111550864497,0.75103738583368,7.39490576473968,29.439466854541653,60.02479805561302,72.84182564377721,79.48242904577948,62440.0,213023.0,416666.0,2.11853496956573,7.227714347122539,14.137154208979242,3.81,13.62,0.2998467042234796,0.0,2869.4494851706822,70833.37605731223,1198731.010900388,8676735.281292656,35382385.5312962,64406319.75163908,93703870.352253,2947314.0,2938070.0,2792564.0,2030394.0,711746.0,85478.0,29006.0,9483.0,100.0,99.68635849454792,94.74945662389553,68.8896398551359,24.148970893498284,2.9001999786924637,0.9841503144897354,0.32175058375184995,9244.0,145506.0,762170.0,1318648.0,626268.0,56472.0,19523.0,0.3136415054520828,4.936901870652397,25.859816768759625,44.74066896163762,21.24877091480582,1.9160496642027285,0.6623997307378855,2226324.0,682740.0,75.5373713938744,23.164843269723605,8.87040653865837,13.072056409634548,16.83621117882192,22.22781052207251,38.99351535081252,24.458310898488943,2889577.0,98.04102828818955,62.97345261771458,40275750.86069032,57737.0,1.9589700995550525
Albania,2012,7.882866695887549,6.8252891049441375,3229.0,24646.0,179315.0,1001477.0,2235334.0,2835798.0,2889330.0,2897094.0,0.11132099775901,0.84975444767885,6.18241386926326,34.52890592661766,77.06983967714693,97.77262570432718,99.61829859921708,99.8859835646176,0.011958644859017249,0.16910086297433,1.2726091290981199,8.64555455549084,31.062754536845077,61.33315771101493,73.87134597251944,80.3472662850392,101294.0,224871.0,430501.0,3.4924129328671296,7.75311184523735,14.84282292059738,3.65,13.26,0.2896048455859209,346.8486550773849,9318.745929360584,118114.45730065013,1379156.6293065106,9009444.432142,35578150.39163709,64276957.71901242,93215716.59215759,2897172.0,2875755.0,2721086.0,1898924.0,665067.0,64603.0,11071.0,3307.0,99.88867056658717,99.1502554301974,93.81757901752206,65.47108486033483,22.930174137989884,2.2273816620529368,0.3817058399855744,0.11401871672227391,21417.0,154669.0,822162.0,1233857.0,600464.0,53532.0,7764.0,0.7384151363897613,5.332676412675351,28.34649415718723,42.54091072234495,20.70279247593695,1.8456758220673626,0.26768712326330046,2210688.0,653996.0,76.22008522946808,22.548458922070154,8.85262200335085,13.17436957281203,17.34077515842329,22.808756322980337,37.82347694243373,22.93433964125377,2851208.0,98.30392511439257,64.21101967148243,40413582.129562646,49193.0,1.6960758184816511
Albania,2014,8.399774620228271,6.870836745603878,0.0,45674.0,335587.0,1069946.0,2068185.0,2749911.0,2863867.0,2883897.0,0.0,1.58089716965821,11.61562086400974,37.03384185206247,71.58568545345165,95.18214124180972,99.12648854074303,99.81975638870472,0.0,0.21191932649665,2.54683696531046,11.73479625717974,31.71987379235526,59.36763174741924,72.1903007829972,79.03524332955632,217105.0,415333.0,641844.0,7.514618464949289,14.37582774078003,22.21602387505624,3.05,15.78,0.3459889646678993,0.0,11632.88250331677,235458.45964244197,1864667.574319166,9164201.425298875,34303852.47039918,62569586.0260081,91336415.05775781,2889104.0,2843430.0,2553517.0,1819158.0,820919.0,139193.0,25237.0,5207.0,100.0,98.41909463972222,88.38439183913074,62.96616528861543,28.41431114975439,4.81786048546539,0.8735234176409017,0.18022888757206385,45674.0,289913.0,734359.0,998239.0,681726.0,113956.0,20030.0,1.5809053602777887,10.034702800591463,25.418226550515318,34.551854138861046,23.596450664288998,3.9443370678244882,0.693294530068838,2022511.0,795682.0,70.00478828379343,27.54080308729138,7.0267710543189805,11.534511530894461,16.44523284731515,23.31824085121228,41.67524371625935,25.544322401265863,2787016.0,96.46643960444808,62.23019630720954,39014323.46861191,102088.0,3.5335522708770606
Albania,2015,9.985141415346556,8.18945365730761,0.0,7061.0,135127.0,704654.0,1791088.0,2658644.0,2833380.0,2870259.0,0.0,0.24509790798944,4.69076710832596,24.461184845440588,62.1753802690021,92.29149173544077,98.35724035400422,99.6374381062715,0.0,0.016856002485052885,0.8601724392399699,6.18960542530095,23.74247267512663,52.55130078887005,67.05311637110347,75.07084432096704,142897.0,310489.0,540541.0,4.96048835970365,10.77823508542475,18.76418997908274,3.97,18.26,0.3275373177638622,0.0,922.5856016072868,79292.84243954878,980672.8204614398,6839501.226265531,30276937.967280064,57948034.046876065,86502722.57917708,2880703.0,2873642.0,2745576.0,2176049.0,1089615.0,222059.0,47323.0,10444.0,100.0,99.7548862204816,95.30923528041593,75.53881812876926,37.8246212816802,7.708500320928606,1.6427587293795995,0.36255039134544587,7061.0,128066.0,569527.0,1086434.0,867556.0,174736.0,36879.0,0.24511377951840227,4.445650940065671,19.77041715164666,37.71419684708906,30.116120960751598,6.065741591549007,1.2802083380341536,1784027.0,1042292.0,61.93028236101266,36.18186008500212,7.70127702614351,12.145886555824259,16.50625967309326,22.997377736162022,40.649199008776904,24.779307912549537,2711383.0,94.1222569710098,55.74146902617451,34844691.89943943,169320.0,5.877731928629921
Albania,2016,10.387450232881111,8.516612198302338,0.0,11802.0,157110.0,687489.0,1719880.0,2625490.0,2815216.0,2863305.0,0.0,0.41036422288427005,5.46261218520396,23.903491131383788,59.79901278008186,91.28642726132716,97.88307666824616,99.55510507286954,0.0,0.030296815610325226,0.9215544290657299,6.30523144261721,23.03429890471034,51.10100848795379,65.85043252373303,74.0944306991045,189031.0,365811.0,577118.0,6.57246134537133,12.71899533854483,20.06597024463861,3.89,19.18,0.3373629871613542,0.0,1655.597331799768,84815.475679692,997396.5351538539,6624897.011413632,29394332.322642475,56817748.44958233,85241226.49125007,2876101.0,2864299.0,2718991.0,2188612.0,1156221.0,250611.0,60885.0,12796.0,100.0,99.58965279731136,94.53739628754346,76.09649313428145,40.200987378398736,8.71356743035102,2.116928438883057,0.4449078804951565,11802.0,145308.0,530379.0,1032391.0,905610.0,189726.0,48089.0,0.41034720268864,5.052256509767911,18.440903153262003,35.89550575588271,31.487419948047723,6.596638991467962,1.6720205583879009,1708078.0,1095336.0,59.38864855719759,38.0840638881643,7.31992136194463,11.84618458801494,16.42109523282761,23.22448203645885,41.188316780754704,25.049554581942218,2681683.0,93.24021803352231,54.327117220687704,33906309.927921556,194418.0,6.759776516888663
Albania,2017,10.27987957587708,8.43817264466874,0.0,12312.0,123120.0,684705.0,1737879.0,2636038.0,2823891.0,2861168.0,0.0,0.42847545582039,4.28474272120853,23.82862474843489,60.48042945830944,91.73751546570544,98.27504310178699,99.5723243648286,0.0,0.06258678052789315,0.90813700979809,6.00894370616453,22.94346906047762,51.30771734694653,66.10715612972233,74.34969315630401,151469.0,334884.0,550929.0,5.27131043330937,11.654406498098387,19.17304680980168,4.06,18.82,0.330556627406811,0.0,3416.968029691427,83503.76472842849,949654.2745296427,6592707.177611285,29486103.912920993,56986821.15931305,85456258.49913354,2873457.0,2861145.0,2750337.0,2188752.0,1135578.0,237419.0,49566.0,12289.0,100.0,99.57152656190783,95.71526561907835,76.1713851990825,39.51957520157775,8.26248661455522,1.724960561442193,0.42767300850508644,12312.0,110808.0,561585.0,1053174.0,898159.0,187853.0,37277.0,0.42847343809216565,3.8562609428294903,19.543880419995848,36.65180999750475,31.25708858702253,6.537526053113027,1.2972875529371068,1725567.0,1086012.0,60.05195400248905,37.794613643477554,7.55047129383634,11.98572812645246,16.51337316181596,23.257148990508412,40.693278427386645,24.612430132886683,2685633.0,93.4634659097802,54.54065280587358,34008287.86794473,187824.0,6.536516815807579
Albania,2018,11.029704635032212,9.6410791639456,0.0,3462.0,95294.0,483320.0,1511924.0,2609027.0,2818996.0,2858472.0,0.0,0.12077232969948,3.3245385958051896,16.8617069302114,52.746897112406984,91.02180628672384,98.34705795318143,99.72424108928324,0.0,0.009204712742114296,0.60721077117409,4.21673287379659,17.93267135687202,47.41186171421321,63.543813574267894,72.46046904141359,173731.0,337481.0,534874.0,6.06099331041429,11.77378607783045,18.66027629241168,4.53,19.3,0.3014828173658325,0.0,501.2991861269215,55695.82020591691,664770.8049323866,5140177.87932254,27180044.50658792,54642138.65332672,83079579.76362036,2866376.0,2862914.0,2771082.0,2383056.0,1354452.0,257349.0,47380.0,7904.0,100.0,99.8792203116409,96.67545360413288,83.1382903010631,47.25311682765974,8.978201045501358,1.6529582999578563,0.27574888988743973,3462.0,91832.0,388026.0,1028604.0,1097103.0,209969.0,39476.0,0.12077968835909875,3.203766707508017,13.5371633030698,35.88517347340335,38.274915782158374,7.325242745543502,1.3772094100704164,1508462.0,1307072.0,52.62612478270751,45.60016084077445,7.938000854167029,13.04530223525525,17.480440910076652,23.344437927226082,38.19181807327544,22.742312330858148,2674154.0,93.29391475615995,50.92383301460869,31674807.053494792,192222.0,6.706098571855193
