Entity,Year,Women's income as a percent of men's
Armenia,2014,35.82715607
Bolivia,2014,57.67441177
Colombia,2014,49.56937027
Georgia,2014,49.4322052
Ghana,2014,71.90650177
Kenya,2014,70.91442871
Laos,2014,85.88167572
Macedonia,2014,67.90257263
Sri Lanka,2014,30.74782562
Ukraine,2014,54.7790451
Vietnam,2014,83.2021637
