Entity,Year,Beef,Hides,Lamb,Pork,Coal,Natural gas,Petroleum,Barley,Corn,Rice,Rye,Wheat,Aluminum,Chromium,Copper,Lead,Manganese,Nickel,Steel,Tin,Zinc,Bauxite,Iron ore,Phosphate,Potash,Sulfur,Gold,Platinum,Silver,Cocoa,Coffee,Cotton,Cottonseed,Palm oil,Peanuts,Rubber,Sugar,Tea,Tobacco,Wool
World,1850,76.80694471,64.51783355,78.36911985,55.13065906,94.96799265,,,116.8384226,98.80268838,124.9669749,189.6575143,98.04872698,,,115.8092126,138.6827818,,416.0845443,58.3065494,61.75391103,86.28674721,,,,,,107.5297226,,214.3956815,79.91210062,138.9906694,134.8133835,,117.3051519,,,210.8425933,191.1221759,181.2696806,121.1842905
World,1851,78.46539425,77.74109831,81.92319129,76.30844038,108.0841355,,,126.4721324,98.94129557,118.7584345,205.8352318,70.05146382,,,118.3098164,137.6863725,,425.0688259,60.0801622,66.32257645,83.36460917,,,,,,109.851552,,219.0250079,78.66895814,120.2754219,111.4911274,,111.8488529,,,224.0110079,182.4457594,202.114122,129.0319817
World,1852,80.21488969,73.56680702,81.04817723,92.36371987,104.1627832,,,143.7136162,106.7651641,132.176235,224.2432444,68.53605593,,,133.5526699,140.1640398,,420.5287049,62.08705263,68.01471031,94.93253774,,,,,,108.6782377,,216.685622,63.19299031,112.3801728,110.3003009,,114.6061415,,,196.0470169,155.1641505,180.2132984,144.9043169
World,1853,100.9155064,85.27061723,99.46821751,84.03927551,113.5005973,,,166.8283937,109.2369243,160.0801068,200.9218993,111.9464869,,,159.0627305,189.517575,,370.4138852,67.43880985,90.41955605,153.4867277,,,,,,108.6782377,,216.685622,92.88047956,115.685472,107.0561744,,146.2216288,,,221.618367,193.1635343,183.0810846,156.9796766
World,1854,102.3809524,90.76923077,91.52542373,67.31146854,128.817143,,,166.4530656,118.1766805,166.2162162,146.9032611,152.599007,,,158.7880521,174.3841077,,340.8353808,63.69511544,85.40815277,163.2403515,,,,,,100,,199.382716,94.58436926,123.1751825,86.56716418,,174.5454545,,,196.0784314,180.6526807,169.1941306,134.1269841
World,1855,101.7615638,104.6080411,87.25779701,84.30487719,124.4297173,,,156.7455104,135.8427906,170.6443914,119.3020423,178.457213,,,154.2404229,165.860859,,305.7565632,44.27724041,82.24690541,130.281809,,,,,,97.13603819,,193.6724712,91.87550904,116.6932332,92.78666334,,155.4176611,,,220.9368712,170.4975216,166.4604965,128.7437966
World,1856,96.6689839,131.0200262,88.95624562,86.45023267,122.912866,,,188.184438,97.08020591,133.8199513,187.6526826,144.3562611,,,147.6713767,179.8822279,,311.7080292,43.50852749,96.97182477,143.9426099,,,,,,99.02676399,,197.4422517,93.66384012,129.5058045,112.3288666,,151.2408759,,,256.3045656,168.6224967,173.9082269,157.1853397
World,1857,96.21749409,159.8690671,88.06346917,99.91264282,135.6381094,,,187.2946771,106.9439644,133.9243499,177.4822415,123.6765093,,,150.1248084,169.5358104,,279.7163121,42.27424302,94.92927847,170.0810576,,,,,,96.32610923,,192.1380206,85.80632648,128.7582038,126.3752161,,157.4468085,,,309.4052751,195.2385282,172.0346249,167.9987992
World,1858,99.57632176,138.0990939,88.17382439,80.96384645,126.4095444,,,164.1307881,110.7463326,104.7619048,220.6937656,93.49119322,,,138.0281191,164.9100755,,245.4135338,44.81705463,87.87163657,154.8199885,,,,,,102.0050125,,203.3803645,90.04874453,128.7472026,133.9767329,,144.6616541,,,264.0129736,196.8768074,175.4428811,159.0792457
World,1859,98.58797117,139.8358465,90.72212642,88.14957185,120.6676618,,,156.8981915,124.3123092,117.369727,183.3936435,125.2990213,,,136.658113,165.1077819,,242.9776675,44.37222034,99.64040891,124.3400898,,,,,,100.9925558,,201.3617008,76.41853754,138.2197388,120.5881264,,165.2605459,,,245.5505279,218.6994974,169.0591039,171.9278034
World,1860,100.9925558,142.9433098,95.85734113,101.2427438,115.8587722,,500,171.3739175,107.5652548,140.5707196,193.5643643,132.4284108,,,132.4747014,161.4387201,,242.9776675,44.37222034,97.40965349,119.7091739,,,,,,100.9925558,,201.3617008,71.86981507,147.4343881,120.5881264,,168.9330025,,,253.4715127,219.523446,167.6105915,179.9430856
World,1861,95.31615925,117.312196,88.85404676,66.8236327,110.825936,,468.6346787,159.097382,63.31989147,136.5339578,226.9292148,96.7246951,,,117.1322597,141.9763664,,229.3208431,43.26247459,83.51314429,99.65036749,,,,,,99.2127318,,190.0439471,69.54751648,159.4400474,143.6855535,,155.971897,,,216.7975387,189.0770432,164.3239739,157.3473105
World,1862,77.52380952,95.0469428,74.99695784,46.67284931,117.2216484,,306.5091127,135.4927954,62.00803321,119.5897436,175.5310245,90.17251897,,,100.2903213,125.8732808,,180.7753846,43.07203992,71.3048578,101.0651068,,,,,,116.3179305,,220.1845521,124.1004299,223.4450059,256.691925,,130.5435897,,,183.3443942,186.6298488,152.8959543,140.4704925
World,1863,65.29326603,65.85677264,61.21749788,55.06616628,122.668705,,354.506925,102.395838,103.1432645,99.42481512,98.71766217,94.19757195,,,79.42409202,100.8434255,,221.2654067,53.00404197,59.09577227,123.5994096,,,,,,118.7139085,,201.4831046,134.3566062,245.1258229,307.4749506,,89.99178307,,,141.6404853,145.8546657,121.5333889,117.5809628
World,1864,55.99224588,50.98035254,49.82360862,83.72356051,121.7780172,,412.8282903,71.93760987,151.8014365,69.33683519,54.1770409,115.8312809,,,65.68020339,81.5529092,,245.3893631,53.89356567,40.92598875,161.6280841,,,,,,97.80542884,,242.4091908,117.0414068,104.8461306,274.4151861,,66.08010506,,,134.1418511,113.435022,94.7760529,104.5612773
World,1865,56.46129256,45.99990257,55.92039587,104.3803137,131.0167703,,424.0667803,71.26934386,86.09339772,75.93413553,69.25554098,83.14042896,,,59.07998114,74.91485311,,173.639012,45.86106838,34.54021264,126.3477487,,,,,,73.01690599,,150.279322,132.0971822,100.3437761,178.5070846,,69.36035465,,,109.1681258,119.445933,90.80815637,96.55699307
World,1866,59.18809369,45.56805118,54.68441978,91.15155691,103.3792855,,331.1589442,91.70781581,75.55745823,85.76998051,77.27178888,97.95697232,,,59.1549082,78.78350675,,164.3664717,52.28656374,31.93309236,134.8460099,,,,,,73.67363771,,144.1456293,93.92941662,89.27851529,151.5696372,,80.7797271,,,107.857152,118.7900901,91.57332247,98.64682282
