Entity,Year,Population (UN Population Statistics Division (2017)),Projected population (UN Population Statistics Division (2017))
Over 15,1950,1667429916,
Over 15,1955,1787478427,
Over 15,1960,1908525357,
Over 15,1965,2074810733,
Over 15,1970,2311819835,
Over 15,1975,2576404319,
Over 15,1980,2884610712,
Over 15,1985,3226683072,
Over 15,1990,3578915265,
Over 15,1995,3921792830,
Over 15,2000,4295760398,
Over 15,2005,4709241103,
Over 15,2010,5093745024,
Over 15,2015,5452476469,
Over 15,2020,,5807836044
Over 15,2025,,6168599223
Over 15,2030,,6525973123
Over 15,2035,,6861706519
Over 15,2040,,7165788279
Over 15,2045,,7439771025
Over 15,2050,,7689010218
Over 15,2055,,7919089632
Over 15,2060,,8132380070
Over 15,2065,,8327439045
Over 15,2070,,8501814170
Over 15,2075,,8654910438
Over 15,2080,,8790237957
Over 15,2085,,8912531700
Over 15,2090,,9024582147
Over 15,2095,,9124894188
Over 15,2100,,9209837189
Total,1950,2536274721,
Total,1955,2772242535,
Total,1960,3033212527,
Total,1965,3339592688,
Total,1970,3700577650,
Total,1975,4079087198,
Total,1980,4458411534,
Total,1985,4873781796,
Total,1990,5330943460,
Total,1995,5751474416,
Total,2000,6145006989,
Total,2005,6542159383,
Total,2010,6958169159,
Total,2015,7383008820,
Total,2020,,7795482309
Total,2025,,8185613757
Total,2030,,8551198644
Total,2035,,8892701940
Total,2040,,9210337004
Total,2045,,9504209572
Total,2050,,9771822753
Total,2055,,10011171422
Total,2060,,10222598469
Total,2065,,10409808296
Total,2070,,10575846551
Total,2075,,10721963763
Total,2080,,10848708184
Total,2085,,10957565804
Total,2090,,11050055193
Total,2095,,11126032796
Total,2100,,11184367721
Under 15,1950,868844805,
Under 15,1955,984764108,
Under 15,1960,1124687170,
Under 15,1965,1264781955,
Under 15,1970,1388757815,
Under 15,1975,1502682879,
Under 15,1980,1573800822,
Under 15,1985,1647098724,
Under 15,1990,1752028195,
Under 15,1995,1829681586,
Under 15,2000,1849246591,
Under 15,2005,1832918280,
Under 15,2010,1864424135,
Under 15,2015,1930532351,
Under 15,2020,,1987646265
Under 15,2025,,2017014534
Under 15,2030,,2025225521
Under 15,2035,,2030995421
Under 15,2040,,2044548725
Under 15,2045,,2064438547
Under 15,2050,,2082812535
Under 15,2055,,2092081790
Under 15,2060,,2090218399
Under 15,2065,,2082369251
Under 15,2070,,2074032381
Under 15,2075,,2067053325
Under 15,2080,,2058470227
Under 15,2085,,2045034104
Under 15,2090,,2025473046
Under 15,2095,,2001138608
Under 15,2100,,1974530532
