Entity,Year,Government Services,Trade and Transport,Financial Services,Housing and Domestic Services,Total Services
England,1270,1.468091401,4.106505513,71.13698173,84.00821726,37.00515829
England,1271,2.670865079,4.096500897,71.63847485,84.14000391,37.40991507
England,1272,2.670865079,4.20276807,72.14350333,84.2719973,37.51295439
England,1273,2.670865079,4.095135071,72.6520921,84.40419776,37.553549
England,1274,2.75930432,4.09607901,73.16426627,84.5366056,37.65089174
England,1275,2.95387065,4.408868699,73.68005109,84.66922115,37.86948237
England,1276,2.476298749,4.130738184,74.19947204,84.80204474,37.72739497
England,1277,2.140229633,4.264432036,74.72255474,84.9350767,37.74573399
England,1278,2.812367865,4.330047944,75.24932501,85.06831735,38.02601615
England,1279,2.600113686,3.952687791,75.77980884,85.20176702,37.92967503
England,1280,2.387859508,3.98493111,76.68618348,85.75157061,38.12971916
England,1281,2.06947824,4.308613908,77.60339894,86.30492206,38.38732567
England,1282,0.902080259,4.153071738,78.53158489,86.86184426,38.26916977
England,1283,0.795953169,4.110825083,79.47087252,87.42236026,38.48253755
England,1284,0.725201776,4.726515269,80.42139464,87.98649325,38.90042425
England,1285,0.654450384,4.422074061,81.3832856,88.55426657,39.05059179
England,1286,1.132022285,4.070561715,82.35668138,89.12570371,39.34204087
England,1287,1.786472669,4.236583989,83.3417196,89.7008283,39.83644622
England,1288,1.857224062,4.468119266,84.33853951,90.27966415,40.18890397
England,1289,1.57421849,4.588138168,85.34728201,90.86223521,40.41179749
England,1290,2.670865079,4.821299463,86.36808971,91.44856558,41.0552178
England,1291,3.58458208,4.544532931,85.001966,91.40021835,41.15410412
England,1292,4.638870927,4.399385026,83.6574509,91.35189669,41.33173031
England,1293,4.849728696,4.193536833,82.3342026,91.30360058,41.25683867
England,1294,4.428013158,3.897499382,81.03188474,91.25533,40.97968104
England,1295,6.466304928,3.788314304,79.75016623,91.20708494,41.44537055
England,1296,7.590879699,3.725577785,78.48872125,91.15886538,41.67026007
England,1297,9.137170008,4.25620007,77.24722913,91.11067132,42.18765082
England,1298,9.840029239,4.871923264,76.02537426,91.06250274,42.49517557
England,1299,9.769743316,4.288835239,74.82284602,91.01435962,42.23627378
England,1300,9.699457393,5.373296932,73.63933873,90.96624196,42.46675784
England,1301,9.699457393,5.688399268,74.27442148,90.91814973,42.56682524
England,1302,9.840029239,3.997564895,74.91498134,90.87008293,42.11866572
England,1303,8.996598161,5.663717938,75.56106553,90.82204155,42.37943913
England,1304,9.137170008,5.504492278,76.2127217,90.77402556,42.3805165
England,1305,9.137170008,6.994942076,76.86999791,90.72603495,42.82591661
England,1306,7.309736006,6.423963513,77.53294262,90.67806972,42.15704966
England,1307,7.098878237,6.601178703,78.20160472,90.63012985,42.1592608
England,1308,6.536590852,6.176147171,78.87603351,90.58221532,41.88708729
England,1309,5.763445697,6.639128794,79.55627874,90.53432612,41.8164442
England,1310,6.466304928,6.060959637,80.24239056,90.48646224,41.85334131
England,1311,6.677162698,6.474375641,80.93441956,90.43862367,42.04357804
England,1312,6.817734544,6.490789172,81.63241679,90.39081039,42.0981158
England,1313,6.114875313,6.387085631,82.3364337,90.34302238,41.88209486
England,1314,6.606876775,4.626896304,83.04652222,90.29525964,41.51478969
England,1315,6.747448621,5.684091691,83.76273471,90.24752215,41.87505796
England,1316,6.396019005,4.337563621,83.43389682,89.07747634,40.91685271
England,1317,6.396019005,5.188270152,83.10634988,87.92259999,40.7065202
England,1318,5.693159774,5.462335327,82.78008884,86.78269644,40.13671578
England,1319,4.779442773,4.92366056,82.45510864,85.65757158,39.27563526
England,1320,5.482302005,5.827349916,82.13140426,84.54703379,39.29446267
England,1321,5.060586466,5.169842082,81.00812043,83.45089397,38.51412569
England,1322,4.70915685,4.157446008,79.90019938,82.36896543,37.65556769
England,1323,5.130872389,5.460482334,78.807431,81.30106394,37.69745925
England,1324,4.990300543,4.479007236,77.72960805,80.24700763,36.91887849
England,1325,4.217155388,5.07223149,76.66652612,79.20661701,36.43085123
