Entity,Year,SO2 emissions in China and India (Klimont et al. (2013))
China,2000,24.21
China,2001,24.064
China,2002,24.615
China,2003,27.487
China,2004,30.67
China,2005,32.413
China,2006,33.262
China,2007,32.617
China,2008,31.229
China,2009,31.023
China,2010,29.854
China,2011,29.065
India,2000,5.674
India,2001,5.742
India,2002,5.971
India,2003,6.131
India,2004,6.576
India,2005,6.852
India,2006,7.186
India,2007,7.744
India,2008,8.377
India,2009,9.056
India,2010,9.508
India,2011,10.149
