Entity,Year,Total mismanaged plastic waste by region,Mismanaged plastic waste by region (% global total)
East Asia and Pacific,2010,19013031,60.0
East Asia and Pacific,2025,41240961,60.1
Europe and Central Asia,2010,1126469,3.6
Europe and Central Asia,2025,1765883,2.6
Latin America and Caribbean,2010,2285369,7.2
Latin America and Caribbean,2025,4330249,6.3
Middle East and North Africa,2010,2644602,8.3
Middle East and North Africa,2025,5305030,7.7
North America,2010,283506,0.9
North America,2025,351660,0.5
South Asia,2010,3490287,11.0
South Asia,2025,8271797,12.1
Sub-Saharan Africa,2010,2831541,8.9
Sub-Saharan Africa,2025,7298801,10.6
