Entity,Year,Population (BoE (2017)),Real GDP per capita (BoE (2017)),Real GDP (at market prices) (BoE (2017))
England,1209,3625767.418,,
England,1210,3655787.154,,
England,1211,3686055.44,,
England,1212,3716574.333,,
England,1213,3747345.91,,
England,1214,3778372.261,,
England,1215,3809655.496,,
England,1216,3841197.743,,
England,1217,3873001.146,,
England,1218,3905067.866,,
England,1219,3937400.085,,
England,1220,3970000,,
England,1221,3978409.386,,
England,1222,3986836.584,,
England,1223,3995281.634,,
England,1224,4003744.572,,
England,1225,4012225.436,,
England,1226,4020724.265,,
England,1227,4029241.096,,
England,1228,4037775.968,,
England,1229,4046328.919,,
England,1230,4054899.987,,
England,1231,4063489.211,,
England,1232,4072096.628,,
England,1233,4080722.279,,
England,1234,4089366.2,,
England,1235,4098028.431,,
England,1236,4106709.01,,
England,1237,4115407.978,,
England,1238,4124125.371,,
England,1239,4132861.23,,
England,1240,4141615.594,,
England,1241,4150388.501,,
England,1242,4159179.992,,
England,1243,4167990.105,,
England,1244,4176818.88,,
England,1245,4185666.356,,
England,1246,4194532.573,,
England,1247,4203417.571,,
England,1248,4212321.389,,
England,1249,4221244.068,,
England,1250,4230185.647,,
England,1251,4236821.689,,
England,1252,4243468.14,,
England,1253,4250125.018,,
England,1254,4256792.339,,
England,1255,4263470.119,,
England,1256,4270158.375,,
England,1257,4276857.123,,
England,1258,4283566.38,,
England,1259,4290286.161,,
England,1260,4297016.485,,
England,1261,4303757.366,,
England,1262,4310508.822,,
England,1263,4317270.869,,
England,1264,4324043.524,,
England,1265,4330826.803,,
England,1266,4337620.724,,
England,1267,4344425.303,,
England,1268,4351240.556,,
England,1269,4358066.5,,
England,1270,4364903.153,805.9229556,3517775650
England,1271,4371750.53,796.2993769,3481222223
England,1272,4378608.649,824.8949416,3611892126
England,1273,4385477.527,776.853595,3406873983
England,1274,4392357.18,772.7535764,3394209720
England,1275,4399247.626,881.9085084,3879733912
England,1276,4406148.881,774.89751,3414313796
England,1277,4413060.962,826.1566972,3645879869
England,1278,4419983.886,855.2072716,3780002360
England,1279,4426917.671,708.7231647,3137459102
England,1280,4455484.393,715.3826071,3187376041
England,1281,4484235.455,755.8733591,3389514117
England,1282,4513172.047,729.0186336,3290186519
England,1283,4542295.366,689.1250461,3130209503
England,1284,4571606.616,708.6025469,3239452092
England,1285,4601107.01,713.4188863,3282516639
England,1286,4630797.769,699.3041661,3238336173
England,1287,4660680.122,761.0981989,3547235246
England,1288,4690755.304,733.6765323,3441497085
England,1289,4721024.56,673.1087084,3177762744
England,1290,4751489.143,678.7640879,3225140194
England,1291,4748977.115,680.4309374,3231350950
England,1292,4746466.416,716.9656065,3403053173
England,1293,4743957.044,734.2458802,3483230916
England,1294,4741448.999,729.0808993,3456899900
England,1295,4738942.28,781.1830415,3701981344
England,1296,4736436.886,812.8108275,3849827185
England,1297,4733932.816,778.1016978,3683481162
England,1298,4731430.07,818.8469425,3874317047
England,1299,4728928.648,788.9776991,3731019244
England,1300,4726428.548,783.9422916,3705247227
England,1301,4723929.77,789.8486559,3731189579
England,1302,4721432.313,810.665767,3827503547
England,1303,4718936.176,844.6994797,3986082932
England,1304,4716441.359,764.4912769,3605678277
England,1305,4713947.86,786.0722944,3705503810
England,1306,4711455.681,763.7557717,3598401469
England,1307,4708964.818,801.0092085,3771924182
England,1308,4706475.273,810.8267443,3816136022
England,1309,4703987.043,831.2392814,3910138810
England,1310,4701500.13,820.5840774,3857976146
