Entity,Year,OECD average trust in governments (OECD - How's Life (2015)) 
OECD,2006,43.77763982
OECD,2007,38.55018643
OECD,2008,39.69786908
OECD,2009,44.47136753
OECD,2010,40.19865124
OECD,2011,37.67010067
OECD,2012,36.01865464
OECD,2013,35.7264935
OECD,2014,37.95095954
