Entity,Year,Imported deforestation (hectares),Exported deforestation (hectares),Net deforestation in trade (hectares)
Afghanistan,2005,547.7494637,191.1247943,357
Afghanistan,2006,306.1790155,203.5325398,103
Afghanistan,2007,374.7474285,218.0703883,157
Afghanistan,2008,461.0986241,190.6121775,270
Afghanistan,2009,748.0349944,164.2620399,584
Afghanistan,2010,1267.231268,134.5402427,1133
Afghanistan,2011,790.2479689,126.7250815,664
Afghanistan,2012,771.6008511,83.86471822,688
Afghanistan,2013,715.1945005,62.62339493,653
Albania,2005,1777.316107,591.7627534,1186
Albania,2006,1906.644643,713.8887432,1193
Albania,2007,3224.571624,1692.841553,1532
Albania,2008,3911.418619,2722.267527,1189
Albania,2009,3333.532952,2659.077522,674
Albania,2010,3257.127281,2744.995927,512
Albania,2011,2896.857284,2550.845189,346
Albania,2012,1851.983158,1499.966158,352
Albania,2013,665.710164,399.2104067,266
Algeria,2005,21096.14049,3856.462829,17240
Algeria,2006,19388.28886,4245.426311,15143
Algeria,2007,18783.4974,4684.75378,14099
Algeria,2008,20581.58482,5516.639249,15065
Algeria,2009,24779.08215,6740.101919,18039
Algeria,2010,21146.21474,6364.177004,14782
Algeria,2011,23678.96956,6952.874784,16726
Algeria,2012,28219.41857,8145.981518,20073
Algeria,2013,25960.20028,8009.867481,17950
Angola,2005,70839.95055,66976.40399,3864
Angola,2006,61487.68613,55773.9699,5714
Angola,2007,82051.69832,75316.63421,6735
Angola,2008,96700.16151,87444.14559,9256
Angola,2009,120157.0827,114585.5306,5572
Angola,2010,133497.5322,129319.3413,4178
Angola,2011,165456.1565,160183.3943,5273
Angola,2012,148051.7071,141878.2137,6173
Angola,2013,145198.0144,139406.545,5791
Argentina,2005,131573.5099,264365.6369,-132792
Argentina,2006,159616.2707,298022.7469,-138406
Argentina,2007,231756.1554,362496.7942,-130741
Argentina,2008,290944.3431,431102.5306,-140158
Argentina,2009,232406.9169,406377.2949,-173970
Argentina,2010,262794.1637,415335.9514,-152542
Argentina,2011,252940.0602,451046.7095,-198107
Argentina,2012,154929.6241,403132.5701,-248203
Argentina,2013,129076.0729,292909.5589,-163833
Armenia,2005,570.0838315,177.8780892,392
Armenia,2006,514.2886161,177.4199508,337
Armenia,2007,504.391234,153.7262613,351
Armenia,2008,518.6477135,97.39079299,421
Armenia,2009,491.4766884,121.3074953,370
Armenia,2010,646.5732561,132.9985207,514
Armenia,2011,525.9143474,141.8685142,384
Armenia,2012,556.512705,170.7654969,386
Armenia,2013,590.4666305,156.5623539,434
Aruba,2005,945.5230016,,946
Aruba,2006,930.2895642,,930
Aruba,2007,733.3348644,,733
Aruba,2008,819.2302295,,819
Aruba,2009,247.8548707,,248
Aruba,2010,224.0314138,,224
Aruba,2011,148.5513124,,149
Aruba,2012,146.9854746,,147
Aruba,2013,137.8959872,,138
Australia,2005,51674.59927,83337.04829,-31662
Australia,2006,47745.58211,76326.55237,-28581
Australia,2007,48813.39766,69258.47946,-20445
Australia,2008,52181.75843,62179.70342,-9998
Australia,2009,43340.00401,55251.75,-11912
Australia,2010,33315.32113,48574.29215,-15259
Australia,2011,29827.14883,42120,-12293
Australia,2012,25665.21191,35696.66732,-10031
Australia,2013,45361.06713,78618.66223,-33258
Austria,2005,3249.590436,,3250
Austria,2006,3189.108131,,3189
Austria,2007,3124.476908,,3124
Austria,2008,2825.247509,,2825
Austria,2009,2996.258704,,2996
Austria,2010,2908.518944,,2909
Austria,2011,3078.897197,,3079
Austria,2012,2973.25921,,2973
Austria,2013,2419.815322,,2420
Azerbaijan,2005,506.9372207,,507
Azerbaijan,2006,565.5611193,,566
Azerbaijan,2007,633.0649266,,633
Azerbaijan,2008,733.265019,,733
Azerbaijan,2009,719.523197,,720
Azerbaijan,2010,729.0495625,,729
Azerbaijan,2011,761.2058639,,761
