Entity,Year,Nations participating in Summer Olympics,Athletes participating in Summer Olympics,Nations participating in Winter Olympics,Athletes participating in Winter Olympics,Nations participating in Summer Paralympics,Athletes participating in Summer Paralympics,Nations participating in Winter Paralympics,Athletes participating in Winter Paralympics
World,1896,14,241,,,,,,
World,1900,24,997,,,,,,
World,1904,12,691,,,,,,
World,1908,22,2008,,,,,,
World,1912,28,2587,,,,,,
World,1920,29,2626,,,,,,
World,1924,44,3089,16,258,,,,
World,1928,46,2883,25,464,,,,
World,1932,37,1332,17,252,,,,
World,1936,49,3963,28,646,,,,
World,1948,59,4104,28,669,,,,
World,1952,69,4955,30,694,,,,
World,1956,72,3314,32,821,,,,
World,1960,83,5338,30,665,23,400,,
World,1964,93,5151,36,1091,21,375,,
World,1968,112,5516,37,1158,29,750,,
World,1972,121,7134,35,1006,43,984,,
World,1976,92,6084,37,1123,38,1657,16,250
World,1980,80,5179,37,1072,42,1973,18,350
World,1984,140,6829,49,1272,45,2900,21,457
World,1988,159,8391,57,1423,61,3057,22,397
World,1992,169,9356,64,1801,83,3001,24,475
World,1994,,,67,1737,,,31,492
World,1996,197,10318,,,104,3259,,
World,1998,,,72,2176,,,32,562
World,2000,199,10651,,,122,3881,,
World,2002,,,77,2399,,,36,416
World,2004,201,10625,,,135,3808,,
World,2006,,,80,2508,,,39,477
World,2008,204,10942,,,146,3951,,
World,2010,,,82,2566,,,44,502
World,2012,205,10500,,,164,4237,,
World,2014,,,88,2873,,,45,541
World,2016,207,11238,,,159,4350,,
