Entity,Year,public_trust_government
United States,1958,73
United States,1964,77
United States,1966,65
United States,1968,62
United States,1970,54
United States,1972,53
United States,1974,36
United States,1976,35
United States,1977,33
United States,1978,31
United States,1979,28
United States,1980,29.6666666666667
United States,1982,39
United States,1984,42.5
United States,1985,42.4
United States,1986,43.75
United States,1987,43
United States,1988,41.3333333333333
United States,1989,40
United States,1990,34.5
United States,1991,40.75
United States,1992,26.3333333333333
United States,1993,25
United States,1994,20.6666666666667
United States,1995,22.2
United States,1996,28.75
United States,1997,28.75
United States,1998,31.1111111111111
United States,1999,33.75
United States,2000,38.2
United States,2001,49
United States,2002,43.5
United States,2003,39.5
United States,2004,39.3333333333333
United States,2005,32
United States,2006,31
United States,2007,26
United States,2008,24.3333333333333
United States,2009,22
United States,2010,22.2
United States,2011,18.8
United States,2012,19
United States,2013,20.8
United States,2014,18.5
United States,2015,18
United States,2017,18.5
United States,2019,17
United States,2020,22.5
United States,2021,24
