Entity,Year,welfare,mean,pop,d1avgincome,d2avgincome,d3avgincome,d4avgincome,d5avgincome,d6avgincome,d7avgincome,d8avgincome,d9avgincome,d10avgincome,q1avgincome,q2avgincome,q3avgincome,q4avgincome,q5avgincome,flag
Albania,1996,c,187.84,3.1700001,72.50624,99.36736,119.84192,137.49888,157.40992,175.6304,203.24288,234.23648,279.8816,398.59648,85.9368,128.6704,166.52016,218.73968,339.23904,0
Albania,2002,c,191.99001,3.05,67.00451,93.30714,112.12216,129.40126,146.87235,169.71916,196.40577,230.00402,286.64107,488.42256,80.155825,120.76171,158.295755,213.204895,387.531815,0
Albania,2005,c,217.03,3.01,75.52644,106.77876,129.78394,150.18476,173.40697,196.19512,225.06011,263.25739,321.85549,528.25102,91.1526,139.98435,184.801045,244.15875,425.053255,0
Albania,2008,c,237.53999,2.95,88.60242,122.09556,144.66186,165.80292,187.89414,211.88568,244.6662,283.38522,345.38316,581.02284,105.34899,155.23239,199.88991,264.02571,463.203,0
Albania,2012,c,225.27,2.9000001,82.44882,116.91513,138.31578,158.36481,182.01816,208.60002,236.98404,276.85683,335.42703,516.54411,99.681975,148.340295,195.30909,256.920435,425.98557,0
Algeria,1988,C,200.42999,24.59,54.1161,76.96512,97.60941,117.65241,138.2967,160.94529,188.4042,225.28332,287.41662,657.61083,65.54061,107.63091,149.620995,206.84376,472.513725,0
Algeria,1995,C,190.96001,28.9,54.80552,78.10264,99.68112,120.87768,142.83808,167.28096,196.49784,235.64464,300.38008,513.49144,66.45408,110.2794,155.05952,216.07124,406.93576,0
Algeria,2011,C,247.73,36.82,100.33065,131.54463,157.55628,181.09063,204.12952,228.65479,257.39147,294.7987,355.74028,566.31078,115.93764,169.323455,216.392155,276.095085,461.02553,0
Angola,2000,c,136.71001,16.440001,13.39758,30.0762,45.66114,61.5195,77.37786,96.38055,120.44151,155.16585,216.95877,550.25775,21.73689,53.59032,86.879205,137.80368,383.60826,0
Angola,2009,c,120.76,21.76,24.99732,40.57536,52.16832,64.0028,78.97704,95.64192,116.5334,148.41404,195.99348,390.17556,32.78634,58.08556,87.30948,132.47372,293.08452,0
Argentina (Urban),1986,I,863.01001,26.370001,168.28695,272.71116,372.82032,472.92948,578.2167,698.17509,844.02378,1043.37909,1381.67901,2798.74143,220.499055,422.8749,638.195895,943.701435,2090.21022,0
Argentina (Urban),1987,I,788.87,26.889999,136.47451,227.19456,316.33687,407.05692,504.8768,616.10747,753.37085,942.69965,1267.71409,2715.29054,181.834535,361.696895,560.492135,848.03525,1991.502315,0
Argentina (Urban),1991,i,559.90997,28.99,97.98425,171.89237,226.76355,281.07482,338.18564,405.93475,497.75999,645.01632,885.77762,2049.2706,134.93831,253.919185,372.060195,571.388155,1467.52411,0
Argentina (Urban),1992,i,564.60999,29.459999,90.3376,169.383,229.79627,289.64493,350.62281,431.92665,531.86262,680.91966,935.55877,1936.04769,129.8603,259.7206,391.27473,606.39114,1435.80323,0
Argentina (Urban),1993,i,566.02002,29.93,83.77096,168.10794,232.0682,295.46244,363.38484,447.1558,547.34134,698.46868,945.2534,1879.1864,125.93945,263.76532,405.27032,622.90501,1412.2199,0
Argentina (Urban),1994,i,558.64001,30.4,83.796,160.88832,221.22144,283.23048,353.06048,430.71144,530.708,675.9544,922.87328,1923.95616,122.34216,252.22596,391.88596,603.3312,1423.41472,0
Argentina (Urban),1995,i,530.85999,30.85,59.98718,139.61618,195.88734,251.62764,313.73826,390.71296,481.49002,620.57534,893.43738,1962.05856,99.80168,223.75749,352.22561,551.03268,1427.74797,0
Argentina (Urban),1996,i,520.07001,31.299999,53.56721,128.97736,185.14492,241.31248,303.20081,379.6511,478.4644,623.56393,888.27956,1917.49809,91.272285,213.2287,341.425955,551.014165,1402.888825,0
