Entity,Year,Transistors per microprocessor
World,1971,2308
World,1972,3555
World,1974,6098
World,1979,29164
World,1982,135773
World,1985,273842
World,1989,1207901
World,1993,3105900
World,1995,9646616
World,1998,15261378
World,1999,21673922
World,2000,37180267
World,2001,42550655
World,2002,55730604
World,2003,151247255
World,2004,273841963
World,2005,305052789
World,2006,582941535
World,2007,805842188
World,2009,2308241527
World,2013,5000000000
World,2014,5700000000
World,2015,10000000000
World,2017,19200000000
