Entity,Year,Energy intensity (World Bank)
Afghanistan,1990,1.884112773
Afghanistan,1991,1.995913063
Afghanistan,1992,1.332501747
Afghanistan,1993,1.760636542
Afghanistan,1994,2.245612996
Afghanistan,1995,1.485691936
Afghanistan,1996,1.548476916
Afghanistan,1997,1.599236643
Afghanistan,1998,1.648977886
Afghanistan,1999,1.570681102
Afghanistan,2000,1.686173124
Afghanistan,2001,1.827398887
Afghanistan,2002,1.360282562
Afghanistan,2003,1.325028253
Afghanistan,2004,1.143996358
Afghanistan,2005,1.267647242
Afghanistan,2006,1.408623132
Afghanistan,2007,1.460937575
Afghanistan,2008,2.147589912
Afghanistan,2009,2.617060398
Afghanistan,2010,2.939936558
Afghanistan,2011,3.755923312
Afghanistan,2012,2.984757176
Afghanistan,2013,2.751181713
Afghanistan,2014,2.637532569
Albania,1990,7.912243196
Albania,1991,7.866893331
Albania,1992,6.153274822
Albania,1993,5.501337309
Albania,1994,5.40208456
Albania,1995,4.478546955
Albania,1996,4.380990718
Albania,1997,4.19322073
Albania,1998,4.240864148
Albania,1999,5.01370938
Albania,2000,4.705437455
Albania,2001,4.443339271
Albania,2002,4.696960808
Albania,2003,4.344377214
Albania,2004,4.517187374
Albania,2005,4.275716533
Albania,2006,3.958693064
Albania,2007,3.568300331
Albania,2008,3.442663378
Albania,2009,3.409104943
Albania,2010,3.256748236
Albania,2011,3.322800967
Albania,2012,2.941323617
Albania,2013,3.382528489
Albania,2014,3.338773912
Algeria,1990,3.500934776
Algeria,1991,3.748161357
Algeria,1992,3.768854851
Algeria,1993,3.863424334
Algeria,1994,3.757739117
Algeria,1995,3.77719006
Algeria,1996,3.513266179
Algeria,1997,3.560951238
Algeria,1998,3.506474722
Algeria,1999,3.627038614
Algeria,2000,3.549440591
Algeria,2001,3.453076269
Algeria,2002,3.497747601
Algeria,2003,3.467578785
Algeria,2004,3.365929924
Algeria,2005,3.309822235
Algeria,2006,3.484977185
Algeria,2007,3.576547705
Algeria,2008,3.533948099
Algeria,2009,3.804011669
Algeria,2010,3.610867943
Algeria,2011,3.660624638
Algeria,2012,3.891393973
Algeria,2013,3.918351311
Algeria,2014,4.09963435
Angola,1990,4.605299718
Angola,1991,4.772857958
Angola,1992,5.155180405
Angola,1993,7.090346605
Angola,1994,6.944231409
Angola,1995,6.285041085
Angola,1996,5.816001771
Angola,1997,5.507563152
Angola,1998,5.143653728
Angola,1999,5.233148287
Angola,2000,5.218280891
Angola,2001,5.227248303
Angola,2002,5.876512797
Angola,2003,6.025119691
Angola,2004,5.590728406
Angola,2005,4.568534589
Angola,2006,4.151633624
Angola,2007,3.612273135
Angola,2008,3.435367756
Angola,2009,3.64542774
Angola,2010,3.697914144
Angola,2011,3.695967555
Angola,2012,3.857077991
Angola,2013,3.615593683
Angola,2014,3.645251056
Antigua and Barbuda,1990,3.953882216
Antigua and Barbuda,1991,3.710418236
Antigua and Barbuda,1992,3.639860773
Antigua and Barbuda,1993,3.530636882
Antigua and Barbuda,1994,3.28467528
Antigua and Barbuda,1995,3.50668386
Antigua and Barbuda,1996,3.456936122
Antigua and Barbuda,1997,3.461551274
Antigua and Barbuda,1998,3.43076397
Antigua and Barbuda,1999,3.415401888
Antigua and Barbuda,2000,3.371332142
Antigua and Barbuda,2001,3.512185361
Antigua and Barbuda,2002,3.640217088
Antigua and Barbuda,2003,3.70822558
