Entity,Year,National Gov Revenues (Wallis (2000)),State Gov Revenues (Wallis (2000)),Local Gov Revenues (Wallis (2000))
United States,1902,3,0.8,4
United States,1913,2.4,0.9,4.2
United States,1922,5.8,1.7,5.2
United States,1927,4.7,2.1,6
United States,1934,6,3.8,7.6
United States,1940,7,5,5.8
United States,1946,22.3,3.7,3.6
United States,1952,20.4,4.1,4
United States,1957,19.3,4.6,4.7
United States,1962,18.5,5.2,5.5
United States,1967,19.7,5.7,5.4
United States,1972,18.4,6.9,6.2
United States,1977,19.2,7.6,6
United States,1982,21.6,8.2,6.2
United States,1987,21,9.1,6.9
United States,1992,20.8,9.3,7.3
