Entity,Year,Hydropower (BP Statistics (2016))
Africa,1965,3.230854582
Africa,1966,3.542281825
Africa,1967,3.660154027
Africa,1968,4.209827322
Africa,1969,4.878403005
Africa,1970,6.119154929
Africa,1971,5.746290614
Africa,1972,6.690175237
Africa,1973,6.688893095
Africa,1974,7.877968037
Africa,1975,8.290631195
Africa,1976,9.107608495
Africa,1977,10.05643433
Africa,1978,10.19237646
Africa,1979,10.68025372
Africa,1980,10.53524002
Africa,1981,11.21226606
Africa,1982,11.2329965
Africa,1983,10.22770491
Africa,1984,10.00130914
Africa,1985,10.80942301
Africa,1986,11.49408173
Africa,1987,10.96088615
Africa,1988,11.9634394
Africa,1989,12.43522338
Africa,1990,13.01343161
Africa,1991,13.80185178
Africa,1992,13.22188649
Africa,1993,13.01751271
Africa,1994,13.17712036
Africa,1995,13.83582492
Africa,1996,14.21066182
Africa,1997,14.7665143
Africa,1998,15.60891182
Africa,1999,17.13759959
Africa,2000,16.7236296
Africa,2001,17.63278456
Africa,2002,18.73093614
Africa,2003,18.28823552
Africa,2004,19.7964818
Africa,2005,20.24929481
Africa,2006,21.76516894
Africa,2007,21.48475135
Africa,2008,21.89906515
Africa,2009,22.31554699
Africa,2010,24.53752603
Africa,2011,23.98299981
Africa,2012,25.40549078
Africa,2013,26.77084055
Africa,2014,27.02141276
Africa,2015,27.01422778
Asia Pacific,1965,34.20225286
Asia Pacific,1966,37.12158856
Asia Pacific,1967,34.9569988
Asia Pacific,1968,37.3527212
Asia Pacific,1969,39.82292585
Asia Pacific,1970,40.68527087
Asia Pacific,1971,44.17692435
Asia Pacific,1972,46.1571986
Asia Pacific,1973,44.71478424
Asia Pacific,1974,48.77594935
Asia Pacific,1975,51.97402439
Asia Pacific,1976,52.6856946
Asia Pacific,1977,51.15905716
Asia Pacific,1978,53.22922165
Asia Pacific,1979,57.62752066
Asia Pacific,1980,61.48832676
Asia Pacific,1981,65.46276623
Asia Pacific,1982,63.440423
Asia Pacific,1983,68.17066723
Asia Pacific,1984,67.35005553
Asia Pacific,1985,72.4474813
Asia Pacific,1986,73.26526225
Asia Pacific,1987,74.54491939
Asia Pacific,1988,80.37704826
Asia Pacific,1989,87.97852591
Asia Pacific,1990,90.64412662
Asia Pacific,1991,92.71347706
Asia Pacific,1992,90.90331381
Asia Pacific,1993,99.98781679
Asia Pacific,1994,100.8684915
Asia Pacific,1995,109.2382269
Asia Pacific,1996,107.2491446
Asia Pacific,1997,106.7945139
Asia Pacific,1998,115.7371954
Asia Pacific,1999,112.6803692
Asia Pacific,2000,117.3290518
Asia Pacific,2001,129.2107391
Asia Pacific,2002,131.572173
Asia Pacific,2003,134.8417292
Asia Pacific,2004,154.6407901
Asia Pacific,2005,164.0879175
Asia Pacific,2006,182.2512765
Asia Pacific,2007,193.5204152
Asia Pacific,2008,226.5292779
Asia Pacific,2009,218.7159321
Asia Pacific,2010,252.1070872
Asia Pacific,2011,254.3610382
Asia Pacific,2012,292.2404057
Asia Pacific,2013,312.8983951
Asia Pacific,2014,346.924438
