Entity,Year,Palmer Drought Severity Index (annual) (NOAA),Palmer Drought Severity Index (9-year avg) (NOAA)
Southwest US,1895,1.848995099,1.454951452
Southwest US,1896,0.706144719,1.087925759
Southwest US,1897,1.19086868,0.615834513
Southwest US,1898,-0.175927327,0.068373516
Southwest US,1899,-0.399638035,-0.482213556
Southwest US,1900,-1.443256786,-0.919728583
Southwest US,1901,-1.076245664,-1.131126564
Southwest US,1902,-1.882235735,-1.018264986
Southwest US,1903,-0.447409084,-0.478065992
Southwest US,1904,-0.798310803,0.520747973
Southwest US,1905,2.316732956,1.735412926
Southwest US,1906,4.008391289,2.620768615
Southwest US,1907,4.189265804,2.719703206
Southwest US,1908,1.51784068,2.087993749
Southwest US,1909,1.549312876,1.22964838
Southwest US,1910,-1.086386651,0.653794058
Southwest US,1911,0.802129559,0.531846281
Southwest US,1912,0.948426989,0.73842455
Southwest US,1913,0.446309104,1.117622699
Southwest US,1914,1.589082643,1.534835839
Southwest US,1915,2.807252146,1.734333873
Southwest US,1916,2.288381708,1.491980241
Southwest US,1917,0.541273124,0.970447249
Southwest US,1918,-0.808718463,0.621241387
Southwest US,1919,0.771717573,0.651928755
Southwest US,1920,1.699969613,0.83526967
Southwest US,1921,0.714356199,0.870111747
Southwest US,1922,0.684822135,0.662021079
Southwest US,1923,1.212962811,0.275172971
Southwest US,1924,-1.242140553,-0.120262832
Southwest US,1925,-0.510116219,-0.323452151
Southwest US,1926,-0.493323907,-0.317557747
Southwest US,1927,0.603112551,-0.293462344
Southwest US,1928,-0.798525463,-0.375616385
Southwest US,1929,-0.56444524,-0.47146272
Southwest US,1930,-0.704218621,-0.454208788
Southwest US,1931,-0.555042608,-0.412528824
Southwest US,1932,0.868220316,-0.601220399
Southwest US,1933,-0.864634374,-1.04960968
Southwest US,1934,-3.656784145,-1.380583752
Southwest US,1935,-0.884897784,-1.246237199
Southwest US,1936,-0.684586261,-0.770767914
Southwest US,1937,-0.022882178,-0.342495167
Southwest US,1938,0.705113735,-0.081774552
Southwest US,1939,-1.158301645,0.320586972
Southwest US,1940,-0.597830425,1.101636893
Southwest US,1941,4.884586032,1.866131693
Southwest US,1942,3.420992583,1.973789007
Southwest US,1943,0.009453928,1.407030041
Southwest US,1944,0.456283929,0.699087767
Southwest US,1945,0.611047147,0.199895676
Southwest US,1946,-0.609508645,-0.075086359
Southwest US,1947,-0.650283986,-0.186424453
Southwest US,1948,0.280396903,-0.262146764
Southwest US,1949,0.428116627,-0.440258484
Southwest US,1950,-1.907860128,-0.645926224
Southwest US,1951,-1.2679534,-0.748985003
Southwest US,1952,0.989308967,-0.895208786
Southwest US,1953,-1.475198179,-1.275600721
Southwest US,1954,-2.714443643,-1.684887391
Southwest US,1955,-2.103616416,-1.68704594
Southwest US,1956,-2.26048141,-1.177397127
Southwest US,1957,0.640200216,-0.591292914
Southwest US,1958,1.616214217,-0.460443307
