Entity,Year,Natural Gas (BP Statistics (2016))
Africa,1965,0.907364832
Africa,1966,1.013664832
Africa,1967,1.002608942
Africa,1968,1.023358727
Africa,1969,1.219041874
Africa,1970,1.509707223
Africa,1971,1.723251676
Africa,1972,2.29026905
Africa,1973,3.654613209
Africa,1974,4.090484949
Africa,1975,4.956338663
Africa,1976,5.65510613
Africa,1977,6.328455874
Africa,1978,9.041378901
Africa,1979,13.83379408
Africa,1980,17.55365621
Africa,1981,21.47734134
Africa,1982,23.17004628
Africa,1983,25.48364996
Africa,1984,24.39432747
Africa,1985,26.07505274
Africa,1986,29.33917862
Africa,1987,30.2332401
Africa,1988,33.53502432
Africa,1989,34.74804921
Africa,1990,35.60932844
Africa,1991,35.92292552
Africa,1992,38.2891246
Africa,1993,38.269129
Africa,1994,40.04641337
Africa,1995,42.70857274
Africa,1996,45.00427373
Africa,1997,44.20339771
Africa,1998,46.6810757
Africa,1999,46.90584286
Africa,2000,51.83122668
Africa,2001,59.10989144
Africa,2002,62.44094937
Africa,2003,66.56513177
Africa,2004,73.22087709
Africa,2005,76.5480678
Africa,2006,80.64340683
Africa,2007,87.0047
Africa,2008,90.6401823
Africa,2009,89.59676839
Africa,2010,96.45593496
Africa,2011,102.8211381
Africa,2012,111.0293271
Africa,2013,110.5981159
Africa,2014,115.5536538
Africa,2015,121.9089691
Asia Pacific,1965,5.265717419
Asia Pacific,1966,5.858528747
Asia Pacific,1967,6.641153361
Asia Pacific,1968,7.228809852
Asia Pacific,1969,9.527351132
Asia Pacific,1970,13.15307459
Asia Pacific,1971,15.53297774
Asia Pacific,1972,17.94642129
Asia Pacific,1973,22.07767632
Asia Pacific,1974,27.42935681
Asia Pacific,1975,31.80723469
Asia Pacific,1976,36.56135347
Asia Pacific,1977,44.91783798
Asia Pacific,1978,53.67799285
Asia Pacific,1979,61.29800397
Asia Pacific,1980,65.84685218
Asia Pacific,1981,66.70954707
Asia Pacific,1982,69.57233432
Asia Pacific,1983,76.47686024
Asia Pacific,1984,89.39039926
Asia Pacific,1985,97.11502952
Asia Pacific,1986,106.2888947
Asia Pacific,1987,112.9584579
Asia Pacific,1988,120.5586623
Asia Pacific,1989,128.3604132
Asia Pacific,1990,136.4792927
Asia Pacific,1991,150.0246511
Asia Pacific,1992,159.2936343
Asia Pacific,1993,167.2951873
Asia Pacific,1994,181.0012636
Asia Pacific,1995,189.8897188
Asia Pacific,1996,207.5192267
Asia Pacific,1997,223.9467512
Asia Pacific,1998,231.0172381
Asia Pacific,1999,249.5102461
Asia Pacific,2000,268.6393541
Asia Pacific,2001,284.9348301
Asia Pacific,2002,298.4168932
Asia Pacific,2003,323.9271719
Asia Pacific,2004,344.2614457
Asia Pacific,2005,369.7552026
Asia Pacific,2006,396.7174003
Asia Pacific,2007,426.3907418
Asia Pacific,2008,455.3663094
Asia Pacific,2009,467.2891609
Asia Pacific,2010,520.5339554
Asia Pacific,2011,557.2102525
Asia Pacific,2012,590.1844082
Asia Pacific,2013,610.5278256
Asia Pacific,2014,627.6884672
Asia Pacific,2015,631.0272998
Europe and Eurasia,1965,139.7027947
Europe and Eurasia,1966,156.6466481
Europe and Eurasia,1967,175.7651105
Europe and Eurasia,1968,198.5792247
Europe and Eurasia,1969,225.829295
Europe and Eurasia,1970,260.2426464
Europe and Eurasia,1971,296.9256831
Europe and Eurasia,1972,329.2931806
Europe and Eurasia,1973,365.3791566
Europe and Eurasia,1974,398.3146296
Europe and Eurasia,1975,431.1327457
Europe and Eurasia,1976,472.2995452
Europe and Eurasia,1977,500.3179034
Europe and Eurasia,1978,528.9065955
Europe and Eurasia,1979,560.2312051
Europe and Eurasia,1980,571.3604894
Europe and Eurasia,1981,588.4174124
Europe and Eurasia,1982,610.6573858
Europe and Eurasia,1983,646.3282319
Europe and Eurasia,1984,694.777041
Europe and Eurasia,1985,743.6026371
Europe and Eurasia,1986,763.0059774
Europe and Eurasia,1987,801.012871
Europe and Eurasia,1988,825.3493993
Europe and Eurasia,1989,847.6883419
Europe and Eurasia,1990,875.3760594
Europe and Eurasia,1991,889.4996636
Europe and Eurasia,1992,853.5487133
Europe and Eurasia,1993,851.3808444
Europe and Eurasia,1994,815.0911147
Europe and Eurasia,1995,822.8712698
Europe and Eurasia,1996,860.5560911
Europe and Eurasia,1997,828.6539206
Europe and Eurasia,1998,848.2478977
Europe and Eurasia,1999,868.1055792
Europe and Eurasia,2000,887.6884518
Europe and Eurasia,2001,910.1004483
Europe and Eurasia,2002,916.6612924
Europe and Eurasia,2003,942.717908
Europe and Eurasia,2004,962.9361057
Europe and Eurasia,2005,984.191484
Europe and Eurasia,2006,1005.50046
Europe and Eurasia,2007,1008.580305
Europe and Eurasia,2008,1019.429379
Europe and Eurasia,2009,937.3520278
