Entity,Year,"Number of one-year-olds (UN Population Division, 2017)","Share of one-year-olds with BCG (tuberculosis) immunization (WHO, 2017)","Share of one-year-olds with Hepatitis B3 immunization (WHO, 2017)","Share of one-year-olds with diphtheria, pertussis and tetanus immunization (WHO, 2017)","Share of one-year-olds with polio immunization (WHO, 2017)","Share of one-year-olds with measles immunization (WHO, 2017)","Number of one-year-olds with BCG (tuberculosis) immunization (WHO, 2017)","Number of one-year-olds with Hepatitis B3 immunization (WHO, 2017)","Number of one-year-olds with diphteria, pertussis and tetanus immunization (WHO, 2017)","Number of one-year-olds with polio immunization (WHO, 2017)","Number of one-year-olds with measles immunization (WHO, 2017)"
World,1980,110606672,15,,21,22,17,16591001,,23227402,24333468,18803134
World,1981,111239736,21,,24,24,20,23360344,,26697536,26697536,22247948
World,1982,114237856,23,,26,41,21,26274706,,29701842,46837520,23989950
World,1983,116756832,37,,39,44,37,43200028,,45535164,51373008,43200028
World,1984,119486136,44,,45,48,42,52573900,,53768760,57353344,50184176
World,1985,122226624,49,,49,52,48,59891044,,59891044,63557844,58668780
World,1986,126261072,53,,52,51,47,66918368,,65655756,64393148,59342704
World,1987,127453712,61,,56,57,54,77746768,,71374080,72648616,68825008
World,1988,129756432,67,,64,65,63,86936808,,83044120,84341680,81746552
World,1989,131282720,71,,68,71,68,93210728,,89272248,93210728,89272248
World,1990,131762208,81,1,76,75,73,106727392,1317622.1,100139280,98821656,96186408
World,1991,133220664,78,1,72,72,69,103912120,1332206.6,95918880,95918880,91922256
World,1992,129043888,78,3,70,70,69,100654232,3871316.8,90330720,90330720,89040280
World,1993,126677536,79,4,70,71,70,100075256,5067101.5,88674272,89941048,88674272
World,1994,124389456,80,8,73,73,72,99511568,9951156,90804304,90804304,89560408
World,1995,122665104,81,11,73,74,73,99358736,13493161,89545528,90772176,89545528
World,1996,118885744,80,14,72,74,73,95108592,16644004,85597736,87975448,86786592
World,1997,121511176,78,15,71,73,71,94778720,18226676,86272936,88703160,86272936
World,1998,121698720,79,16,72,73,71,96141992,19471796,87623080,88840064,86406088
World,1999,122151440,80,19,72,73,71,97721152,23208774,87949040,89170552,86727520
World,2000,122691360,80,29,72,73,72,98153088,35580496,88337776,89564696,88337776
World,2001,124254912,80,32,73,74,73,99403928,39761572,90706088,91948632,90706088
World,2002,123826768,80,38,73,75,72,99061416,47054172,90393544,92870080,89155272
World,2003,124590664,81,44,75,75,74,100918440,54819892,93443000,93443000,92197088
World,2004,125469104,83,48,76,76,76,104139360,60225168,95356520,95356520,95356520
World,2005,126453872,85,54,78,79,78,107485792,68285088,98634024,99898560,98634024
World,2006,128400048,86,58,79,80,79,110424040,74472024,101436040,102720040,101436040
World,2007,128602048,87,64,80,81,80,111883784,82305312,102881640,104167656,102881640
World,2008,129753000,88,69,82,83,81,114182640,89529568,106397456,107694992,105099928
World,2009,130885144,90,74,84,84,84,117796632,96855008,109943520,109943520,109943520
World,2010,131956480,90,74,85,85,85,118760832,97647792,112163008,112163008,112163008
World,2011,133256224,90,75,85,85,85,119930600,99942168,113267792,113267792,113267792
World,2012,133809424,90,80,85,85,84,120428480,107047536,113738008,113738008,112399920
World,2013,134596768,89,80,85,85,84,119791120,107677416,114407256,114407256,113061288
World,2014,135240608,89,82,85,85,84,120364144,110897296,114954520,114954520,113602112
World,2015,135721024,88,84,86,86,85,119434504,114005664,116720080,116720080,115362872
