Entity,Year,Coal (%),Crude oil (%),Natural gas (%),Hydroelectricity (Vaclav Smil (2017)),Nuclear (%),Wind and solar (Vaclav Smil (2017)),Modern biofuels (Vaclav Smil (2017)),Traditional biofuels (%),Solar (%),Other renewables (%),Hydropower (%),Wind (%)
World,1800,1.7,0.0,0.0,,0.0,,,98.3,0.0,0.0,0.0,0.0
World,1810,2.1,0.0,0.0,,0.0,,,97.9,0.0,0.0,0.0,0.0
World,1820,2.4,0.0,0.0,,0.0,,,97.6,0.0,0.0,0.0,0.0
World,1830,4.0,0.0,0.0,,0.0,,,96.0,0.0,0.0,0.0,0.0
World,1840,4.9,0.0,0.0,,0.0,,,95.1,0.0,0.0,0.0,0.0
World,1850,7.3,0.0,0.0,,0.0,,,92.7,0.0,0.0,0.0,0.0
World,1860,13.3,0.0,0.0,,0.0,,,86.7,0.0,0.0,0.0,0.0
World,1870,19.1,0.1,0.0,,0.0,,,80.8,0.0,0.0,0.0,0.0
World,1880,26.7,0.4,0.0,,0.0,,,73.0,0.0,0.0,0.0,0.0
World,1890,36.2,0.8,0.3,,0.0,,,62.5,0.0,0.0,0.1,0.0
World,1900,47.3,1.5,0.5,,0.0,,,50.5,0.0,0.0,0.1,0.0
World,1910,55.4,2.5,0.9,,0.0,,,40.9,0.0,0.0,0.2,0.0
World,1920,54.7,4.9,1.3,,0.0,,,38.7,0.0,0.0,0.4,0.0
World,1930,51.0,8.9,3.0,,0.0,,,36.4,0.0,0.0,0.7,0.0
World,1940,51.4,11.8,3.9,1,0.0,,,32.1,0.0,0.0,0.9,0.0
World,1950,45.1,19.5,7.5,1,0.0,,,26.8,0.0,0.0,1.2,0.0
World,1960,38.0,27.3,11.0,2,0.0,,,21.9,0.0,0.0,1.7,0.0
World,1965,32.0,34.8,13.4,,0.1,,,18.0,0.0,0.0,1.8,0.0
World,1966,31.0,35.9,13.9,,0.1,,,17.3,0.0,0.0,1.9,0.0
World,1967,29.5,37.2,14.5,,0.1,,,16.9,0.0,0.0,1.8,0.0
World,1968,28.5,38.4,15.0,,0.1,,,16.1,0.0,0.0,1.8,0.0
World,1969,27.8,39.4,15.5,,0.1,,,15.3,0.0,0.0,1.8,0.0
