Entity,Year,Average monthly precipitation,Precipitation weighted by Population,Precipitation weighted by Area
Afghanistan,1900,2.509463106,2.862845656,2.500251027
Afghanistan,1901,1.799354414,2.522856558,1.784339664
Afghanistan,1902,1.680583007,1.962164739,1.661257201
Afghanistan,1903,2.418843871,2.81355187,2.407721392
Afghanistan,1904,2.219799074,2.841904868,2.207648498
Afghanistan,1905,2.26155139,2.844200259,2.256818429
Afghanistan,1906,2.105727928,2.527482048,2.095443585
Afghanistan,1907,2.028985507,2.58993205,2.01528461
Afghanistan,1908,1.926419636,2.780377002,1.908444414
Afghanistan,1909,1.971943344,2.425764853,1.961639382
Afghanistan,1910,2.73135047,3.766847584,2.693124855
Afghanistan,1911,2.255016468,2.94144378,2.247266291
Afghanistan,1912,2.122032281,2.592391454,2.107928615
Afghanistan,1913,2.062658102,2.318589079,2.050887046
Afghanistan,1914,2.870968384,3.606777381,2.860738815
Afghanistan,1915,1.862414354,2.574788939,1.847196273
Afghanistan,1916,2.416653498,3.127686093,2.406937742
Afghanistan,1917,1.58221014,2.24033117,1.574679435
Afghanistan,1918,2.08571805,2.550709689,2.072554014
Afghanistan,1919,2.080345853,2.94101423,2.059666894
Afghanistan,1920,2.051623836,2.614410018,2.029858419
Afghanistan,1921,1.885003291,2.295601376,1.866763956
Afghanistan,1922,2.059281947,2.579318807,2.041658766
Afghanistan,1923,2.394232549,3.049565953,2.372985278
Afghanistan,1924,2.827539528,3.475286405,2.811896297
Afghanistan,1925,1.510408433,2.313081515,1.494039402
Afghanistan,1926,2.381525036,2.947775947,2.370008062
Afghanistan,1927,1.580718049,1.974794443,1.566871374
Afghanistan,1928,2.115731223,2.862214258,2.10058072
Afghanistan,1929,2.260247027,2.943902679,2.244642719
Afghanistan,1930,2.06597826,2.700656055,2.051280798
Afghanistan,1931,2.738619896,3.080198202,2.72076269
Afghanistan,1932,1.941795125,2.536361047,1.927470175
Afghanistan,1933,2.274275353,2.800264007,2.258947092
Afghanistan,1934,2.241360346,2.719600365,2.222040954
Afghanistan,1935,2.327154152,3.055060637,2.315175819
Afghanistan,1936,2.107859029,2.693816481,2.102596538
Afghanistan,1937,2.061742415,2.637986333,2.048856601
Afghanistan,1938,2.093728591,2.433312347,2.081889765
Afghanistan,1939,2.70679842,3.112323857,2.69980086
Afghanistan,1940,1.93547101,2.469597299,1.923712408
Afghanistan,1941,1.888132415,2.283373599,1.869398967
Afghanistan,1942,2.441353747,3.162068763,2.429346887
Afghanistan,1943,2.127990779,2.561229476,2.113733501
Afghanistan,1944,2.35697299,3.01897482,2.356646997
Afghanistan,1945,2.217816211,2.622858728,2.201454212
Afghanistan,1946,1.548458497,2.027227156,1.53668465
Afghanistan,1947,1.706314229,2.105209407,1.695898945
Afghanistan,1948,1.746930171,2.286450171,1.729735434
Afghanistan,1949,2.207131097,2.606099665,2.189190712
Afghanistan,1950,1.887374838,2.464995303,1.87812961
Afghanistan,1951,2.072552693,2.595762916,2.057618906
Afghanistan,1952,2.056044137,2.411859369,2.037557504
Afghanistan,1953,2.337565881,2.795231089,2.311425697
Afghanistan,1954,2.368804344,3.041569182,2.352170749
Afghanistan,1955,1.966469038,2.401250615,1.952796559
Afghanistan,1956,2.888633064,3.565824353,2.880238465
Afghanistan,1957,3.034812253,3.645901348,3.020640624
Afghanistan,1958,2.076485515,2.688265555,2.054614262
Afghanistan,1959,2.693969043,3.613552412,2.682048466
Afghanistan,1960,2.115480889,2.776955058,2.095996012
Afghanistan,1961,2.283718709,2.873500179,2.269002977
Afghanistan,1962,1.875859685,2.758133145,1.858055636
Afghanistan,1963,2.139667314,2.931568381,2.122162272
Afghanistan,1964,2.27297761,3.002437661,2.25572454
Afghanistan,1965,2.342783272,3.347822182,2.32494653
Afghanistan,1966,1.992022398,2.629129881,1.973489824
Afghanistan,1967,2.539005272,3.44243953,2.518887344
Afghanistan,1968,2.546574438,3.163228645,2.524548527
Afghanistan,1969,2.126268119,2.676138458,2.095965892
Afghanistan,1970,1.608593547,1.992657418,1.597077232
Afghanistan,1971,1.380711453,1.949935998,1.36761653
Afghanistan,1972,2.777799734,3.481528248,2.758680345
Afghanistan,1973,1.947381422,2.681425015,1.926906211
Afghanistan,1974,2.202404486,2.549910362,2.188115427
Afghanistan,1975,2.184907776,2.766898812,2.167163884
Afghanistan,1976,2.609232536,2.99980523,2.596856253
Afghanistan,1977,1.942997366,2.32076687,1.928597325
Afghanistan,1978,1.993260866,2.67018768,1.973622269
Afghanistan,1979,2.122490113,2.477755742,2.110283678
Afghanistan,1980,2.41967062,2.931653551,2.406347053
Afghanistan,1981,2.454410407,3.143950893,2.437610941
Afghanistan,1982,3.126683138,3.225569431,3.125117662
Afghanistan,1983,2.179683795,2.685707633,2.171291778
Afghanistan,1984,1.898814237,2.423779582,1.880961979
Afghanistan,1985,1.609973653,2.010093162,1.595791753
Afghanistan,1986,2.184249006,3.043368254,2.168568835
Afghanistan,1987,1.828952567,2.457591238,1.80608278
Afghanistan,1988,2.412476949,2.967387796,2.395077334
Afghanistan,1989,2.101073774,2.786000403,2.085909401
Afghanistan,1990,2.437908433,2.905163185,2.430137974
Afghanistan,1991,2.858227938,3.581792587,2.837757215
Afghanistan,1992,2.657065215,3.349363936,2.640919152
Afghanistan,1993,2.255434784,2.67254639,2.237357496
Afghanistan,1994,2.177648215,3.225260824,2.162179929
Afghanistan,1995,2.305510547,3.086946838,2.293793964
Afghanistan,1996,2.079901187,2.740677011,2.059173824
Afghanistan,1997,2.446778655,3.026656708,2.433405336
Afghanistan,1998,2.49806653,3.364680171,2.471415636
Afghanistan,1999,1.929426878,2.701049663,1.906173536
Afghanistan,2000,1.590573121,2.205950134,1.571404488
Afghanistan,2001,1.512509881,2.086294526,1.499174366
