Entity,Year,Forest area (FAO (2017))
World,1958,4405000000.00
World,1990,4128269490.00
World,1991,4121002750.00
World,1992,4113736050.00
World,1993,4106469340.00
World,1994,4099202590.00
World,1995,4091935870.00
World,1996,4084669130.00
World,1997,4077402420.00
World,1998,4070135670.00
World,1999,4062868970.00
World,2000,4055602230.00
World,2001,4051030330.00
World,2002,4046458410.00
World,2003,4041886520.00
World,2004,4037314600.00
World,2005,4032742700.00
World,2006,4029328760.00
World,2007,4025914770.00
World,2008,4022500870.00
World,2009,4019086910.00
World,2010,4015672970.00
World,2011,4012365100.00
World,2012,4009057230.00
World,2013,4005749380.00
World,2014,4002441510.00
